'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,3,2,0,0.55,2786,147,92,0,239,2477,70,15000,48750,63750
'Simulation 2',1,3,2,0,0.55,2733,176,135,0,311,2364,58,15000,50400,65400
'Simulation 3',1,3,2,0,0.55,2793,126,82,0,208,2533,52,15000,48250,63250
'Simulation 4',1,3,2,0,0.55,2739,170,88,0,258,2422,59,15000,48250,63250
'Simulation 5',1,3,2,0,0.55,2730,162,119,0,281,2381,68,15000,47800,62800
'Simulation 6',1,3,2,0,0.55,2743,159,108,0,267,2421,55,15000,47900,62900
'Simulation 7',1,3,2,0,0.55,2781,146,96,0,242,2482,57,15000,47950,62950
'Simulation 8',1,3,2,0,0.55,2732,146,98,0,244,2431,57,15000,48150,63150
'Simulation 9',1,3,2,0,0.55,2765,184,110,0,294,2403,68,15000,46850,61850
'Simulation 10',1,3,2,0,0.55,2735,164,91,0,255,2416,64,15000,47850,62850
'Simulation 11',1,3,2,0,0.55,2757,167,111,0,278,2411,68,15000,48450,63450
'Simulation 12',1,3,2,0,0.55,2718,173,115,0,288,2371,59,15000,48650,63650
'Simulation 13',1,3,2,0,0.55,2722,143,92,0,235,2429,58,15000,48100,63100
'Simulation 14',1,3,2,0,0.55,2746,137,80,0,217,2478,51,15000,47750,62750
'Simulation 15',1,3,2,0,0.55,2734,161,100,0,261,2420,53,15000,47950,62950
'Simulation 16',1,3,2,0,0.55,2754,164,105,0,269,2426,59,15000,48900,63900
'Simulation 17',1,3,2,0,0.55,2740,143,111,0,254,2426,60,15000,48300,63300
'Simulation 18',1,3,2,0,0.55,2836,145,103,0,248,2520,68,15000,48700,63700
'Simulation 19',1,3,2,0,0.55,2760,170,141,0,311,2392,57,15000,49700,64700
'Simulation 20',1,3,2,0,0.55,2812,142,69,0,211,2542,59,15000,48750,63750
'Simulation 21',1,3,2,0,0.55,2801,129,81,0,210,2537,54,15000,49400,64400
'Simulation 22',1,3,2,0,0.55,2734,159,103,0,262,2411,61,15000,48150,63150
'Simulation 23',1,3,2,0,0.55,2768,183,97,0,280,2428,60,15000,49000,64000
'Simulation 24',1,3,2,0,0.55,2744,162,118,0,280,2405,59,15000,48350,63350
'Simulation 25',1,3,2,0,0.55,2756,170,106,0,276,2409,71,15000,47550,62550
'AveragedSim',1,3.0,2.0,0.0,0.55,2756.76,157.12,102.04,0.0,259.16,2437.4,60.2,15000.0,48394.0,63394.0
'Simulation 26',1,3,2,0,0.6,3009,141,105,0,246,2695,68,15000,52050,67050
'Simulation 27',1,3,2,0,0.6,2961,132,94,0,226,2675,60,15000,50750,65750
'Simulation 28',1,3,2,0,0.6,3008,161,96,0,257,2694,57,15000,51600,66600
'Simulation 29',1,3,2,0,0.6,3010,155,107,0,262,2678,70,15000,51700,66700
'Simulation 30',1,3,2,0,0.6,3032,195,110,0,305,2654,73,15000,50850,65850
'Simulation 31',1,3,2,0,0.6,2934,161,86,0,247,2627,60,15000,50550,65550
'Simulation 32',1,3,2,0,0.6,2967,145,78,0,223,2677,67,15000,49150,64150
'Simulation 33',1,3,2,0,0.6,2980,149,90,0,239,2677,64,15000,50000,65000
'Simulation 34',1,3,2,0,0.6,3030,149,88,0,237,2729,64,15000,50250,65250
'Simulation 35',1,3,2,0,0.6,3026,166,94,0,260,2700,66,15000,51300,66300
'Simulation 36',1,3,2,0,0.6,2953,142,108,0,250,2639,64,15000,50600,65600
'Simulation 37',1,3,2,0,0.6,2972,155,89,0,244,2656,72,15000,50450,65450
'Simulation 38',1,3,2,0,0.6,2985,146,91,0,237,2684,64,15000,49900,64900
'Simulation 39',1,3,2,0,0.6,2987,166,107,0,273,2641,73,15000,51000,66000
'Simulation 40',1,3,2,0,0.6,3044,161,110,0,271,2706,67,15000,51650,66650
'Simulation 41',1,3,2,0,0.6,3024,153,98,0,251,2702,71,15000,51050,66050
'Simulation 42',1,3,2,0,0.6,2948,157,87,0,244,2635,69,15000,52250,67250
'Simulation 43',1,3,2,0,0.6,2987,139,97,0,236,2683,68,15000,51000,66000
'Simulation 44',1,3,2,0,0.6,2987,168,111,0,279,2649,59,15000,50200,65200
'Simulation 45',1,3,2,0,0.6,2966,132,98,0,230,2670,66,15000,50650,65650
'Simulation 46',1,3,2,0,0.6,3046,164,109,0,273,2713,60,15000,51600,66600
