'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,4,1,10,0.05,258,253,0,3,256,0,2,20000,0,20000
'Simulation 2',1,4,1,10,0.05,244,241,0,2,243,0,1,20000,0,20000
'AveragedSim',1,4.0,1.0,10.0,0.05,251.0,247.0,0.0,2.5,249.5,0.0,1.5,20000.0,0.0,20000.0
'Simulation 3',1,4,1,10,0.1,512,469,5,35,509,0,3,20000,250,20250
'Simulation 4',1,4,1,10,0.1,491,455,5,29,489,0,2,20000,250,20250
'AveragedSim',1,4.0,1.0,10.0,0.1,501.5,462.0,5.0,32.0,499.0,0.0,2.5,20000.0,250.0,20250.0
'Simulation 5',1,4,1,10,0.15,804,582,43,176,801,0,3,20000,2150,22150
'Simulation 6',1,4,1,10,0.15,735,594,24,114,732,0,3,20000,1200,21200
'AveragedSim',1,4.0,1.0,10.0,0.15,769.5,588.0,33.5,145.0,766.5,0.0,3.0,20000.0,1675.0,21675.0
'Simulation 7',1,4,1,10,0.2,996,681,62,247,990,0,6,20000,3100,23100
'Simulation 8',1,4,1,10,0.2,998,670,58,261,989,0,9,20000,2950,22950
'AveragedSim',1,4.0,1.0,10.0,0.2,997.0,675.5,60.0,254.0,989.5,0.0,7.5,20000.0,3025.0,23025.0
'Simulation 9',1,4,1,10,0.25,1252,647,129,464,1240,2,10,20000,6500,26500
'Simulation 10',1,4,1,10,0.25,1207,673,101,426,1200,0,7,20000,5050,25050
'AveragedSim',1,4.0,1.0,10.0,0.25,1229.5,660.0,115.0,445.0,1220.0,1.0,8.5,20000.0,5775.0,25775.0
'Simulation 11',1,4,1,10,0.3,1477,640,140,663,1443,20,14,20000,7250,27250
'Simulation 12',1,4,1,10,0.3,1492,654,141,675,1470,12,10,20000,7250,27250
'AveragedSim',1,4.0,1.0,10.0,0.3,1484.5,647.0,140.5,669.0,1456.5,16.0,12.0,20000.0,7250.0,27250.0
'Simulation 13',1,4,1,10,0.35,1748,564,137,910,1611,116,21,20000,8050,28050
'Simulation 14',1,4,1,10,0.35,1711,578,141,897,1616,80,15,20000,7700,27700
'AveragedSim',1,4.0,1.0,10.0,0.35,1729.5,571.0,139.0,903.5,1613.5,98.0,18.0,20000.0,7875.0,27875.0
'Simulation 15',1,4,1,10,0.4,1943,550,133,1054,1737,183,23,20000,8650,28650
'Simulation 16',1,4,1,10,0.4,1979,486,109,1053,1648,302,29,20000,8550,28550
'AveragedSim',1,4.0,1.0,10.0,0.4,1961.0,518.0,121.0,1053.5,1692.5,242.5,26.0,20000.0,8600.0,28600.0
'Simulation 17',1,4,1,10,0.45,2257,521,120,1294,1935,300,22,20000,9250,29250
'Simulation 18',1,4,1,10,0.45,2182,474,128,1232,1834,323,25,20000,9450,29450
'AveragedSim',1,4.0,1.0,10.0,0.45,2219.5,497.5,124.0,1263.0,1884.5,311.5,23.5,20000.0,9350.0,29350.0
'Simulation 19',1,4,1,10,0.5,2566,374,97,1502,1973,567,26,20000,10900,30900
'Simulation 20',1,4,1,10,0.5,2430,386,91,1344,1821,574,35,20000,10550,30550
'AveragedSim',1,4.0,1.0,10.0,0.5,2498.0,380.0,94.0,1423.0,1897.0,570.5,30.5,20000.0,10725.0,30725.0
'Simulation 21',1,4,1,10,0.55,2743,350,85,1476,1911,795,37,20000,12450,32450
'Simulation 22',1,4,1,10,0.55,2719,333,81,1469,1883,790,46,20000,11950,31950
'AveragedSim',1,4.0,1.0,10.0,0.55,2731.0,341.5,83.0,1472.5,1897.0,792.5,41.5,20000.0,12200.0,32200.0
'Simulation 23',1,4,1,10,0.6,3015,279,60,1634,1973,1002,40,20000,13800,33800
'Simulation 24',1,4,1,10,0.6,3035,286,76,1636,1998,992,45,20000,13300,33300
'AveragedSim',1,4.0,1.0,10.0,0.6,3025.0,282.5,68.0,1635.0,1985.5,997.0,42.5,20000.0,13550.0,33550.0
'Simulation 25',1,4,1,10,0.65,3187,249,72,1697,2018,1125,44,20000,14550,34550
'Simulation 26',1,4,1,10,0.65,3244,289,75,1752,2116,1078,50,20000,14050,34050
'AveragedSim',1,4.0,1.0,10.0,0.65,3215.5,269.0,73.5,1724.5,2067.0,1101.5,47.0,20000.0,14300.0,34300.0
'Simulation 27',1,4,1,10,0.7,3484,246,69,1813,2128,1310,46,20000,16500,36500
'Simulation 28',1,4,1,10,0.7,3485,256,61,1809,2126,1304,55,20000,15550,35550
'AveragedSim',1,4.0,1.0,10.0,0.7,3484.5,251.0,65.0,1811.0,2127.0,1307.0,50.5,20000.0,16025.0,36025.0
'Simulation 29',1,4,1,10,0.75,3755,233,72,1979,2284,1418,53,20000,16600,36600
'Simulation 30',1,4,1,10,0.75,3709,213,51,1958,2222,1426,61,20000,17100,37100
'AveragedSim',1,4.0,1.0,10.0,0.75,3732.0,223.0,61.5,1968.5,2253.0,1422.0,57.0,20000.0,16850.0,36850.0
'Simulation 31',1,4,1,10,0.8,4017,180,42,1961,2183,1775,59,20000,19400,39400
'Simulation 32',1,4,1,10,0.8,4036,198,40,2024,2262,1723,51,20000,19000,39000
'AveragedSim',1,4.0,1.0,10.0,0.8,4026.5,189.0,41.0,1992.5,2222.5,1749.0,55.0,20000.0,19200.0,39200.0
'Simulation 33',1,4,1,10,0.85,4231,181,43,1984,2208,1957,66,20000,19950,39950
'Simulation 34',1,4,1,10,0.85,4218,182,41,2053,2276,1884,58,20000,20500,40500
'AveragedSim',1,4.0,1.0,10.0,0.85,4224.5,181.5,42.0,2018.5,2242.0,1920.5,62.0,20000.0,20225.0,40225.0
'Simulation 35',1,4,1,10,0.9,4501,204,47,2158,2409,2030,62,20000,20350,40350
'Simulation 36',1,4,1,10,0.9,4497,193,40,2185,2418,2004,75,20000,20950,40950
'AveragedSim',1,4.0,1.0,10.0,0.9,4499.0,198.5,43.5,2171.5,2413.5,2017.0,68.5,20000.0,20650.0,40650.0
'Simulation 37',1,4,1,10,0.95,4750,169,41,2280,2490,2191,69,20000,21800,41800
'Simulation 38',1,4,1,10,0.95,4764,169,41,2373,2583,2116,65,20000,20800,40800
'AveragedSim',1,4.0,1.0,10.0,0.95,4757.0,169.0,41.0,2326.5,2536.5,2153.5,67.0,20000.0,21300.0,41300.0
'Simulation 39',1,4,1,10,1.0,5000,140,38,2292,2470,2460,70,20000,23200,43200
'Simulation 40',1,4,1,10,1.0,5000,157,29,2258,2444,2478,78,20000,22950,42950
'AveragedSim',1,4.0,1.0,10.0,1.0,5000.0,148.5,33.5,2275.0,2457.0,2469.0,74.0,20000.0,23075.0,43075.0
