'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,4,1,0,0.8,3994,173,35,0,208,3695,91,20000,30800,50800
'Simulation 2',1,4,1,0,0.8,3991,131,38,0,169,3733,89,20000,29800,49800
'Simulation 3',1,4,1,0,0.8,3968,157,29,0,186,3695,87,20000,30100,50100
'Simulation 4',1,4,1,0,0.8,4008,127,18,0,145,3771,92,20000,29300,49300
'Simulation 5',1,4,1,0,0.8,4038,146,33,0,179,3769,90,20000,30300,50300
'Simulation 6',1,4,1,0,0.8,3976,157,40,0,197,3694,85,20000,30650,50650
'Simulation 7',1,4,1,0,0.8,3974,184,39,0,223,3659,92,20000,30750,50750
'Simulation 8',1,4,1,0,0.8,3962,166,32,0,198,3679,85,20000,30300,50300
'Simulation 9',1,4,1,0,0.8,4011,148,36,0,184,3745,82,20000,30750,50750
'Simulation 10',1,4,1,0,0.8,4038,166,54,0,220,3732,86,20000,30400,50400
'Simulation 11',1,4,1,0,0.8,4041,158,35,0,193,3763,85,20000,29750,49750
'Simulation 12',1,4,1,0,0.8,4024,146,42,0,188,3748,88,20000,29750,49750
'Simulation 13',1,4,1,0,0.8,4001,168,44,0,212,3702,87,20000,29700,49700
'Simulation 14',1,4,1,0,0.8,4028,150,35,0,185,3756,87,20000,30350,50350
'Simulation 15',1,4,1,0,0.8,4010,159,36,0,195,3727,88,20000,29750,49750
'Simulation 16',1,4,1,0,0.8,4024,166,45,0,211,3728,85,20000,30600,50600
'Simulation 17',1,4,1,0,0.8,4015,152,36,0,188,3738,89,20000,29900,49900
'Simulation 18',1,4,1,0,0.8,4014,163,39,0,202,3723,89,20000,29550,49550
'Simulation 19',1,4,1,0,0.8,3992,187,50,0,237,3671,84,20000,30850,50850
'Simulation 20',1,4,1,0,0.8,4041,158,35,0,193,3763,85,20000,29750,49750
'Simulation 21',1,4,1,0,0.8,4001,168,44,0,212,3702,87,20000,29700,49700
'Simulation 22',1,4,1,0,0.8,4003,158,36,0,194,3726,83,20000,30600,50600
'Simulation 23',1,4,1,0,0.8,3985,189,43,0,232,3664,89,20000,30300,50300
'Simulation 24',1,4,1,0,0.8,4074,141,39,0,180,3799,95,20000,29200,49200
'Simulation 25',1,4,1,0,0.8,4028,126,31,0,157,3789,82,20000,31050,51050
'AveragedSim',1,4.0,1.0,0.0,0.8,4009.64,157.76,37.76,0.0,195.52,3726.84,87.28,20000.0,30158.0,50158.0
'Simulation 26',1,4,1,0,0.85,4260,172,46,0,218,3949,93,20000,30350,50350
'Simulation 27',1,4,1,0,0.85,4216,156,30,0,186,3943,87,20000,30650,50650
'Simulation 28',1,4,1,0,0.85,4290,162,43,0,205,3986,99,20000,31450,51450
'Simulation 29',1,4,1,0,0.85,4238,159,47,0,206,3940,92,20000,31050,51050
'Simulation 30',1,4,1,0,0.85,4292,161,36,0,197,3995,100,20000,30850,50850
'Simulation 31',1,4,1,0,0.85,4200,148,27,0,175,3937,88,20000,31950,51950
'Simulation 32',1,4,1,0,0.85,4251,154,44,0,198,3958,95,20000,30550,50550
'Simulation 33',1,4,1,0,0.85,4257,161,49,0,210,3961,86,20000,31350,51350
'Simulation 34',1,4,1,0,0.85,4272,146,38,0,184,3993,95,20000,31000,51000
'Simulation 35',1,4,1,0,0.85,4271,146,41,0,187,3992,92,20000,29400,49400
'Simulation 36',1,4,1,0,0.85,4250,160,32,0,192,3965,93,20000,31100,51100
'Simulation 37',1,4,1,0,0.85,4256,171,37,0,208,3957,91,20000,30600,50600
'Simulation 38',1,4,1,0,0.85,4230,143,44,0,187,3954,89,20000,30650,50650
'Simulation 39',1,4,1,0,0.85,4243,150,30,0,180,3971,92,20000,31550,51550
'Simulation 40',1,4,1,0,0.85,4250,164,37,0,201,3960,89,20000,30700,50700
'Simulation 41',1,4,1,0,0.85,4239,156,33,0,189,3962,88,20000,32250,52250
'Simulation 42',1,4,1,0,0.85,4275,162,34,0,196,3984,95,20000,30900,50900
'Simulation 43',1,4,1,0,0.85,4249,150,35,0,185,3975,89,20000,30150,50150
'Simulation 44',1,4,1,0,0.85,4252,142,32,0,174,3992,86,20000,30850,50850
'Simulation 45',1,4,1,0,0.85,4254,156,38,0,194,3971,89,20000,31150,51150
'Simulation 46',1,4,1,0,0.85,4274,153,41,0,194,3989,91,20000,30200,50200
'Simulation 47',1,4,1,0,0.85,4222,160,45,0,205,3928,89,20000,31450,51450
'Simulation 48',1,4,1,0,0.85,4262,126,25,0,151,4011,100,20000,31000,51000
'Simulation 49',1,4,1,0,0.85,4231,156,36,0,192,3955,84,20000,31350,51350
'Simulation 50',1,4,1,0,0.85,4276,132,37,0,169,4016,91,20000,31150,51150
'AveragedSim',1,4.0,1.0,0.0,0.85,4252.4,153.84,37.48,0.0,191.32,3969.76,91.32,20000.0,30946.0,50946.0
'Simulation 51',1,4,1,0,0.9,4500,166,46,0,212,4188,100,20000,32950,52950
'Simulation 52',1,4,1,0,0.9,4524,141,36,0,177,4251,96,20000,32400,52400
'Simulation 53',1,4,1,0,0.9,4486,151,34,0,185,4201,100,20000,31850,51850
'Simulation 54',1,4,1,0,0.9,4506,143,33,0,176,4229,101,20000,31650,51650
'Simulation 55',1,4,1,0,0.9,4498,156,38,0,194,4205,99,20000,31850,51850
'Simulation 56',1,4,1,0,0.9,4511,149,40,0,189,4226,96,20000,32100,52100
'Simulation 57',1,4,1,0,0.9,4495,151,25,0,176,4227,92,20000,30900,50900
'Simulation 58',1,4,1,0,0.9,4494,142,44,0,186,4210,98,20000,31800,51800
'Simulation 59',1,4,1,0,0.9,4503,166,37,0,203,4201,99,20000,31800,51800
'Simulation 60',1,4,1,0,0.9,4508,147,29,0,176,4232,100,20000,31700,51700
'Simulation 61',1,4,1,0,0.9,4486,151,34,0,185,4201,100,20000,31850,51850
'Simulation 62',1,4,1,0,0.9,4495,154,38,0,192,4199,104,20000,31850,51850
'Simulation 63',1,4,1,0,0.9,4480,142,40,0,182,4195,103,20000,31150,51150
'Simulation 64',1,4,1,0,0.9,4494,178,25,0,203,4189,102,20000,32150,52150
'Simulation 65',1,4,1,0,0.9,4483,174,29,0,203,4182,98,20000,32150,52150
'Simulation 66',1,4,1,0,0.9,4502,150,40,0,190,4213,99,20000,32400,52400
'Simulation 67',1,4,1,0,0.9,4486,151,34,0,185,4201,100,20000,31850,51850
'Simulation 68',1,4,1,0,0.9,4501,132,40,0,172,4233,96,20000,31050,51050
'Simulation 69',1,4,1,0,0.9,4490,152,40,0,192,4211,87,20000,32350,52350
'Simulation 70',1,4,1,0,0.9,4527,137,41,0,178,4251,98,20000,31200,51200
'Simulation 71',1,4,1,0,0.9,4497,147,30,0,177,4230,90,20000,31950,51950
'Simulation 72',1,4,1,0,0.9,4498,135,29,0,164,4240,94,20000,31000,51000
'Simulation 73',1,4,1,0,0.9,4500,152,29,0,181,4221,98,20000,32800,52800
'Simulation 74',1,4,1,0,0.9,4489,172,46,0,218,4177,94,20000,32000,52000
'Simulation 75',1,4,1,0,0.9,4493,124,31,0,155,4236,102,20000,31600,51600
'AveragedSim',1,4.0,1.0,0.0,0.9,4497.84,150.52,35.52,0.0,186.04,4213.96,97.84,20000.0,31854.0,51854.0
'Simulation 76',1,4,1,0,0.95,4738,122,28,0,150,4483,105,20000,32050,52050
'Simulation 77',1,4,1,0,0.95,4755,142,33,0,175,4470,110,20000,31800,51800
'Simulation 78',1,4,1,0,0.95,4761,118,19,0,137,4519,105,20000,32150,52150
'Simulation 79',1,4,1,0,0.95,4761,153,42,0,195,4464,102,20000,34350,54350
'Simulation 80',1,4,1,0,0.95,4746,132,29,0,161,4486,99,20000,33900,53900
'Simulation 81',1,4,1,0,0.95,4777,127,24,0,151,4523,103,20000,32350,52350
'Simulation 82',1,4,1,0,0.95,4745,141,51,0,192,4449,104,20000,32200,52200
'Simulation 83',1,4,1,0,0.95,4759,139,38,0,177,4479,103,20000,32150,52150
'Simulation 84',1,4,1,0,0.95,4762,153,32,0,185,4474,103,20000,31900,51900
'Simulation 85',1,4,1,0,0.95,4768,131,30,0,161,4503,104,20000,32850,52850
'Simulation 86',1,4,1,0,0.95,4722,152,23,0,175,4442,105,20000,32750,52750
'Simulation 87',1,4,1,0,0.95,4754,159,31,0,190,4461,103,20000,32550,52550
'Simulation 88',1,4,1,0,0.95,4759,162,29,0,191,4463,105,20000,32400,52400
'Simulation 89',1,4,1,0,0.95,4764,155,24,0,179,4484,101,20000,31700,51700
'Simulation 90',1,4,1,0,0.95,4771,138,32,0,170,4494,107,20000,33750,53750
