'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',1,3,2,0,0.0,0,0,0,0,0,0,15000,0,15000
'Simulation 2',1,3,2,0,0.0,0,0,0,0,0,0,15000,0,15000
'Simulation 3',1,3,2,0,0.0,0,0,0,0,0,0,15000,0,15000
'AveragedSim',1,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,15000.0
'Simulation 4',1,3,2,0,0.05,223,221,1,0,0,1,15000,50,15050
'Simulation 5',1,3,2,0,0.05,287,279,8,0,0,0,15000,400,15400
'Simulation 6',1,3,2,0,0.05,248,244,4,0,0,0,15000,200,15200
'AveragedSim',1,3.0,2.0,0.0,0.05,252.66666666666666,248.0,4.333333333333333,0.0,0.0,0.3333333333333333,15000.0,216.66666666666666,15216.666666666666
'Simulation 7',1,3,2,0,0.1,494,413,80,0,0,1,15000,4000,19000
'Simulation 8',1,3,2,0,0.1,509,428,79,0,0,2,15000,3950,18950
'Simulation 9',1,3,2,0,0.1,522,434,85,0,0,3,15000,4250,19250
'AveragedSim',1,3.0,2.0,0.0,0.1,508.3333333333333,425.0,81.33333333333333,0.0,0.0,2.0,15000.0,4066.6666666666665,19066.666666666668
'Simulation 10',1,3,2,0,0.15,742,518,211,0,4,9,15000,10850,25850
'Simulation 11',1,3,2,0,0.15,726,528,191,0,0,7,15000,9550,24550
'Simulation 12',1,3,2,0,0.15,740,513,216,0,7,4,15000,11000,26000
'AveragedSim',1,3.0,2.0,0.0,0.15,736.0,519.6666666666666,206.0,0.0,3.6666666666666665,6.666666666666667,15000.0,10466.666666666666,25466.666666666668
'Simulation 13',1,3,2,0,0.2,988,458,300,0,205,25,15000,19350,34350
'Simulation 14',1,3,2,0,0.2,1009,451,288,0,251,19,15000,19900,34900
'Simulation 15',1,3,2,0,0.2,1027,443,282,0,285,17,15000,20200,35200
'AveragedSim',1,3.0,2.0,0.0,0.2,1008.0,450.6666666666667,290.0,0.0,247.0,20.333333333333332,15000.0,19816.666666666668,34816.666666666664
'Simulation 16',1,3,2,0,0.25,1253,311,200,0,717,25,15000,24400,39400
'Simulation 17',1,3,2,0,0.25,1234,330,232,0,646,26,15000,24400,39400
'Simulation 18',1,3,2,0,0.25,1246,336,248,0,632,30,15000,25100,40100
'AveragedSim',1,3.0,2.0,0.0,0.25,1244.3333333333333,325.6666666666667,226.66666666666666,0.0,665.0,27.0,15000.0,24633.333333333332,39633.333333333336
'Simulation 19',1,3,2,0,0.3,1516,301,203,0,983,29,15000,29700,44700
'Simulation 20',1,3,2,0,0.3,1565,274,208,0,1047,36,15000,30700,45700
'Simulation 21',1,3,2,0,0.3,1491,283,168,0,1009,31,15000,29400,44400
'AveragedSim',1,3.0,2.0,0.0,0.3,1524.0,286.0,193.0,0.0,1013.0,32.0,15000.0,29933.333333333332,44933.333333333336
'Simulation 22',1,3,2,0,0.35,1715,227,180,0,1268,40,15000,33700,48700
'Simulation 23',1,3,2,0,0.35,1813,246,158,0,1372,37,15000,34600,49600
'Simulation 24',1,3,2,0,0.35,1747,264,145,0,1295,43,15000,33550,48550
'AveragedSim',1,3.0,2.0,0.0,0.35,1758.3333333333333,245.66666666666666,161.0,0.0,1311.6666666666667,40.0,15000.0,33950.0,48950.0
'Simulation 25',1,3,2,0,0.4,1972,179,121,0,1635,37,15000,36800,51800
'Simulation 26',1,3,2,0,0.4,2035,194,116,0,1687,38,15000,38100,53100
'Simulation 27',1,3,2,0,0.4,1973,183,133,0,1617,40,15000,38150,53150
'AveragedSim',1,3.0,2.0,0.0,0.4,1993.3333333333333,185.33333333333334,123.33333333333333,0.0,1646.3333333333333,38.333333333333336,15000.0,37683.333333333336,52683.333333333336
'Simulation 28',1,3,2,0,0.45,2266,179,112,0,1925,50,15000,41300,56300
