'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,3,2,0,0.05,249,244,5,0,249,0,0,15000,250,15250
'Simulation 2',1,3,2,0,0.05,244,239,3,0,242,0,2,15000,150,15150
'Simulation 3',1,3,2,0,0.05,261,255,6,0,261,0,0,15000,300,15300
'Simulation 4',1,3,2,0,0.05,262,255,5,0,260,0,2,15000,250,15250
'Simulation 5',1,3,2,0,0.05,256,248,7,0,255,0,1,15000,350,15350
'Simulation 6',1,3,2,0,0.05,250,243,7,0,250,0,0,15000,350,15350
'Simulation 7',1,3,2,0,0.05,225,222,1,0,223,0,2,15000,50,15050
'Simulation 8',1,3,2,0,0.05,262,255,6,0,261,0,1,15000,300,15300
'Simulation 9',1,3,2,0,0.05,279,274,3,0,277,0,2,15000,150,15150
'Simulation 10',1,3,2,0,0.05,242,236,6,0,242,0,0,15000,300,15300
'Simulation 11',1,3,2,0,0.05,261,254,6,0,260,0,1,15000,300,15300
'Simulation 12',1,3,2,0,0.05,241,235,6,0,241,0,0,15000,300,15300
'Simulation 13',1,3,2,0,0.05,263,261,2,0,263,0,0,15000,100,15100
'Simulation 14',1,3,2,0,0.05,256,248,6,0,254,0,2,15000,300,15300
'Simulation 15',1,3,2,0,0.05,242,237,4,0,241,0,1,15000,200,15200
'Simulation 16',1,3,2,0,0.05,252,247,1,0,248,0,4,15000,50,15050
'Simulation 17',1,3,2,0,0.05,269,260,6,0,266,0,3,15000,300,15300
'Simulation 18',1,3,2,0,0.05,250,247,3,0,250,0,0,15000,150,15150
'Simulation 19',1,3,2,0,0.05,253,248,5,0,253,0,0,15000,250,15250
'Simulation 20',1,3,2,0,0.05,243,236,5,0,241,0,2,15000,250,15250
'Simulation 21',1,3,2,0,0.05,251,246,4,0,250,0,1,15000,200,15200
'Simulation 22',1,3,2,0,0.05,244,242,2,0,244,0,0,15000,100,15100
'Simulation 23',1,3,2,0,0.05,270,264,5,0,269,0,1,15000,250,15250
'Simulation 24',1,3,2,0,0.05,233,230,1,0,231,0,2,15000,50,15050
'Simulation 25',1,3,2,0,0.05,242,238,4,0,242,0,0,15000,200,15200
'AveragedSim',1,3.0,2.0,0.0,0.05,252.0,246.56,4.36,0.0,250.92,0.0,1.08,15000.0,218.0,15218.0
'Simulation 26',1,3,2,0,0.1,481,422,56,0,478,0,3,15000,2800,17800
'Simulation 27',1,3,2,0,0.1,491,425,64,0,489,0,2,15000,3200,18200
'Simulation 28',1,3,2,0,0.1,478,422,49,0,471,0,7,15000,2450,17450
'Simulation 29',1,3,2,0,0.1,522,453,63,0,516,0,6,15000,3200,18200
'Simulation 30',1,3,2,0,0.1,490,421,63,0,484,0,6,15000,3250,18250
'Simulation 31',1,3,2,0,0.1,499,418,79,0,497,0,2,15000,3950,18950
'Simulation 32',1,3,2,0,0.1,486,435,48,0,483,0,3,15000,2400,17400
'Simulation 33',1,3,2,0,0.1,476,411,61,0,472,0,4,15000,3050,18050
'Simulation 34',1,3,2,0,0.1,514,434,72,0,506,0,8,15000,3600,18600
'Simulation 35',1,3,2,0,0.1,498,435,59,0,494,0,4,15000,3000,18000
'Simulation 36',1,3,2,0,0.1,529,453,74,0,527,0,2,15000,3700,18700
'Simulation 37',1,3,2,0,0.1,504,439,60,0,499,0,5,15000,3000,18000
'Simulation 38',1,3,2,0,0.1,500,442,56,0,498,0,2,15000,2850,17850
'Simulation 39',1,3,2,0,0.1,500,431,67,0,498,0,2,15000,3350,18350
'Simulation 40',1,3,2,0,0.1,487,426,60,0,486,0,1,15000,3000,18000
'Simulation 41',1,3,2,0,0.1,484,418,62,0,480,0,4,15000,3100,18100
'Simulation 42',1,3,2,0,0.1,492,427,65,0,492,0,0,15000,3250,18250
