'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost',DeathRate
'Simulation 1',2,4,0,0,0.1,1018,1009,0,0,0,9,40000,0,40000,0
'Simulation 2',2,4,0,0,0.1,931,929,0,0,0,2,40000,0,40000,0
'Simulation 3',2,4,0,0,0.1,1024,1017,0,0,0,7,40000,0,40000,0
'Simulation 4',2,4,0,0,0.1,1004,1002,0,0,0,2,40000,0,40000,0
'Simulation 5',2,4,0,0,0.1,1061,1061,0,0,0,0,40000,0,40000,0
'AveragedSim',2,4,0,0,0.1,1007.6,1003.6,0,0,0,4,40000,0,40000,0
'Simulation 6',2,4,0,0,0.101,1036,1033,0,0,1,2,40000,0,40000,0.000965251
'Simulation 7',2,4,0,0,0.101,981,973,0,0,2,6,40000,0,40000,0.002038736
'Simulation 8',2,4,0,0,0.101,1003,1000,0,0,0,3,40000,0,40000,0
'Simulation 9',2,4,0,0,0.101,1103,1094,0,0,5,4,40000,0,40000,0.004533092
'Simulation 10',2,4,0,0,0.101,989,983,0,0,2,4,40000,0,40000,0.002022245
'AveragedSim',2,4,0,0,0.101,1022.4,1016.6,0,0,2,3.8,40000,0,40000,0.001956182
'Simulation 11',2,4,0,0,0.102,993,988,0,0,0,5,40000,0,40000,0
'Simulation 12',2,4,0,0,0.102,1072,1068,0,0,1,3,40000,0,40000,0.000932836
'Simulation 13',2,4,0,0,0.102,1023,1021,0,0,0,2,40000,0,40000,0
'Simulation 14',2,4,0,0,0.102,1079,1073,0,0,0,6,40000,0,40000,0
'Simulation 15',2,4,0,0,0.102,1072,1071,0,0,0,1,40000,0,40000,0
'AveragedSim',2,4,0,0,0.102,1047.8,1044.2,0,0,0.2,3.4,40000,0,40000,0.000190876
'Simulation 16',2,4,0,0,0.103,1027,1025,0,0,0,2,40000,0,40000,0
'Simulation 17',2,4,0,0,0.103,1036,1031,0,0,0,5,40000,0,40000,0
'Simulation 18',2,4,0,0,0.103,1040,1038,0,0,0,2,40000,0,40000,0
'Simulation 19',2,4,0,0,0.103,1053,1045,0,0,4,4,40000,0,40000,0.00379867
'Simulation 20',2,4,0,0,0.103,1005,1001,0,0,3,1,40000,0,40000,0.002985075
'AveragedSim',2,4,0,0,0.103,1032.2,1028,0,0,1.4,2.8,40000,0,40000,0.001356326
'Simulation 21',2,4,0,0,0.104,998,996,0,0,0,2,40000,0,40000,0
'Simulation 22',2,4,0,0,0.104,1064,1041,0,0,22,1,40000,0,40000,0.020676692
'Simulation 23',2,4,0,0,0.104,1019,1017,0,0,0,2,40000,0,40000,0
'Simulation 24',2,4,0,0,0.104,1054,1044,0,0,0,10,40000,0,40000,0
'Simulation 25',2,4,0,0,0.104,981,976,0,0,2,3,40000,0,40000,0.002038736
'AveragedSim',2,4,0,0,0.104,1023.2,1014.8,0,0,4.8,3.6,40000,0,40000,0.004691165
'Simulation 26',2,4,0,0,0.105,1007,1003,0,0,1,3,40000,0,40000,0.000993049
'Simulation 27',2,4,0,0,0.105,1084,1078,0,0,0,6,40000,0,40000,0
'Simulation 28',2,4,0,0,0.105,1024,1019,0,0,0,5,40000,0,40000,0
'Simulation 29',2,4,0,0,0.105,982,978,0,0,0,4,40000,0,40000,0
'Simulation 30',2,4,0,0,0.105,1085,1079,0,0,0,6,40000,0,40000,0
'AveragedSim',2,4,0,0,0.105,1036.4,1031.4,0,0,0.2,4.8,40000,0,40000,0.000192976
'Simulation 31',2,4,0,0,0.106,1062,1053,0,0,4,5,40000,0,40000,0.003766478
'Simulation 32',2,4,0,0,0.106,1061,1059,0,0,0,2,40000,0,40000,0
'Simulation 33',2,4,0,0,0.106,1087,1086,0,0,0,1,40000,0,40000,0
'Simulation 34',2,4,0,0,0.106,1103,1092,0,0,10,1,40000,0,40000,0.009066183
'Simulation 35',2,4,0,0,0.106,1046,1045,0,0,1,0,40000,0,40000,0.000956023
'AveragedSim',2,4,0,0,0.106,1071.8,1067,0,0,3,1.8,40000,0,40000,0.00279903
'Simulation 36',2,4,0,0,0.107,1128,1125,0,0,0,3,40000,0,40000,0
'Simulation 37',2,4,0,0,0.107,1028,1008,0,0,14,6,40000,0,40000,0.013618677
'Simulation 38',2,4,0,0,0.107,1079,1076,0,0,0,3,40000,0,40000,0
'Simulation 39',2,4,0,0,0.107,1024,1018,0,0,0,6,40000,0,40000,0
'Simulation 40',2,4,0,0,0.107,1057,1053,0,0,1,3,40000,0,40000,0.000946074
'AveragedSim',2,4,0,0,0.107,1063.2,1056,0,0,3,4.2,40000,0,40000,0.00282167
'Simulation 41',2,4,0,0,0.108,1056,1054,0,0,1,1,40000,0,40000,0.00094697
'Simulation 42',2,4,0,0,0.108,1078,1071,0,0,0,7,40000,0,40000,0
'Simulation 43',2,4,0,0,0.108,1090,1083,0,0,0,7,40000,0,40000,0
'Simulation 44',2,4,0,0,0.108,1084,1081,0,0,2,1,40000,0,40000,0.001845018
'Simulation 45',2,4,0,0,0.108,1072,1066,0,0,0,6,40000,0,40000,0
'AveragedSim',2,4,0,0,0.108,1076,1071,0,0,0.6,4.4,40000,0,40000,0.000557621
'Simulation 46',2,4,0,0,0.109,1143,1135,0,0,2,6,40000,0,40000,0.001749781
'Simulation 47',2,4,0,0,0.109,1107,1104,0,0,1,2,40000,0,40000,0.000903342
'Simulation 48',2,4,0,0,0.109,1107,1103,0,0,0,4,40000,0,40000,0
'Simulation 49',2,4,0,0,0.109,1162,1158,0,0,1,3,40000,0,40000,0.000860585
'Simulation 50',2,4,0,0,0.109,1039,1033,0,0,0,6,40000,0,40000,0
'AveragedSim',2,4,0,0,0.109,1111.6,1106.6,0,0,0.8,4.2,40000,0,40000,0.000719683
'Simulation 51',2,4,0,0,0.11,1106,1100,0,0,1,5,40000,0,40000,0.000904159
'Simulation 52',2,4,0,0,0.11,1103,1088,0,0,12,3,40000,0,40000,0.01087942
'Simulation 53',2,4,0,0,0.11,1078,1069,0,0,0,9,40000,0,40000,0
'Simulation 54',2,4,0,0,0.11,1096,1090,0,0,0,6,40000,0,40000,0
'Simulation 55',2,4,0,0,0.11,1097,1089,0,0,5,3,40000,0,40000,0.004557885
'AveragedSim',2,4,0,0,0.11,1096,1087.2,0,0,3.6,5.2,40000,0,40000,0.003284672
'Simulation 56',2,4,0,0,0.111,1130,1121,0,0,7,2,40000,0,40000,0.00619469
'Simulation 57',2,4,0,0,0.111,1125,1119,0,0,1,5,40000,0,40000,0.000888889
'Simulation 58',2,4,0,0,0.111,1085,1079,0,0,1,5,40000,0,40000,0.000921659
'Simulation 59',2,4,0,0,0.111,1126,1116,0,0,8,2,40000,0,40000,0.007104796
'Simulation 60',2,4,0,0,0.111,1094,1090,0,0,2,2,40000,0,40000,0.001828154
'AveragedSim',2,4,0,0,0.111,1112,1105,0,0,3.8,3.2,40000,0,40000,0.003417266
'Simulation 61',2,4,0,0,0.112,1092,1089,0,0,3,0,40000,0,40000,0.002747253
'Simulation 62',2,4,0,0,0.112,1082,1074,0,0,3,5,40000,0,40000,0.002772643
'Simulation 63',2,4,0,0,0.112,1093,1088,0,0,3,2,40000,0,40000,0.002744739
'Simulation 64',2,4,0,0,0.112,1090,1086,0,0,2,2,40000,0,40000,0.001834862
'Simulation 65',2,4,0,0,0.112,1112,1107,0,0,3,2,40000,0,40000,0.002697842
'AveragedSim',2,4,0,0,0.112,1093.8,1088.8,0,0,2.8,2.2,40000,0,40000,0.002559883
'Simulation 66',2,4,0,0,0.113,1120,1118,0,0,0,2,40000,0,40000,0
'Simulation 67',2,4,0,0,0.113,1147,1141,0,0,0,6,40000,0,40000,0
'Simulation 68',2,4,0,0,0.113,1112,1111,0,0,0,1,40000,0,40000,0
'Simulation 69',2,4,0,0,0.113,1137,1124,0,0,9,4,40000,0,40000,0.007915567
'Simulation 70',2,4,0,0,0.113,1164,1149,0,0,9,6,40000,0,40000,0.007731959
'AveragedSim',2,4,0,0,0.113,1136,1128.6,0,0,3.6,3.8,40000,0,40000,0.003169014
'Simulation 71',2,4,0,0,0.114,1165,1156,0,0,3,6,40000,0,40000,0.002575107
'Simulation 72',2,4,0,0,0.114,1090,1088,0,0,0,2,40000,0,40000,0
'Simulation 73',2,4,0,0,0.114,1172,1151,0,0,14,7,40000,0,40000,0.011945392
'Simulation 74',2,4,0,0,0.114,1143,1128,0,0,10,5,40000,0,40000,0.008748906
'Simulation 75',2,4,0,0,0.114,1101,1098,0,0,0,3,40000,0,40000,0
'AveragedSim',2,4,0,0,0.114,1134.2,1124.2,0,0,5.4,4.6,40000,0,40000,0.004761065
'Simulation 76',2,4,0,0,0.115,1135,1127,0,0,6,2,40000,0,40000,0.005286344
'Simulation 77',2,4,0,0,0.115,1158,1146,0,0,7,5,40000,0,40000,0.006044905
'Simulation 78',2,4,0,0,0.115,1140,1124,0,0,10,6,40000,0,40000,0.00877193
'Simulation 79',2,4,0,0,0.115,1133,1126,0,0,2,5,40000,0,40000,0.001765225
'Simulation 80',2,4,0,0,0.115,1205,1159,0,0,39,7,40000,0,40000,0.032365145
'AveragedSim',2,4,0,0,0.115,1154.2,1136.4,0,0,12.8,5,40000,0,40000,0.011089932
'Simulation 81',2,4,0,0,0.116,1155,1146,0,0,4,5,40000,0,40000,0.003463203
'Simulation 82',2,4,0,0,0.116,1155,1149,0,0,4,2,40000,0,40000,0.003463203
