'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,3,2,0,0.05,225,223,2,0,225,0,0,15000,100,15100
'Simulation 2',1,3,2,0,0.05,268,259,9,0,268,0,0,15000,450,15450
'Simulation 3',1,3,2,0,0.05,269,266,3,0,269,0,0,15000,150,15150
'Simulation 4',1,3,2,0,0.05,257,250,6,0,256,0,1,15000,300,15300
'Simulation 5',1,3,2,0,0.05,251,246,5,0,251,0,0,15000,250,15250
'Simulation 6',1,3,2,0,0.05,229,228,0,0,228,0,1,15000,0,15000
'Simulation 7',1,3,2,0,0.05,255,249,4,0,253,0,2,15000,200,15200
'Simulation 8',1,3,2,0,0.05,278,269,6,0,275,0,3,15000,300,15300
'Simulation 9',1,3,2,0,0.05,247,242,3,0,245,0,2,15000,150,15150
'Simulation 10',1,3,2,0,0.05,250,243,7,0,250,0,0,15000,350,15350
'Simulation 11',1,3,2,0,0.05,258,256,2,0,258,0,0,15000,100,15100
'Simulation 12',1,3,2,0,0.05,268,263,3,0,266,0,2,15000,150,15150
'Simulation 13',1,3,2,0,0.05,272,265,6,0,271,0,1,15000,300,15300
'Simulation 14',1,3,2,0,0.05,262,255,5,0,260,0,2,15000,250,15250
'Simulation 15',1,3,2,0,0.05,242,238,4,0,242,0,0,15000,200,15200
'Simulation 16',1,3,2,0,0.05,226,221,3,0,224,0,2,15000,150,15150
'Simulation 17',1,3,2,0,0.05,255,247,5,0,252,0,3,15000,250,15250
'Simulation 18',1,3,2,0,0.05,259,256,2,0,258,0,1,15000,150,15150
'Simulation 19',1,3,2,0,0.05,227,224,2,0,226,0,1,15000,100,15100
'Simulation 20',1,3,2,0,0.05,269,265,4,0,269,0,0,15000,200,15200
'Simulation 21',1,3,2,0,0.05,265,263,1,0,264,0,1,15000,50,15050
'Simulation 22',1,3,2,0,0.05,280,269,9,0,278,0,2,15000,450,15450
'Simulation 23',1,3,2,0,0.05,251,244,5,0,249,0,2,15000,250,15250
'Simulation 24',1,3,2,0,0.05,234,232,1,0,233,0,1,15000,50,15050
'Simulation 25',1,3,2,0,0.05,259,254,4,0,258,0,1,15000,200,15200
'AveragedSim',1,3.0,2.0,0.0,0.05,254.24,249.08,4.04,0.0,253.12,0.0,1.12,15000.0,204.0,15204.0
'Simulation 26',1,3,2,0,0.1,488,420,66,0,486,0,2,15000,3300,18300
'Simulation 27',1,3,2,0,0.1,499,436,62,0,498,0,1,15000,3100,18100
'Simulation 28',1,3,2,0,0.1,486,427,55,0,482,0,4,15000,2750,17750
'Simulation 29',1,3,2,0,0.1,538,463,71,0,534,0,4,15000,3550,18550
'Simulation 30',1,3,2,0,0.1,521,454,64,0,518,0,3,15000,3200,18200
'Simulation 31',1,3,2,0,0.1,492,439,50,0,489,0,3,15000,2500,17500
'Simulation 32',1,3,2,0,0.1,510,436,65,0,501,0,9,15000,3250,18250
'Simulation 33',1,3,2,0,0.1,440,390,47,0,437,0,3,15000,2350,17350
'Simulation 34',1,3,2,0,0.1,487,419,63,0,482,0,5,15000,3250,18250
'Simulation 35',1,3,2,0,0.1,525,438,84,0,522,0,3,15000,4200,19200
'Simulation 36',1,3,2,0,0.1,521,438,81,0,519,0,2,15000,4050,19050
'Simulation 37',1,3,2,0,0.1,536,451,85,0,536,0,0,15000,4250,19250
'Simulation 38',1,3,2,0,0.1,507,429,76,0,505,0,2,15000,3800,18800
'Simulation 39',1,3,2,0,0.1,477,416,60,0,476,0,1,15000,3000,18000
'Simulation 40',1,3,2,0,0.1,511,434,75,0,509,0,2,15000,3750,18750
'Simulation 41',1,3,2,0,0.1,479,433,43,0,476,0,3,15000,2150,17150
'Simulation 42',1,3,2,0,0.1,521,446,72,0,518,0,3,15000,3600,18600
'Simulation 43',1,3,2,0,0.1,512,441,63,0,504,0,8,15000,3200,18200
'Simulation 44',1,3,2,0,0.1,508,431,72,0,503,0,5,15000,3650,18650
'Simulation 45',1,3,2,0,0.1,509,424,84,0,508,0,1,15000,4200,19200
'Simulation 46',1,3,2,0,0.1,494,447,46,0,493,0,1,15000,2300,17300
'Simulation 47',1,3,2,0,0.1,462,410,48,0,458,0,4,15000,2400,17400
'Simulation 48',1,3,2,0,0.1,534,441,86,0,527,0,7,15000,4300,19300
'Simulation 49',1,3,2,0,0.1,508,456,49,0,505,0,3,15000,2450,17450
'Simulation 50',1,3,2,0,0.1,531,451,79,0,530,0,1,15000,3950,18950
