'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,4,1,0,0.55,2758,213,47,0,260,2433,65,20000,23650,43650
'Simulation 2',1,4,1,0,0.55,2781,173,40,0,213,2504,64,20000,23900,43900
'Simulation 3',1,4,1,0,0.55,2699,260,53,0,313,2337,49,20000,23450,43450
'Simulation 4',1,4,1,0,0.55,2802,207,47,0,254,2485,63,20000,26100,46100
'Simulation 5',1,4,1,0,0.55,2747,221,52,0,273,2408,66,20000,23900,43900
'Simulation 6',1,4,1,0,0.55,2747,209,42,0,251,2431,65,20000,23700,43700
'Simulation 7',1,4,1,0,0.55,2734,215,48,0,263,2410,61,20000,25200,45200
'Simulation 8',1,4,1,0,0.55,2765,224,52,0,276,2425,64,20000,23700,43700
'Simulation 9',1,4,1,0,0.55,2779,224,59,0,283,2443,53,20000,25050,45050
'Simulation 10',1,4,1,0,0.55,2756,203,62,0,265,2436,55,20000,24450,44450
'Simulation 11',1,4,1,0,0.55,2734,203,55,0,258,2419,57,20000,25000,45000
'Simulation 12',1,4,1,0,0.55,2833,199,36,0,235,2534,64,20000,24750,44750
'Simulation 13',1,4,1,0,0.55,2739,204,57,0,261,2418,60,20000,25200,45200
'Simulation 14',1,4,1,0,0.55,2708,211,54,0,265,2379,64,20000,23650,43650
'Simulation 15',1,4,1,0,0.55,2742,223,55,0,278,2407,57,20000,24100,44100
'Simulation 16',1,4,1,0,0.55,2696,187,53,0,240,2392,64,20000,24350,44350
'Simulation 17',1,4,1,0,0.55,2704,195,42,0,237,2412,55,20000,23450,43450
'Simulation 18',1,4,1,0,0.55,2765,195,57,0,252,2449,64,20000,23750,43750
'Simulation 19',1,4,1,0,0.55,2730,194,60,0,254,2422,54,20000,24200,44200
'Simulation 20',1,4,1,0,0.55,2742,247,59,0,306,2392,44,20000,24750,44750
'Simulation 21',1,4,1,0,0.55,2745,177,48,0,225,2461,59,20000,23850,43850
'Simulation 22',1,4,1,0,0.55,2773,197,49,0,246,2459,68,20000,24550,44550
'Simulation 23',1,4,1,0,0.55,2739,190,52,0,242,2429,68,20000,24800,44800
'Simulation 24',1,4,1,0,0.55,2774,170,54,0,224,2482,68,20000,25050,45050
'Simulation 25',1,4,1,0,0.55,2729,213,48,0,261,2413,55,20000,24750,44750
'AveragedSim',1,4.0,1.0,0.0,0.55,2748.84,206.16,51.24,0.0,257.4,2431.2,60.24,20000.0,24372.0,44372.0
'Simulation 26',1,4,1,0,0.6,2959,185,64,0,249,2647,63,20000,25800,45800
