'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,3,2,0,0.3,1591,251,159,0,410,1146,35,15000,31000,46000
'Simulation 2',1,3,2,0,0.3,1567,260,159,0,419,1111,37,15000,30700,45700
'Simulation 3',1,3,2,0,0.3,1505,280,168,0,448,1025,32,15000,29650,44650
'Simulation 4',1,3,2,0,0.3,1527,278,194,0,472,1027,28,15000,30050,45050
'Simulation 5',1,3,2,0,0.3,1463,261,193,0,454,976,33,15000,29250,44250
'Simulation 6',1,3,2,0,0.3,1535,296,165,0,461,1040,34,15000,30000,45000
'Simulation 7',1,3,2,0,0.3,1521,253,178,0,431,1064,26,15000,30450,45450
'Simulation 8',1,3,2,0,0.3,1479,268,195,0,463,990,26,15000,29350,44350
'Simulation 9',1,3,2,0,0.3,1472,267,182,0,449,993,30,15000,29100,44100
'Simulation 10',1,3,2,0,0.3,1527,279,191,0,470,1030,27,15000,30300,45300
'Simulation 11',1,3,2,0,0.3,1482,288,175,0,463,986,33,15000,28400,43400
'Simulation 12',1,3,2,0,0.3,1471,285,202,0,487,950,34,15000,28100,43100
'Simulation 13',1,3,2,0,0.3,1528,286,187,0,473,1021,34,15000,30200,45200
'Simulation 14',1,3,2,0,0.3,1527,293,180,0,473,1022,32,15000,29950,44950
'Simulation 15',1,3,2,0,0.3,1546,263,164,0,427,1080,39,15000,29750,44750
'Simulation 16',1,3,2,0,0.3,1453,264,175,0,439,978,36,15000,27850,42850
'Simulation 17',1,3,2,0,0.3,1491,291,168,0,459,1004,28,15000,29000,44000
'Simulation 18',1,3,2,0,0.3,1537,262,196,0,458,1048,31,15000,30000,45000
'Simulation 19',1,3,2,0,0.3,1502,270,168,0,438,1040,24,15000,29700,44700
'Simulation 20',1,3,2,0,0.3,1461,269,160,0,429,995,37,15000,28800,43800
'Simulation 21',1,3,2,0,0.3,1525,280,171,0,451,1041,33,15000,29550,44550
'Simulation 22',1,3,2,0,0.3,1495,271,169,0,440,1030,25,15000,29600,44600
'Simulation 23',1,3,2,0,0.3,1474,286,202,0,488,956,30,15000,29650,44650
'Simulation 24',1,3,2,0,0.3,1492,280,182,0,462,999,31,15000,28700,43700
'Simulation 25',1,3,2,0,0.3,1476,262,193,0,455,994,27,15000,29350,44350
'AveragedSim',1,3,2,0,0.3,1505.88,273.72,179.04,0,452.76,1021.84,31.28,15000,29538,44538
'Simulation 26',1,3,2,0,0.35,1769,203,138,0,341,1385,43,15000,33300,48300
'Simulation 27',1,3,2,0,0.35,1746,208,128,0,336,1367,43,15000,33400,48400
'Simulation 28',1,3,2,0,0.35,1704,264,160,0,424,1235,45,15000,32900,47900
'Simulation 29',1,3,2,0,0.35,1774,230,138,0,368,1372,34,15000,34050,49050
'Simulation 30',1,3,2,0,0.35,1700,240,146,0,386,1274,40,15000,33200,48200
'Simulation 31',1,3,2,0,0.35,1764,227,160,0,387,1343,34,15000,34250,49250
'Simulation 32',1,3,2,0,0.35,1797,212,147,0,359,1401,37,15000,35300,50300
'Simulation 33',1,3,2,0,0.35,1739,242,146,0,388,1311,40,15000,33800,48800
'Simulation 34',1,3,2,0,0.35,1829,268,160,0,428,1363,38,15000,35750,50750
'Simulation 35',1,3,2,0,0.35,1827,236,164,0,400,1384,43,15000,35000,50000
'Simulation 36',1,3,2,0,0.35,1770,267,153,0,420,1309,41,15000,34700,49700
'Simulation 37',1,3,2,0,0.35,1747,236,157,0,393,1322,32,15000,34400,49400
'Simulation 38',1,3,2,0,0.35,1743,230,159,0,389,1311,43,15000,34000,49000
'Simulation 39',1,3,2,0,0.35,1787,198,168,0,366,1384,37,15000,34450,49450
'Simulation 40',1,3,2,0,0.35,1763,251,158,0,409,1315,39,15000,34100,49100
'Simulation 41',1,3,2,0,0.35,1764,263,155,0,418,1305,41,15000,33950,48950
'Simulation 42',1,3,2,0,0.35,1778,202,133,0,335,1405,38,15000,34650,49650
'Simulation 43',1,3,2,0,0.35,1765,224,167,0,391,1332,42,15000,34700,49700
'Simulation 44',1,3,2,0,0.35,1747,237,169,0,406,1311,30,15000,34600,49600
'Simulation 45',1,3,2,0,0.35,1702,270,152,0,422,1243,37,15000,32850,47850
'Simulation 46',1,3,2,0,0.35,1710,274,164,0,438,1230,42,15000,33300,48300
'Simulation 47',1,3,2,0,0.35,1759,244,158,0,402,1315,42,15000,33900,48900
'Simulation 48',1,3,2,0,0.35,1817,240,170,0,410,1366,41,15000,35250,50250
'Simulation 49',1,3,2,0,0.35,1748,221,175,0,396,1316,36,15000,33800,48800
'Simulation 50',1,3,2,0,0.35,1721,260,154,0,414,1272,35,15000,33450,48450
'AveragedSim',1,3,2,0,0.35,1758.8,237.88,155.16,0,393.04,1326.84,38.92,15000,34122,49122
'Simulation 51',1,3,2,0,0.4,1989,230,138,0,368,1572,49,15000,39000,54000
'Simulation 52',1,3,2,0,0.4,1953,232,150,0,382,1532,39,15000,37650,52650
'Simulation 53',1,3,2,0,0.4,1975,219,141,0,360,1570,45,15000,37200,52200
'Simulation 54',1,3,2,0,0.4,2010,222,107,0,329,1642,39,15000,37200,52200
'Simulation 55',1,3,2,0,0.4,2026,201,121,0,322,1667,37,15000,38750,53750
'Simulation 56',1,3,2,0,0.4,2032,200,104,0,304,1683,45,15000,38600,53600
'Simulation 57',1,3,2,0,0.4,1989,193,120,0,313,1632,44,15000,37900,52900
'Simulation 58',1,3,2,0,0.4,2040,195,120,0,315,1681,44,15000,38050,53050
'Simulation 59',1,3,2,0,0.4,2012,204,134,0,338,1632,42,15000,38200,53200
'Simulation 60',1,3,2,0,0.4,1978,221,146,0,367,1578,33,15000,38450,53450
'Simulation 61',1,3,2,0,0.4,2029,201,130,0,331,1654,44,15000,37750,52750
'Simulation 62',1,3,2,0,0.4,1990,201,145,0,346,1601,43,15000,38550,53550
'Simulation 63',1,3,2,0,0.4,2050,223,157,0,380,1633,37,15000,38800,53800
'Simulation 64',1,3,2,0,0.4,1966,232,140,0,372,1555,39,15000,38100,53100
'Simulation 65',1,3,2,0,0.4,1986,217,148,0,365,1579,42,15000,37300,52300
'Simulation 66',1,3,2,0,0.4,1946,237,124,0,361,1537,48,15000,36700,51700
'Simulation 67',1,3,2,0,0.4,1975,195,131,0,326,1606,43,15000,38450,53450
'Simulation 68',1,3,2,0,0.4,2013,235,130,0,365,1601,47,15000,37350,52350
'Simulation 69',1,3,2,0,0.4,2054,192,138,0,330,1676,48,15000,39600,54600
'Simulation 70',1,3,2,0,0.4,2040,220,130,0,350,1646,44,15000,39100,54100
'Simulation 71',1,3,2,0,0.4,1974,237,131,0,368,1562,44,15000,38100,53100
'Simulation 72',1,3,2,0,0.4,1966,185,126,0,311,1609,46,15000,37550,52550
'Simulation 73',1,3,2,0,0.4,1955,206,125,0,331,1588,36,15000,37150,52150
'Simulation 74',1,3,2,0,0.4,1968,219,125,0,344,1585,39,15000,37800,52800
'Simulation 75',1,3,2,0,0.4,2006,218,143,0,361,1598,47,15000,38000,53000
'AveragedSim',1,3,2,0,0.4,1996.88,213.4,132.16,0,345.56,1608.76,42.56,15000,38052,53052
'Simulation 76',1,3,2,0,0.45,2257,208,125,0,333,1873,51,15000,41600,56600
'Simulation 77',1,3,2,0,0.45,2268,168,116,0,284,1931,53,15000,42300,57300
'Simulation 78',1,3,2,0,0.45,2249,201,138,0,339,1859,51,15000,42250,57250
'Simulation 79',1,3,2,0,0.45,2287,155,104,0,259,1979,49,15000,42550,57550
