'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 68',1,4,0,0,0.15,1448,1433,0,0,9,6,40000,0,40000
'Simulation 69',1,4,0,0,0.15,1517,1495,0,0,14,8,40000,0,40000
'Simulation 70',1,4,0,0,0.15,1467,1445,0,0,18,4,40000,0,40000
'Simulation 71',1,4,0,0,0.15,1484,1443,0,0,32,9,40000,0,40000
'Simulation 72',1,4,0,0,0.15,1482,1448,0,0,25,9,40000,0,40000
'Simulation 73',1,4,0,0,0.15,1430,1416,0,0,12,2,40000,0,40000
'Simulation 74',1,4,0,0,0.15,1471,1440,0,0,27,4,40000,0,40000
'Simulation 75',1,4,0,0,0.15,1535,1513,0,0,15,7,40000,0,40000
'Simulation 76',1,4,0,0,0.15,1496,1481,0,0,12,3,40000,0,40000
'Simulation 77',1,4,0,0,0.15,1459,1434,0,0,19,6,40000,0,40000
'Simulation 78',1,4,0,0,0.15,1491,1464,0,0,22,5,40000,0,40000
'Simulation 79',1,4,0,0,0.15,1569,1538,0,0,24,7,40000,0,40000
'Simulation 80',1,4,0,0,0.15,1441,1412,0,0,23,6,40000,0,40000
'AveragedSim',1,4.0,0.0,0.0,0.15,1487.8,1462.65,0.0,0.0,19.25,5.9,40000.0,0.0,40000.0
'Simulation 81',1,4,0,0,0.2,2047,1908,0,0,129,10,40000,0,40000
'Simulation 82',1,4,0,0,0.2,1952,1831,0,0,115,6,40000,0,40000
'Simulation 83',1,4,0,0,0.2,2002,1870,0,0,128,4,40000,0,40000
'Simulation 84',1,4,0,0,0.2,2015,1861,0,0,139,15,40000,0,40000
'Simulation 85',1,4,0,0,0.2,1976,1846,0,0,122,8,40000,0,40000
'Simulation 86',1,4,0,0,0.2,2065,1897,0,0,161,7,40000,0,40000
'Simulation 87',1,4,0,0,0.2,2011,1810,0,0,189,12,40000,0,40000
'Simulation 88',1,4,0,0,0.2,1961,1871,0,0,79,11,40000,0,40000
'Simulation 89',1,4,0,0,0.2,1990,1802,0,0,175,13,40000,0,40000
'Simulation 90',1,4,0,0,0.2,2013,1876,0,0,126,11,40000,0,40000
'Simulation 91',1,4,0,0,0.2,2011,1850,0,0,153,8,40000,0,40000
'Simulation 92',1,4,0,0,0.2,2082,1888,0,0,186,8,40000,0,40000
'Simulation 93',1,4,0,0,0.2,2016,1836,0,0,170,10,40000,0,40000
'Simulation 94',1,4,0,0,0.2,1974,1847,0,0,121,6,40000,0,40000
'Simulation 95',1,4,0,0,0.2,2002,1877,0,0,119,6,40000,0,40000
'Simulation 96',1,4,0,0,0.2,1968,1856,0,0,100,12,40000,0,40000
'Simulation 97',1,4,0,0,0.2,2065,1897,0,0,161,7,40000,0,40000
'Simulation 98',1,4,0,0,0.2,2052,1905,0,0,133,14,40000,0,40000
'Simulation 99',1,4,0,0,0.2,1995,1862,0,0,124,9,40000,0,40000
'Simulation 100',1,4,0,0,0.2,1971,1790,0,0,173,8,40000,0,40000
