'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',1,4,1,0,0.05,247,243,0,0,0,4,20000,0,20000
'Simulation 2',1,4,1,0,0.05,255,251,1,0,0,3,20000,50,20050
'Simulation 3',1,4,1,0,0.05,230,230,0,0,0,0,20000,0,20000
'Simulation 4',1,4,1,0,0.05,271,270,0,0,0,1,20000,0,20000
'Simulation 5',1,4,1,0,0.05,259,256,1,0,0,2,20000,50,20050
'Simulation 6',1,4,1,0,0.05,253,251,0,0,0,2,20000,0,20000
'Simulation 7',1,4,1,0,0.05,271,271,0,0,0,0,20000,0,20000
'Simulation 8',1,4,1,0,0.05,255,251,1,0,0,3,20000,50,20050
'Simulation 9',1,4,1,0,0.05,273,271,0,0,0,2,20000,0,20000
'Simulation 10',1,4,1,0,0.05,243,243,0,0,0,0,20000,0,20000
'Simulation 11',1,4,1,0,0.05,246,242,2,0,0,2,20000,100,20100
'Simulation 12',1,4,1,0,0.05,250,249,0,0,0,1,20000,0,20000
'Simulation 13',1,4,1,0,0.05,252,250,0,0,0,2,20000,0,20000
'Simulation 14',1,4,1,0,0.05,258,257,0,0,0,1,20000,0,20000
'Simulation 15',1,4,1,0,0.05,247,244,0,0,0,3,20000,0,20000
'Simulation 16',1,4,1,0,0.05,239,239,0,0,0,0,20000,0,20000
'Simulation 17',1,4,1,0,0.05,261,260,0,0,0,1,20000,0,20000
'Simulation 18',1,4,1,0,0.05,256,252,1,0,0,3,20000,50,20050
'Simulation 19',1,4,1,0,0.05,240,240,0,0,0,0,20000,0,20000
'Simulation 20',1,4,1,0,0.05,263,258,2,0,0,3,20000,100,20100
'Simulation 21',1,4,1,0,0.05,244,241,1,0,0,2,20000,50,20050
'Simulation 22',1,4,1,0,0.05,224,223,0,0,0,1,20000,0,20000
'Simulation 23',1,4,1,0,0.05,237,234,0,0,0,3,20000,0,20000
'Simulation 24',1,4,1,0,0.05,249,249,0,0,0,0,20000,0,20000
'Simulation 25',1,4,1,0,0.05,284,283,0,0,0,1,20000,0,20000
'AveragedSim',1,4.0,1.0,0.0,0.05,252.28,250.32,0.36,0.0,0.0,1.6,20000.0,18.0,20018.0
'Simulation 26',1,4,1,0,0.1,515,503,12,0,0,0,20000,600,20600
'Simulation 27',1,4,1,0,0.1,509,488,15,0,0,6,20000,750,20750
'Simulation 28',1,4,1,0,0.1,460,451,7,0,0,2,20000,350,20350
'Simulation 29',1,4,1,0,0.1,499,491,8,0,0,0,20000,400,20400
'Simulation 30',1,4,1,0,0.1,500,491,7,0,0,2,20000,350,20350
'Simulation 31',1,4,1,0,0.1,477,459,14,0,0,4,20000,700,20700
'Simulation 32',1,4,1,0,0.1,509,494,13,0,0,2,20000,650,20650
'Simulation 33',1,4,1,0,0.1,530,502,25,0,0,3,20000,1250,21250
'Simulation 34',1,4,1,0,0.1,491,470,13,0,0,8,20000,700,20700
'Simulation 35',1,4,1,0,0.1,479,466,10,0,0,3,20000,500,20500
'Simulation 36',1,4,1,0,0.1,497,479,12,0,0,6,20000,600,20600
