'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,4,1,0,0.3,1478,354,93,0,447,1002,29,20000,14800,34800
'Simulation 2',1,4,1,0,0.3,1471,406,100,0,506,935,30,20000,14750,34750
'Simulation 3',1,4,1,0,0.3,1489,385,99,0,484,975,30,20000,14300,34300
'Simulation 4',1,4,1,0,0.3,1431,399,80,0,479,919,33,20000,13350,33350
'Simulation 5',1,4,1,0,0.3,1427,351,87,0,438,955,34,20000,14150,34150
'Simulation 6',1,4,1,0,0.3,1552,365,71,0,436,1081,35,20000,15250,35250
'Simulation 7',1,4,1,0,0.3,1532,362,94,0,456,1041,35,20000,15150,35150
'Simulation 8',1,4,1,0,0.3,1557,377,99,0,476,1046,35,20000,15450,35450
'Simulation 9',1,4,1,0,0.3,1497,363,90,0,453,1020,24,20000,15150,35150
'Simulation 10',1,4,1,0,0.3,1495,333,84,0,417,1047,31,20000,15100,35100
'Simulation 11',1,4,1,0,0.3,1484,313,73,0,386,1067,31,20000,14750,34750
'Simulation 12',1,4,1,0,0.3,1503,375,88,0,463,1007,33,20000,14850,34850
'Simulation 13',1,4,1,0,0.3,1482,356,90,0,446,1005,31,20000,14400,34400
'Simulation 14',1,4,1,0,0.3,1447,372,97,0,469,951,27,20000,14450,34450
'Simulation 15',1,4,1,0,0.3,1484,344,85,0,429,1022,33,20000,14400,34400
'Simulation 16',1,4,1,0,0.3,1519,324,88,0,412,1081,26,20000,15400,35400
'Simulation 17',1,4,1,0,0.3,1492,375,87,0,462,996,34,20000,14350,34350
'Simulation 18',1,4,1,0,0.3,1577,356,84,0,440,1104,33,20000,15900,35900
'Simulation 19',1,4,1,0,0.3,1442,355,88,0,443,961,38,20000,14250,34250
'Simulation 20',1,4,1,0,0.3,1498,412,97,0,509,951,38,20000,14250,34250
'Simulation 21',1,4,1,0,0.3,1546,369,77,0,446,1065,35,20000,14850,34850
'Simulation 22',1,4,1,0,0.3,1508,360,74,0,434,1042,32,20000,14800,34800
'Simulation 23',1,4,1,0,0.3,1488,393,97,0,490,974,24,20000,14800,34800
'Simulation 24',1,4,1,0,0.3,1539,378,83,0,461,1044,34,20000,14800,34800
'Simulation 25',1,4,1,0,0.3,1553,380,93,0,473,1054,26,20000,15400,35400
'AveragedSim',1,4.0,1.0,0.0,0.3,1499.64,366.28,87.92,0.0,454.2,1013.8,31.64,20000.0,14764.0,34764.0
'Simulation 26',1,4,1,0,0.35,1749,308,80,0,388,1327,34,20000,16800,36800
'Simulation 27',1,4,1,0,0.35,1743,313,68,0,381,1323,39,20000,17150,37150
'Simulation 28',1,4,1,0,0.35,1765,296,73,0,369,1361,35,20000,17150,37150
'Simulation 29',1,4,1,0,0.35,1751,317,72,0,389,1320,42,20000,16550,36550
'Simulation 30',1,4,1,0,0.35,1736,289,75,0,364,1331,41,20000,16500,36500
'Simulation 31',1,4,1,0,0.35,1754,325,76,0,401,1315,38,20000,17400,37400
'Simulation 32',1,4,1,0,0.35,1722,310,66,0,376,1305,41,20000,16750,36750
'Simulation 33',1,4,1,0,0.35,1772,325,78,0,403,1331,38,20000,16500,36500
'Simulation 34',1,4,1,0,0.35,1758,294,76,0,370,1349,39,20000,16950,36950
'Simulation 35',1,4,1,0,0.35,1789,285,65,0,350,1395,44,20000,16500,36500
'Simulation 36',1,4,1,0,0.35,1774,273,66,0,339,1396,39,20000,16650,36650
'Simulation 37',1,4,1,0,0.35,1712,323,77,0,400,1275,37,20000,16100,36100
'Simulation 38',1,4,1,0,0.35,1772,281,86,0,367,1366,39,20000,17050,37050
'Simulation 39',1,4,1,0,0.35,1759,309,74,0,383,1342,34,20000,16750,36750
'Simulation 40',1,4,1,0,0.35,1747,304,65,0,369,1346,32,20000,17150,37150
'Simulation 41',1,4,1,0,0.35,1717,306,77,0,383,1307,27,20000,16500,36500
'Simulation 42',1,4,1,0,0.35,1755,335,65,0,400,1321,34,20000,16750,36750
'Simulation 43',1,4,1,0,0.35,1779,274,70,0,344,1399,36,20000,17600,37600
'Simulation 44',1,4,1,0,0.35,1709,315,71,0,386,1294,29,20000,16600,36600
'Simulation 45',1,4,1,0,0.35,1742,260,63,0,323,1375,44,20000,16750,36750
'Simulation 46',1,4,1,0,0.35,1707,341,69,0,410,1264,33,20000,16400,36400
'Simulation 47',1,4,1,0,0.35,1731,319,71,0,390,1305,36,20000,17350,37350
'Simulation 48',1,4,1,0,0.35,1816,333,78,0,411,1376,29,20000,17900,37900
'Simulation 49',1,4,1,0,0.35,1736,366,81,0,447,1253,36,20000,16900,36900
'Simulation 50',1,4,1,0,0.35,1784,302,72,0,374,1373,37,20000,17350,37350
'AveragedSim',1,4.0,1.0,0.0,0.35,1751.16,308.12,72.56,0.0,380.68,1333.96,36.52,20000.0,16882.0,36882.0
'Simulation 51',1,4,1,0,0.4,2036,274,47,0,321,1671,44,20000,19750,39750
'Simulation 52',1,4,1,0,0.4,1992,271,65,0,336,1617,39,20000,18250,38250
'Simulation 53',1,4,1,0,0.4,1975,259,69,0,328,1607,40,20000,18600,38600
'Simulation 54',1,4,1,0,0.4,2021,290,70,0,360,1611,50,20000,18650,38650
'Simulation 55',1,4,1,0,0.4,2023,285,55,0,340,1643,40,20000,19200,39200
'Simulation 56',1,4,1,0,0.4,2044,222,54,0,276,1725,43,20000,19650,39650
'Simulation 57',1,4,1,0,0.4,1994,305,59,0,364,1587,43,20000,18900,38900
'Simulation 58',1,4,1,0,0.4,2019,288,60,0,348,1630,41,20000,19200,39200
'Simulation 59',1,4,1,0,0.4,2015,284,82,0,366,1603,46,20000,19000,39000
'Simulation 60',1,4,1,0,0.4,2003,280,65,0,345,1613,45,20000,19000,39000
'Simulation 61',1,4,1,0,0.4,2008,251,69,0,320,1644,44,20000,19500,39500
'Simulation 62',1,4,1,0,0.4,1947,281,62,0,343,1558,46,20000,18750,38750
'Simulation 63',1,4,1,0,0.4,1961,299,53,0,352,1563,46,20000,19350,39350
'Simulation 64',1,4,1,0,0.4,1966,256,65,0,321,1600,45,20000,18800,38800
'Simulation 65',1,4,1,0,0.4,2005,300,66,0,366,1597,42,20000,20250,40250
'Simulation 66',1,4,1,0,0.4,2008,254,58,0,312,1661,35,20000,19950,39950
'Simulation 67',1,4,1,0,0.4,1986,301,81,0,382,1559,45,20000,18950,38950
'Simulation 68',1,4,1,0,0.4,1953,292,68,0,360,1548,45,20000,19500,39500
'Simulation 69',1,4,1,0,0.4,2050,294,76,0,370,1629,51,20000,20200,40200
'Simulation 70',1,4,1,0,0.4,1997,235,60,0,295,1657,45,20000,19150,39150
'Simulation 71',1,4,1,0,0.4,2053,275,67,0,342,1666,45,20000,20050,40050
'Simulation 72',1,4,1,0,0.4,2012,294,50,0,344,1617,51,20000,19200,39200
'Simulation 73',1,4,1,0,0.4,2019,266,54,0,320,1658,41,20000,19000,39000
'Simulation 74',1,4,1,0,0.4,2017,243,62,0,305,1674,38,20000,19900,39900
'Simulation 75',1,4,1,0,0.4,2030,250,64,0,314,1670,46,20000,20250,40250
'AveragedSim',1,4.0,1.0,0.0,0.4,2005.36,273.96,63.24,0.0,337.2,1624.32,43.84,20000.0,19320.0,39320.0
'Simulation 76',1,4,1,0,0.45,2233,238,56,0,294,1885,54,20000,20900,40900
'Simulation 77',1,4,1,0,0.45,2288,242,61,0,303,1930,55,20000,21450,41450
'Simulation 78',1,4,1,0,0.45,2287,240,64,0,304,1940,43,20000,21450,41450
'Simulation 79',1,4,1,0,0.45,2213,207,48,0,255,1903,55,20000,21700,41700
'Simulation 80',1,4,1,0,0.45,2219,265,69,0,334,1838,47,20000,20950,40950
'Simulation 81',1,4,1,0,0.45,2299,230,55,0,285,1962,52,20000,21050,41050
'Simulation 82',1,4,1,0,0.45,2228,247,68,0,315,1875,38,20000,21650,41650
'Simulation 83',1,4,1,0,0.45,2288,279,71,0,350,1884,54,20000,21200,41200
'Simulation 84',1,4,1,0,0.45,2265,320,58,0,378,1833,54,20000,21550,41550
'Simulation 85',1,4,1,0,0.45,2276,289,69,0,358,1868,50,20000,20800,40800
'Simulation 86',1,4,1,0,0.45,2277,229,56,0,285,1936,56,20000,20200,40200
'Simulation 87',1,4,1,0,0.45,2264,247,52,0,299,1910,55,20000,21100,41100
'Simulation 88',1,4,1,0,0.45,2324,233,41,0,274,2004,46,20000,20900,40900
'Simulation 89',1,4,1,0,0.45,2283,237,75,0,312,1928,43,20000,21700,41700
'Simulation 90',1,4,1,0,0.45,2216,273,66,0,339,1823,54,20000,20250,40250
'Simulation 91',1,4,1,0,0.45,2230,253,63,0,316,1867,47,20000,20350,40350
'Simulation 92',1,4,1,0,0.45,2315,236,54,0,290,1972,53,20000,21300,41300
'Simulation 93',1,4,1,0,0.45,2250,260,58,0,318,1881,51,20000,20550,40550
'Simulation 94',1,4,1,0,0.45,2244,243,52,0,295,1893,56,20000,20600,40600
'Simulation 95',1,4,1,0,0.45,2209,228,67,0,295,1873,41,20000,21400,41400
'Simulation 96',1,4,1,0,0.45,2216,282,62,0,344,1828,44,20000,20950,40950
'Simulation 97',1,4,1,0,0.45,2181,236,53,0,289,1850,42,20000,20700,40700
'Simulation 98',1,4,1,0,0.45,2214,216,54,0,270,1896,48,20000,21200,41200
'Simulation 99',1,4,1,0,0.45,2190,238,66,0,304,1829,57,20000,20650,40650
'Simulation 100',1,4,1,0,0.45,2216,273,66,0,339,1823,54,20000,20250,40250
'AveragedSim',1,4.0,1.0,0.0,0.45,2249.0,249.64,60.16,0.0,309.8,1889.24,49.96,20000.0,20992.0,40992.0
'Simulation 101',1,4,1,0,0.5,2545,278,56,0,334,2162,49,20000,23000,43000
'Simulation 102',1,4,1,0,0.5,2548,219,53,0,272,2218,58,20000,23050,43050
'Simulation 103',1,4,1,0,0.5,2541,247,47,0,294,2190,57,20000,23000,43000
'Simulation 104',1,4,1,0,0.5,2517,211,53,0,264,2198,55,20000,22300,42300
'Simulation 105',1,4,1,0,0.5,2440,215,57,0,272,2117,51,20000,21850,41850
'Simulation 106',1,4,1,0,0.5,2461,211,55,0,266,2142,53,20000,22550,42550
'Simulation 107',1,4,1,0,0.5,2494,233,60,0,293,2147,54,20000,21700,41700
'Simulation 108',1,4,1,0,0.5,2506,209,56,0,265,2191,50,20000,22600,42600
'Simulation 109',1,4,1,0,0.5,2517,224,55,0,279,2181,57,20000,23650,43650
'Simulation 110',1,4,1,0,0.5,2538,237,47,0,284,2197,57,20000,21850,41850
'Simulation 111',1,4,1,0,0.5,2479,279,49,0,328,2101,50,20000,21650,41650
'Simulation 112',1,4,1,0,0.5,2521,213,50,0,263,2204,54,20000,23100,43100
'Simulation 113',1,4,1,0,0.5,2490,258,67,0,325,2109,56,20000,22100,42100
'Simulation 114',1,4,1,0,0.5,2510,245,62,0,307,2145,58,20000,22800,42800
'Simulation 115',1,4,1,0,0.5,2472,252,56,0,308,2110,54,20000,21950,41950
'Simulation 116',1,4,1,0,0.5,2504,243,52,0,295,2153,56,20000,22850,42850
'Simulation 117',1,4,1,0,0.5,2503,216,55,0,271,2164,68,20000,22900,42900
'Simulation 118',1,4,1,0,0.5,2504,219,65,0,284,2165,55,20000,22550,42550
'Simulation 119',1,4,1,0,0.5,2531,221,63,0,284,2189,58,20000,22900,42900
'Simulation 120',1,4,1,0,0.5,2500,236,48,0,284,2159,57,20000,22350,42350
'Simulation 121',1,4,1,0,0.5,2543,228,46,0,274,2209,60,20000,23150,43150
'Simulation 122',1,4,1,0,0.5,2485,202,52,0,254,2179,52,20000,23200,43200
'Simulation 123',1,4,1,0,0.5,2526,232,51,0,283,2198,45,20000,23200,43200
'Simulation 124',1,4,1,0,0.5,2482,208,45,0,253,2178,51,20000,22200,42200
'Simulation 125',1,4,1,0,0.5,2458,237,67,0,304,2105,49,20000,22350,42350
'AveragedSim',1,4.0,1.0,0.0,0.5,2504.6,230.92,54.68,0.0,285.6,2164.44,54.56,20000.0,22592.0,42592.0
