'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,4,1,20,0.05,258,252,0,5,257,0,1,20000,0,20000
'Simulation 2',1,4,1,20,0.05,246,242,0,3,245,0,1,20000,0,20000
'Simulation 3',1,4,1,20,0.05,274,267,2,3,272,0,2,20000,100,20100
'Simulation 4',1,4,1,20,0.05,254,246,0,7,253,0,1,20000,0,20000
'Simulation 5',1,4,1,20,0.05,245,244,0,1,245,0,0,20000,0,20000
'Simulation 6',1,4,1,20,0.05,249,244,0,5,249,0,0,20000,0,20000
'Simulation 7',1,4,1,20,0.05,228,228,0,0,228,0,0,20000,0,20000
'Simulation 8',1,4,1,20,0.05,232,225,1,5,231,0,1,20000,50,20050
'Simulation 9',1,4,1,20,0.05,260,254,0,4,258,0,2,20000,0,20000
'Simulation 10',1,4,1,20,0.05,223,219,0,0,219,0,4,20000,0,20000
'Simulation 11',1,4,1,20,0.05,263,259,0,4,263,0,0,20000,0,20000
'Simulation 12',1,4,1,20,0.05,255,250,0,4,254,0,1,20000,0,20000
'Simulation 13',1,4,1,20,0.05,260,256,1,2,259,0,1,20000,50,20050
'Simulation 14',1,4,1,20,0.05,255,249,0,4,253,0,2,20000,0,20000
'Simulation 15',1,4,1,20,0.05,262,257,0,3,260,0,2,20000,0,20000
'Simulation 16',1,4,1,20,0.05,247,237,0,8,245,0,2,20000,0,20000
'Simulation 17',1,4,1,20,0.05,244,238,0,5,243,0,1,20000,0,20000
'Simulation 18',1,4,1,20,0.05,229,228,0,1,229,0,0,20000,0,20000
'Simulation 19',1,4,1,20,0.05,239,237,0,1,238,0,1,20000,0,20000
'Simulation 20',1,4,1,20,0.05,226,225,0,1,226,0,0,20000,0,20000
'AveragedSim',1,4.0,1.0,20.0,0.05,247.45,242.85,0.2,3.3,246.35,0.0,1.1,20000.0,10.0,20010.0
'Simulation 21',1,4,1,20,0.1,492,434,2,53,489,0,3,20000,100,20100
'Simulation 22',1,4,1,20,0.1,544,471,2,68,541,0,3,20000,100,20100
'Simulation 23',1,4,1,20,0.1,434,397,1,35,433,0,1,20000,50,20050
'Simulation 24',1,4,1,20,0.1,496,454,3,36,493,0,3,20000,150,20150
'Simulation 25',1,4,1,20,0.1,482,439,2,39,480,0,2,20000,100,20100
'Simulation 26',1,4,1,20,0.1,443,406,2,34,442,0,1,20000,100,20100
'Simulation 27',1,4,1,20,0.1,554,485,2,67,554,0,0,20000,100,20100
'Simulation 28',1,4,1,20,0.1,485,441,4,33,478,0,7,20000,200,20200
'Simulation 29',1,4,1,20,0.1,500,445,4,48,497,0,3,20000,200,20200
'Simulation 30',1,4,1,20,0.1,505,451,2,49,502,0,3,20000,100,20100
'Simulation 31',1,4,1,20,0.1,525,467,4,53,524,0,1,20000,200,20200
'Simulation 32',1,4,1,20,0.1,481,438,3,36,477,0,4,20000,150,20150
'Simulation 33',1,4,1,20,0.1,486,452,2,31,485,0,1,20000,100,20100
'Simulation 34',1,4,1,20,0.1,507,455,0,50,505,0,2,20000,0,20000
'Simulation 35',1,4,1,20,0.1,499,455,0,38,493,0,6,20000,0,20000
'Simulation 36',1,4,1,20,0.1,486,435,4,42,481,0,5,20000,200,20200
'Simulation 37',1,4,1,20,0.1,505,454,4,40,498,0,7,20000,200,20200
'Simulation 38',1,4,1,20,0.1,476,428,1,43,472,0,4,20000,50,20050
'Simulation 39',1,4,1,20,0.1,501,449,1,46,496,0,5,20000,50,20050
'Simulation 40',1,4,1,20,0.1,479,432,2,39,473,0,6,20000,100,20100
'AveragedSim',1,4.0,1.0,20.0,0.1,494.0,444.4,2.25,44.0,490.65,0.0,3.35,20000.0,112.5,20112.5
'Simulation 41',1,4,1,20,0.15,774,577,18,177,772,0,2,20000,900,20900
'Simulation 42',1,4,1,20,0.15,768,595,12,159,766,0,2,20000,600,20600
'Simulation 43',1,4,1,20,0.15,788,586,15,177,778,0,10,20000,750,20750
'Simulation 44',1,4,1,20,0.15,754,592,15,141,748,0,6,20000,800,20800
'Simulation 45',1,4,1,20,0.15,718,569,7,134,710,0,8,20000,350,20350
'Simulation 46',1,4,1,20,0.15,766,582,16,164,762,0,4,20000,800,20800
'Simulation 47',1,4,1,20,0.15,725,592,6,126,724,0,1,20000,300,20300
'Simulation 48',1,4,1,20,0.15,735,563,7,162,732,0,3,20000,350,20350
'Simulation 49',1,4,1,20,0.15,766,581,10,171,762,0,4,20000,500,20500
'Simulation 50',1,4,1,20,0.15,712,560,14,134,708,0,4,20000,700,20700
'Simulation 51',1,4,1,20,0.15,746,584,10,149,743,0,3,20000,500,20500
'Simulation 52',1,4,1,20,0.15,780,597,7,172,776,0,4,20000,400,20400
'Simulation 53',1,4,1,20,0.15,724,564,12,145,721,0,3,20000,600,20600
'Simulation 54',1,4,1,20,0.15,743,568,11,153,732,0,11,20000,550,20550
'Simulation 55',1,4,1,20,0.15,776,566,17,190,773,0,3,20000,850,20850
'Simulation 56',1,4,1,20,0.15,732,581,13,134,728,0,4,20000,650,20650
'Simulation 57',1,4,1,20,0.15,772,580,15,174,769,0,3,20000,750,20750
'Simulation 58',1,4,1,20,0.15,721,557,14,145,716,0,5,20000,700,20700
'Simulation 59',1,4,1,20,0.15,734,566,11,152,729,0,5,20000,550,20550
'Simulation 60',1,4,1,20,0.15,744,574,14,149,737,0,7,20000,700,20700
'AveragedSim',1,4.0,1.0,20.0,0.15,748.9,576.7,12.2,155.4,744.3,0.0,4.6,20000.0,615.0,20615.0
'Simulation 61',1,4,1,20,0.2,992,650,24,315,989,0,3,20000,1200,21200
'Simulation 62',1,4,1,20,0.2,984,617,31,332,980,0,4,20000,1550,21550
'Simulation 63',1,4,1,20,0.2,1009,646,28,326,1000,0,9,20000,1400,21400
'Simulation 64',1,4,1,20,0.2,995,623,36,332,991,0,4,20000,1800,21800
'Simulation 65',1,4,1,20,0.2,977,642,28,303,973,0,4,20000,1400,21400
'Simulation 66',1,4,1,20,0.2,976,628,35,306,969,0,7,20000,1750,21750
'Simulation 67',1,4,1,20,0.2,1021,619,43,353,1015,0,6,20000,2150,22150
'Simulation 68',1,4,1,20,0.2,1038,620,38,371,1029,0,9,20000,1950,21950
'Simulation 69',1,4,1,20,0.2,918,633,19,263,915,0,3,20000,950,20950
'Simulation 70',1,4,1,20,0.2,1003,616,37,344,997,0,6,20000,1900,21900
'Simulation 71',1,4,1,20,0.2,1015,630,32,347,1009,0,6,20000,1600,21600
'Simulation 72',1,4,1,20,0.2,970,599,44,319,962,0,8,20000,2200,22200
'Simulation 73',1,4,1,20,0.2,981,623,26,324,973,0,8,20000,1300,21300
'Simulation 74',1,4,1,20,0.2,1027,611,49,362,1022,0,5,20000,2450,22450
'Simulation 75',1,4,1,20,0.2,1010,645,21,336,1002,0,8,20000,1050,21050
'Simulation 76',1,4,1,20,0.2,937,627,17,286,930,0,7,20000,850,20850
'Simulation 77',1,4,1,20,0.2,1035,605,47,374,1026,0,9,20000,2400,22400
'Simulation 78',1,4,1,20,0.2,1002,592,43,359,994,0,8,20000,2200,22200
'Simulation 79',1,4,1,20,0.2,1013,639,36,331,1006,0,7,20000,1800,21800
'Simulation 80',1,4,1,20,0.2,1035,636,37,357,1030,0,5,20000,1900,21900
'AveragedSim',1,4.0,1.0,20.0,0.2,996.9,625.05,33.55,332.0,990.6,0.0,6.3,20000.0,1690.0,21690.0
'Simulation 81',1,4,1,20,0.25,1209,648,59,494,1201,0,8,20000,2950,22950
'Simulation 82',1,4,1,20,0.25,1219,666,54,490,1210,0,9,20000,2750,22750
'Simulation 83',1,4,1,20,0.25,1267,611,80,569,1260,0,7,20000,4000,24000
'Simulation 84',1,4,1,20,0.25,1211,670,50,485,1205,0,6,20000,2500,22500
'Simulation 85',1,4,1,20,0.25,1234,628,73,525,1226,0,8,20000,3700,23700
'Simulation 86',1,4,1,20,0.25,1267,666,61,535,1262,0,5,20000,3050,23050
'Simulation 87',1,4,1,20,0.25,1237,670,63,497,1230,0,7,20000,3150,23150
'Simulation 88',1,4,1,20,0.25,1257,665,65,516,1246,0,11,20000,3300,23300
'Simulation 89',1,4,1,20,0.25,1297,670,68,554,1292,0,5,20000,3400,23400
'Simulation 90',1,4,1,20,0.25,1280,622,82,569,1273,0,7,20000,4100,24100
'Simulation 91',1,4,1,20,0.25,1239,635,72,526,1233,0,6,20000,3600,23600
'Simulation 92',1,4,1,20,0.25,1195,674,52,463,1189,0,6,20000,2600,22600
'Simulation 93',1,4,1,20,0.25,1255,653,56,538,1247,0,8,20000,2800,22800
