'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,3,2,0,0.3,1564,244,157,0,401,1131,32,15000,30050,45050
'Simulation 2',1,3,2,0,0.3,1512,281,149,0,430,1054,28,15000,29450,44450
'Simulation 3',1,3,2,0,0.3,1496,268,174,0,442,1020,34,15000,29750,44750
'Simulation 4',1,3,2,0,0.3,1446,294,199,0,493,923,30,15000,29100,44100
'Simulation 5',1,3,2,0,0.3,1538,274,202,0,476,1035,27,15000,30250,45250
'Simulation 6',1,3,2,0,0.3,1500,258,167,0,425,1047,28,15000,30250,45250
'Simulation 7',1,3,2,0,0.3,1518,257,174,0,431,1055,32,15000,29700,44700
'Simulation 8',1,3,2,0,0.3,1548,276,157,0,433,1071,44,15000,29950,44950
'Simulation 9',1,3,2,0,0.3,1480,266,191,0,457,989,34,15000,29500,44500
'Simulation 10',1,3,2,0,0.3,1500,267,177,0,444,1018,38,15000,29350,44350
'Simulation 11',1,3,2,0,0.3,1527,250,149,0,399,1090,38,15000,29350,44350
'Simulation 12',1,3,2,0,0.3,1493,287,190,0,477,994,22,15000,29450,44450
'Simulation 13',1,3,2,0,0.3,1436,309,198,0,507,902,27,15000,27850,42850
'Simulation 14',1,3,2,0,0.3,1486,312,186,0,498,955,33,15000,29200,44200
'Simulation 15',1,3,2,0,0.3,1539,254,174,0,428,1081,30,15000,30350,45350
'Simulation 16',1,3,2,0,0.3,1530,225,177,0,402,1095,33,15000,30100,45100
'Simulation 17',1,3,2,0,0.3,1466,299,214,0,513,926,27,15000,28700,43700
'Simulation 18',1,3,2,0,0.3,1500,303,181,0,484,983,33,15000,29350,44350
'Simulation 19',1,3,2,0,0.3,1520,304,182,0,486,1007,27,15000,29800,44800
'Simulation 20',1,3,2,0,0.3,1539,275,174,0,449,1052,38,15000,29700,44700
'Simulation 21',1,3,2,0,0.3,1487,290,185,0,475,978,34,15000,29600,44600
'Simulation 22',1,3,2,0,0.3,1484,280,186,0,466,985,33,15000,29000,44000
'Simulation 23',1,3,2,0,0.3,1479,286,173,0,459,991,29,15000,29800,44800
'Simulation 24',1,3,2,0,0.3,1517,313,190,0,503,981,33,15000,29750,44750
'Simulation 25',1,3,2,0,0.3,1535,296,165,0,461,1040,34,15000,30000,45000
'AveragedSim',1,3.0,2.0,0.0,0.3,1505.6,278.72,178.84,0.0,457.56,1016.12,31.92,15000.0,29574.0,44574.0
'Simulation 26',1,3,2,0,0.35,1746,215,170,0,385,1321,40,15000,33950,48950
'Simulation 27',1,3,2,0,0.35,1730,221,135,0,356,1330,44,15000,33300,48300
'Simulation 28',1,3,2,0,0.35,1779,252,152,0,404,1340,35,15000,33400,48400
'Simulation 29',1,3,2,0,0.35,1774,224,146,0,370,1367,37,15000,34050,49050
'Simulation 30',1,3,2,0,0.35,1653,229,131,0,360,1254,39,15000,32500,47500
'Simulation 31',1,3,2,0,0.35,1720,247,152,0,399,1288,33,15000,33200,48200
'Simulation 32',1,3,2,0,0.35,1767,210,139,0,349,1380,38,15000,33800,48800
'Simulation 33',1,3,2,0,0.35,1733,236,157,0,393,1299,41,15000,34500,49500
'Simulation 34',1,3,2,0,0.35,1747,244,158,0,402,1306,39,15000,33450,48450
'Simulation 35',1,3,2,0,0.35,1809,222,150,0,372,1406,31,15000,35300,50300
'Simulation 36',1,3,2,0,0.35,1784,215,140,0,355,1398,31,15000,34350,49350
'Simulation 37',1,3,2,0,0.35,1735,242,152,0,394,1304,37,15000,34100,49100
'Simulation 38',1,3,2,0,0.35,1757,237,168,0,405,1321,31,15000,34400,49400
'Simulation 39',1,3,2,0,0.35,1711,267,148,0,415,1261,35,15000,33250,48250
'Simulation 40',1,3,2,0,0.35,1716,227,152,0,379,1303,34,15000,34400,49400
