'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,3,2,0,0.55,2731,205,141,0,346,2315,70,15000,48550,63550
'Simulation 2',1,3,2,0,0.55,2758,159,99,0,258,2440,60,15000,48400,63400
'Simulation 3',1,3,2,0,0.55,2734,161,100,0,261,2420,53,15000,47950,62950
'Simulation 4',1,3,2,0,0.55,2781,153,110,0,263,2465,53,15000,49100,64100
'Simulation 5',1,3,2,0,0.55,2675,151,104,0,255,2359,61,15000,46700,61700
'Simulation 6',1,3,2,0,0.55,2676,168,121,0,289,2331,56,15000,48350,63350
'Simulation 7',1,3,2,0,0.55,2736,159,103,0,262,2414,60,15000,48250,63250
'Simulation 8',1,3,2,0,0.55,2794,155,92,0,247,2496,51,15000,48000,63000
'Simulation 9',1,3,2,0,0.55,2801,145,86,0,231,2514,56,15000,49200,64200
'Simulation 10',1,3,2,0,0.55,2736,159,103,0,262,2414,60,15000,48250,63250
'Simulation 11',1,3,2,0,0.55,2727,145,83,0,228,2440,59,15000,48300,63300
'Simulation 12',1,3,2,0,0.55,2767,161,116,0,277,2428,62,15000,46900,61900
'Simulation 13',1,3,2,0,0.55,2780,175,95,0,270,2452,58,15000,48950,63950
'Simulation 14',1,3,2,0,0.55,2673,154,110,0,264,2352,57,15000,47150,62150
'Simulation 15',1,3,2,0,0.55,2676,171,104,0,275,2344,57,15000,47900,62900
'Simulation 16',1,3,2,0,0.55,2748,164,90,0,254,2440,54,15000,49000,64000
'Simulation 17',1,3,2,0,0.55,2735,160,101,0,261,2417,57,15000,48850,63850
'Simulation 18',1,3,2,0,0.55,2715,142,87,0,229,2424,62,15000,47200,62200
'Simulation 19',1,3,2,0,0.55,2807,154,90,0,244,2493,70,15000,48900,63900
'Simulation 20',1,3,2,0,0.55,2790,160,90,0,250,2479,61,15000,48350,63350
'Simulation 21',1,3,2,0,0.55,2808,157,109,0,266,2475,67,15000,48700,63700
'Simulation 22',1,3,2,0,0.55,2757,167,111,0,278,2411,68,15000,48450,63450
'Simulation 23',1,3,2,0,0.55,2701,167,108,0,275,2366,60,15000,48500,63500
'Simulation 24',1,3,2,0,0.55,2791,153,105,0,258,2475,58,15000,48900,63900
'Simulation 25',1,3,2,0,0.55,2699,137,109,0,246,2399,54,15000,48700,63700
'AveragedSim',1,3.0,2.0,0.0,0.55,2743.84,159.28,102.68,0.0,261.96,2422.52,59.36,15000.0,48300.0,63300.0
'Simulation 26',1,3,2,0,0.6,2976,145,101,0,246,2656,74,15000,50550,65550
'Simulation 27',1,3,2,0,0.6,3043,138,74,0,212,2751,80,15000,52350,67350
'Simulation 28',1,3,2,0,0.6,3017,132,92,0,224,2724,69,15000,51850,66850
'Simulation 29',1,3,2,0,0.6,3006,164,126,0,290,2639,77,15000,51150,66150
'Simulation 30',1,3,2,0,0.6,2998,161,89,0,250,2683,65,15000,50950,65950
'Simulation 31',1,3,2,0,0.6,2950,129,91,0,220,2674,56,15000,51200,66200
'Simulation 32',1,3,2,0,0.6,2960,156,87,0,243,2653,64,15000,49200,64200
'Simulation 33',1,3,2,0,0.6,3022,141,94,0,235,2722,65,15000,51800,66800
'Simulation 34',1,3,2,0,0.6,2901,136,87,0,223,2627,51,15000,50300,65300
'Simulation 35',1,3,2,0,0.6,2971,154,98,0,252,2657,62,15000,49300,64300
'Simulation 36',1,3,2,0,0.6,2984,144,93,0,237,2683,64,15000,51000,66000
'Simulation 37',1,3,2,0,0.6,3039,138,88,0,226,2747,66,15000,50800,65800
'Simulation 38',1,3,2,0,0.6,3015,161,98,0,259,2691,65,15000,50200,65200
'Simulation 39',1,3,2,0,0.6,2955,141,91,0,232,2661,62,15000,51500,66500
'Simulation 40',1,3,2,0,0.6,3036,152,106,0,258,2707,71,15000,52250,67250
'Simulation 41',1,3,2,0,0.6,3048,132,82,0,214,2772,62,15000,52500,67500
'Simulation 42',1,3,2,0,0.6,3064,167,92,0,259,2741,64,15000,51350,66350
'Simulation 43',1,3,2,0,0.6,2961,156,105,0,261,2635,65,15000,50800,65800
'Simulation 44',1,3,2,0,0.6,2969,150,98,0,248,2662,59,15000,49450,64450
'Simulation 45',1,3,2,0,0.6,3056,141,74,0,215,2783,58,15000,50650,65650
