'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','Dead','Alive','PublicCost','PrivateCost','TotalCost'
'AveragedSim',1,0.0,0.0,10.0,0.75,3754.6666666666665,0.0,0.0,1926.0,1926.0,1774.3333333333333,54.333333333333336,0.0,0.0,0.0
'Simulation 46',1,0,0,10,0.8,3997,0,0,2023,2023,1915,59,0,0,0
'Simulation 47',1,0,0,10,0.8,4024,0,0,1933,1933,2039,52,0,0,0
'Simulation 48',1,0,0,10,0.8,3964,0,0,1984,1984,1917,63,0,0,0
'AveragedSim',1,0.0,0.0,10.0,0.8,3995.0,0.0,0.0,1980.0,1980.0,1957.0,58.0,0.0,0.0,0.0
'Simulation 49',1,0,0,10,0.85,4238,0,0,2235,2235,1945,58,0,0,0
'Simulation 50',1,0,0,10,0.85,4275,0,0,2074,2074,2140,61,0,0,0
'Simulation 51',1,0,0,10,0.85,4218,0,0,1970,1970,2177,71,0,0,0
'AveragedSim',1,0.0,0.0,10.0,0.85,4243.666666666667,0.0,0.0,2093.0,2093.0,2087.3333333333335,63.333333333333336,0.0,0.0,0.0
'Simulation 52',1,0,0,10,0.9,4512,0,0,2243,2243,2204,65,0,0,0
'Simulation 53',1,0,0,10,0.9,4498,0,0,2230,2230,2199,69,0,0,0
'Simulation 54',1,0,0,10,0.9,4459,0,0,2201,2201,2187,71,0,0,0
'AveragedSim',1,0.0,0.0,10.0,0.9,4489.666666666667,0.0,0.0,2224.6666666666665,2224.6666666666665,2196.6666666666665,68.33333333333333,0.0,0.0,0.0
'Simulation 55',1,0,0,10,0.95,4770,0,0,2140,2140,2561,69,0,0,0
'Simulation 56',1,0,0,10,0.95,4715,0,0,2137,2137,2506,72,0,0,0
'Simulation 57',1,0,0,10,0.95,4773,0,0,2252,2252,2451,70,0,0,0
'AveragedSim',1,0.0,0.0,10.0,0.95,4752.666666666667,0.0,0.0,2176.3333333333335,2176.3333333333335,2506.0,70.33333333333333,0.0,0.0,0.0
'Simulation 58',1,0,0,10,1.0,5000,0,0,2243,2243,2681,76,0,0,0
'Simulation 59',1,0,0,10,1.0,5000,0,0,2262,2262,2662,76,0,0,0
'Simulation 60',1,0,0,10,1.0,5000,0,0,2230,2230,2693,77,0,0,0
'AveragedSim',1,0.0,0.0,10.0,1.0,5000.0,0.0,0.0,2245.0,2245.0,2678.6666666666665,76.33333333333333,0.0,0.0,0.0
