'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','Dead','Alive','PublicCost','PrivateCost','TotalCost',RescueRate
'Simulation 41',1,0,0,20,0.7,3547,0,0,2659,2659,849,39,0,0,0,0.74964759
'Simulation 42',1,0,0,20,0.7,3471,0,0,2685,2685,745,41,0,0,0,0.77355229
'AveragedSim',1,0,0,20,0.7,3505,0,0,2652,2652,815,38,0,0,0,0.756633381
'Simulation 43',1,0,0,20,0.75,3746,0,0,2789,2789,911,46,0,0,0,0.744527496
'Simulation 44',1,0,0,20,0.75,3739,0,0,2767,2767,926,46,0,0,0,0.740037443
'Simulation 45',1,0,0,20,0.75,3750,0,0,2759,2759,941,50,0,0,0,0.735733333
'AveragedSim',1,0,0,20,0.75,3745,0,0,2771.666667,2771.666667,926,47.33333333,0,0,0,0.740097908
'Simulation 46',1,0,0,20,0.8,4007,0,0,2924,2924,1050,33,0,0,0,0.729722985
'Simulation 47',1,0,0,20,0.8,3979,0,0,2873,2873,1066,40,0,0,0,0.722040714
'Simulation 48',1,0,0,20,0.8,3978,0,0,2909,2909,1022,47,0,0,0,0.731271996
'AveragedSim',1,0,0,20,0.8,3988,0,0,2902,2902,1046,40,0,0,0,0.727683049
'Simulation 49',1,0,0,20,0.85,4251,0,0,3078,3078,1119,54,0,0,0,0.724064926
'Simulation 50',1,0,0,20,0.85,4229,0,0,3047,3047,1139,43,0,0,0,0.720501301
'Simulation 51',1,0,0,20,0.85,4284,0,0,3054,3054,1179,51,0,0,0,0.712885154
'AveragedSim',1,0,0,20,0.85,4254.666667,0,0,3059.666667,3059.666667,1145.666667,49.33333333,0,0,0,0.719131934
'Simulation 52',1,0,0,20,0.9,4515,0,0,3213,3213,1244,58,0,0,0,0.711627907
'Simulation 53',1,0,0,20,0.9,4493,0,0,3170,3170,1268,55,0,0,0,0.705541954
'Simulation 54',1,0,0,20,0.9,4522,0,0,3252,3252,1219,51,0,0,0,0.719150818
'AveragedSim',1,0,0,20,0.9,4510,0,0,3211.666667,3211.666667,1243.666667,54.66666667,0,0,0,0.712121212
'Simulation 55',1,0,0,20,0.95,4771,0,0,3385,3385,1340,46,0,0,0,0.709494865
'Simulation 56',1,0,0,20,0.95,4757,0,0,3322,3322,1375,60,0,0,0,0.698339289
'Simulation 57',1,0,0,20,0.95,4755,0,0,3386,3386,1324,45,0,0,0,0.712092534
'AveragedSim',1,0,0,20,0.95,4761,0,0,3364.333333,3364.333333,1346.333333,50.33333333,0,0,0,0.706644262
'Simulation 58',1,0,0,20,1,5000,0,0,3533,3533,1403,64,0,0,0,0.7066
'Simulation 59',1,0,0,20,1,5000,0,0,3382,3382,1565,53,0,0,0,0.6764
'Simulation 60',1,0,0,20,1,5000,0,0,3419,3419,1527,54,0,0,0,0.6838
'AveragedSim',1,0,0,20,1,5000,0,0,3444.666667,3444.666667,1498.333333,57,0,0,0,0.688933333
