'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',1,4,0,0,0.15,1537,1497,0,0,33,7,40000,0,40000
'Simulation 2',1,4,0,0,0.15,1544,1520,0,0,20,4,40000,0,40000
'Simulation 3',1,4,0,0,0.15,1465,1445,0,0,13,7,40000,0,40000
'Simulation 4',1,4,0,0,0.15,1494,1472,0,0,16,6,40000,0,40000
'Simulation 5',1,4,0,0,0.15,1535,1506,0,0,21,8,40000,0,40000
'AveragedSim',1,4.0,0.0,0.0,0.15,1515.0,1488.0,0.0,0.0,20.6,6.4,40000.0,0.0,40000.0
'Simulation 6',1,4,0,0,0.2,2028,1849,0,0,174,5,40000,0,40000
'Simulation 7',1,4,0,0,0.2,1999,1882,0,0,107,10,40000,0,40000
'Simulation 8',1,4,0,0,0.2,2012,1827,0,0,175,10,40000,0,40000
'Simulation 9',1,4,0,0,0.2,2003,1878,0,0,113,12,40000,0,40000
'Simulation 10',1,4,0,0,0.2,1979,1856,0,0,112,11,40000,0,40000
'AveragedSim',1,4.0,0.0,0.0,0.2,2004.2,1858.4,0.0,0.0,136.2,9.6,40000.0,0.0,40000.0
'Simulation 11',1,4,0,0,0.5,5015,2555,0,0,2431,29,40000,0,40000
'Simulation 12',1,4,0,0,0.5,4943,2738,0,0,2161,44,40000,0,40000
'Simulation 13',1,4,0,0,0.5,5043,2823,0,0,2193,27,40000,0,40000
'Simulation 14',1,4,0,0,0.5,5068,2670,0,0,2368,30,40000,0,40000
'Simulation 15',1,4,0,0,0.5,5045,2595,0,0,2411,39,40000,0,40000
'AveragedSim',1,4.0,0.0,0.0,0.5,5022.8,2676.2,0.0,0.0,2312.8,33.8,40000.0,0.0,40000.0
'Simulation 16',1,6,0,0,0.15,1485,1483,0,0,0,2,60000,0,60000
'Simulation 17',1,6,0,0,0.15,1536,1530,0,0,0,6,60000,0,60000
'Simulation 18',1,6,0,0,0.15,1534,1531,0,0,0,3,60000,0,60000
'Simulation 19',1,6,0,0,0.15,1505,1499,0,0,0,6,60000,0,60000
'Simulation 20',1,6,0,0,0.15,1470,1466,0,0,0,4,60000,0,60000
'AveragedSim',1,6.0,0.0,0.0,0.15,1506.0,1501.8,0.0,0.0,0.0,4.2,60000.0,0.0,60000.0
'Simulation 21',1,6,0,0,0.2,1970,1963,0,0,4,3,60000,0,60000
'Simulation 22',1,6,0,0,0.2,2049,2033,0,0,6,10,60000,0,60000
'Simulation 23',1,6,0,0,0.2,1940,1929,0,0,1,10,60000,0,60000
'Simulation 24',1,6,0,0,0.2,2068,2060,0,0,1,7,60000,0,60000
'Simulation 25',1,6,0,0,0.2,2049,2035,0,0,5,9,60000,0,60000
'AveragedSim',1,6.0,0.0,0.0,0.2,2015.2,2004.0,0.0,0.0,3.4,7.8,60000.0,0.0,60000.0
'Simulation 26',1,6,0,0,0.5,5077,3736,0,0,1317,24,60000,0,60000
'Simulation 27',1,6,0,0,0.5,4966,3877,0,0,1061,28,60000,0,60000
'Simulation 28',1,6,0,0,0.5,4990,3549,0,0,1417,24,60000,0,60000
'Simulation 29',1,6,0,0,0.5,5029,3812,0,0,1187,30,60000,0,60000
'Simulation 30',1,6,0,0,0.5,4911,3930,0,0,964,17,60000,0,60000
'AveragedSim',1,6.0,0.0,0.0,0.5,4994.6,3780.8,0.0,0.0,1189.2,24.6,60000.0,0.0,60000.0
'Simulation 31',1,8,0,0,0.15,1495,1491,0,0,0,4,80000,0,80000
'Simulation 32',1,8,0,0,0.15,1509,1505,0,0,0,4,80000,0,80000
'Simulation 33',1,8,0,0,0.15,1484,1483,0,0,0,1,80000,0,80000
'Simulation 34',1,8,0,0,0.15,1540,1537,0,0,0,3,80000,0,80000
'Simulation 35',1,8,0,0,0.15,1491,1485,0,0,0,6,80000,0,80000
'AveragedSim',1,8.0,0.0,0.0,0.15,1503.8,1500.2,0.0,0.0,0.0,3.6,80000.0,0.0,80000.0
'Simulation 36',1,8,0,0,0.2,1999,1991,0,0,0,8,80000,0,80000
'Simulation 37',1,8,0,0,0.2,1965,1957,0,0,0,8,80000,0,80000
'Simulation 38',1,8,0,0,0.2,2032,2026,0,0,0,6,80000,0,80000
'Simulation 39',1,8,0,0,0.2,1968,1965,0,0,0,3,80000,0,80000
'Simulation 40',1,8,0,0,0.2,2023,2017,0,0,0,6,80000,0,80000
'AveragedSim',1,8.0,0.0,0.0,0.2,1997.4,1991.2,0.0,0.0,0.0,6.2,80000.0,0.0,80000.0
'Simulation 41',1,8,0,0,0.5,4926,4454,0,0,451,21,80000,0,80000
'Simulation 42',1,8,0,0,0.5,5037,4532,0,0,485,20,80000,0,80000
'Simulation 43',1,8,0,0,0.5,4998,4501,0,0,471,26,80000,0,80000
'Simulation 44',1,8,0,0,0.5,5063,4554,0,0,483,26,80000,0,80000
'Simulation 45',1,8,0,0,0.5,5018,4291,0,0,700,27,80000,0,80000
'AveragedSim',1,8.0,0.0,0.0,0.5,5008.4,4466.4,0.0,0.0,518.0,24.0,80000.0,0.0,80000.0
'Simulation 46',1,10,0,0,0.15,1488,1481,0,0,0,7,100000,0,100000
'Simulation 47',1,10,0,0,0.15,1502,1499,0,0,0,3,100000,0,100000
'Simulation 48',1,10,0,0,0.15,1501,1498,0,0,0,3,100000,0,100000
'Simulation 49',1,10,0,0,0.15,1480,1478,0,0,0,2,100000,0,100000
'Simulation 50',1,10,0,0,0.15,1411,1408,0,0,0,3,100000,0,100000
'AveragedSim',1,10.0,0.0,0.0,0.15,1476.4,1472.8,0.0,0.0,0.0,3.6,100000.0,0.0,100000.0
'Simulation 51',1,10,0,0,0.2,1957,1954,0,0,0,3,100000,0,100000
'Simulation 52',1,10,0,0,0.2,2022,2020,0,0,0,2,100000,0,100000
'Simulation 53',1,10,0,0,0.2,2064,2063,0,0,0,1,100000,0,100000
'Simulation 54',1,10,0,0,0.2,2036,2031,0,0,0,5,100000,0,100000
'Simulation 55',1,10,0,0,0.2,2022,2018,0,0,0,4,100000,0,100000
'AveragedSim',1,10.0,0.0,0.0,0.2,2020.2,2017.2,0.0,0.0,0.0,3.0,100000.0,0.0,100000.0
'Simulation 56',1,10,0,0,0.5,4998,4858,0,0,123,17,100000,0,100000
'Simulation 57',1,10,0,0,0.5,5017,4925,0,0,75,17,100000,0,100000
'Simulation 58',1,10,0,0,0.5,5012,4879,0,0,119,14,100000,0,100000
'Simulation 59',1,10,0,0,0.5,5030,4927,0,0,90,13,100000,0,100000
'Simulation 60',1,10,0,0,0.5,4951,4793,0,0,142,16,100000,0,100000
'AveragedSim',1,10.0,0.0,0.0,0.5,5001.6,4876.4,0.0,0.0,109.8,15.4,100000.0,0.0,100000.0
'Simulation 61',1,12,0,0,0.15,1487,1482,0,0,0,5,120000,0,120000
'Simulation 62',1,12,0,0,0.15,1477,1467,0,0,0,10,120000,0,120000
'Simulation 63',1,12,0,0,0.15,1510,1506,0,0,0,4,120000,0,120000
'Simulation 64',1,12,0,0,0.15,1484,1479,0,0,0,5,120000,0,120000
'Simulation 65',1,12,0,0,0.15,1494,1492,0,0,0,2,120000,0,120000
