'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',1,3,1,0,0,0,0,0,0,0,0,15000,0,15000
'Simulation 2',1,3,1,0,0,0,0,0,0,0,0,15000,0,15000
'Simulation 3',1,3,1,0,0,0,0,0,0,0,0,15000,0,15000
'AveragedSim',1,3,1,0,0,0,0,0,0,0,0,15000,0,15000
'Simulation 4',1,3,1,0,0.05,241,235,4,0,0,2,15000,200,15200
'Simulation 5',1,3,1,0,0.05,252,249,3,0,0,0,15000,150,15150
'Simulation 6',1,3,1,0,0.05,277,269,5,0,0,3,15000,250,15250
'AveragedSim',1,3,1,0,0.05,256.6666667,251,4,0,0,1.666666667,15000,200,15200
'Simulation 7',1,3,1,0,0.1,481,436,42,0,0,3,15000,2100,17100
'Simulation 8',1,3,1,0,0.1,517,473,40,0,0,4,15000,2000,17000
'Simulation 9',1,3,1,0,0.1,524,472,47,0,2,3,15000,2350,17350
'AveragedSim',1,3,1,0,0.1,507.3333333,460.3333333,43,0,0.666666667,3.333333333,15000,2150,17150
'Simulation 10',1,3,1,0,0.15,783,644,116,0,16,7,15000,5800,20800
'Simulation 11',1,3,1,0,0.15,724,598,106,0,8,12,15000,5300,20300
'Simulation 12',1,3,1,0,0.15,691,585,97,0,5,4,15000,4850,19850
'AveragedSim',1,3,1,0,0.15,732.6666667,609,106.3333333,0,9.666666667,7.666666667,15000,5316.666667,20316.66667
'Simulation 13',1,3,1,0,0.2,1028,780,111,0,124,13,15000,5550,20550
'Simulation 14',1,3,1,0,0.2,1007,780,140,0,76,11,15000,7000,22000
'Simulation 15',1,3,1,0,0.2,1001,779,123,0,85,14,15000,6150,21150
'AveragedSim',1,3,1,0,0.2,1012,779.6666667,124.6666667,0,95,12.66666667,15000,6233.333333,21233.33333
'Simulation 16',1,3,1,0,0.25,1285,850,99,0,322,14,15000,4950,19950
'Simulation 17',1,3,1,0,0.25,1230,855,93,0,264,18,15000,4650,19650
'Simulation 18',1,3,1,0,0.25,1273,864,93,0,301,15,15000,4650,19650
'AveragedSim',1,3,1,0,0.25,1262.666667,856.3333333,95,0,295.6666667,15.66666667,15000,4750,19750
'Simulation 19',1,3,1,0,0.3,1513,963,100,0,430,20,15000,5000,20000
'Simulation 20',1,3,1,0,0.3,1477,855,60,0,539,23,15000,3000,18000
'Simulation 21',1,3,1,0,0.3,1507,859,78,0,547,23,15000,3900,18900
'AveragedSim',1,3,1,0,0.3,1499,892.3333333,79.33333333,0,505.3333333,22,15000,3966.666667,18966.66667
'Simulation 22',1,3,1,0,0.35,1724,1000,62,0,640,22,15000,3100,18100
'Simulation 23',1,3,1,0,0.35,1746,961,58,0,699,28,15000,2900,17900
'Simulation 24',1,3,1,0,0.35,1751,883,56,0,785,27,15000,2800,17800
