'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',1,3,0,0,0.15,1560,1426,0,0,128,6,30000,0,30000
'Simulation 2',1,3,0,0,0.15,1514,1359,0,0,149,6,30000,0,30000
'Simulation 3',1,3,0,0,0.15,1494,1348,0,0,139,7,30000,0,30000
'Simulation 4',1,3,0,0,0.15,1523,1400,0,0,118,5,30000,0,30000
'Simulation 5',1,3,0,0,0.15,1548,1391,0,0,148,9,30000,0,30000
'Simulation 6',1,3,0,0,0.15,1469,1346,0,0,116,7,30000,0,30000
'Simulation 7',1,3,0,0,0.15,1461,1353,0,0,107,1,30000,0,30000
'Simulation 8',1,3,0,0,0.15,1493,1350,0,0,135,8,30000,0,30000
'Simulation 9',1,3,0,0,0.15,1479,1364,0,0,109,6,30000,0,30000
'Simulation 10',1,3,0,0,0.15,1510,1316,0,0,190,4,30000,0,30000
'Simulation 11',1,3,0,0,0.15,1574,1411,0,0,156,7,30000,0,30000
'Simulation 12',1,3,0,0,0.15,1513,1400,0,0,110,3,30000,0,30000
'Simulation 13',1,3,0,0,0.15,1495,1345,0,0,141,9,30000,0,30000
'Simulation 14',1,3,0,0,0.15,1558,1418,0,0,131,9,30000,0,30000
'Simulation 15',1,3,0,0,0.15,1491,1384,0,0,98,9,30000,0,30000
'Simulation 16',1,3,0,0,0.15,1503,1389,0,0,109,5,30000,0,30000
'Simulation 17',1,3,0,0,0.15,1521,1347,0,0,164,10,30000,0,30000
'Simulation 18',1,3,0,0,0.15,1587,1383,0,0,194,10,30000,0,30000
'Simulation 19',1,3,0,0,0.15,1498,1394,0,0,97,7,30000,0,30000
'Simulation 20',1,3,0,0,0.15,1491,1356,0,0,125,10,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.15,1514.1,1374.0,0.0,0.0,133.2,6.9,30000.0,0.0,30000.0
'Simulation 21',1,3,0,0,0.2,2035,1573,0,0,454,8,30000,0,30000
'Simulation 22',1,3,0,0,0.2,2026,1647,0,0,367,12,30000,0,30000
'Simulation 23',1,3,0,0,0.2,1987,1622,0,0,353,12,30000,0,30000
'Simulation 24',1,3,0,0,0.2,1984,1576,0,0,396,12,30000,0,30000
'Simulation 25',1,3,0,0,0.2,2099,1643,0,0,443,13,30000,0,30000
'Simulation 26',1,3,0,0,0.2,1954,1561,0,0,381,12,30000,0,30000
'Simulation 27',1,3,0,0,0.2,1995,1628,0,0,359,8,30000,0,30000
'Simulation 28',1,3,0,0,0.2,1996,1648,0,0,337,11,30000,0,30000
'Simulation 29',1,3,0,0,0.2,1960,1527,0,0,423,10,30000,0,30000
'Simulation 30',1,3,0,0,0.2,1964,1572,0,0,383,9,30000,0,30000
'Simulation 31',1,3,0,0,0.2,2080,1595,0,0,469,16,30000,0,30000
'Simulation 32',1,3,0,0,0.2,2002,1628,0,0,359,15,30000,0,30000
'Simulation 33',1,3,0,0,0.2,1997,1562,0,0,420,15,30000,0,30000
'Simulation 34',1,3,0,0,0.2,1950,1592,0,0,348,10,30000,0,30000
'Simulation 35',1,3,0,0,0.2,2081,1664,0,0,405,12,30000,0,30000
'Simulation 36',1,3,0,0,0.2,1988,1602,0,0,366,20,30000,0,30000
'Simulation 37',1,3,0,0,0.2,2024,1620,0,0,393,11,30000,0,30000
'Simulation 38',1,3,0,0,0.2,2013,1533,0,0,470,10,30000,0,30000
'Simulation 39',1,3,0,0,0.2,1985,1568,0,0,403,14,30000,0,30000
'Simulation 40',1,3,0,0,0.2,1998,1572,0,0,414,12,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.2,2005.9,1596.65,0.0,0.0,397.15,12.1,30000.0,0.0,30000.0
