'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',1,3,0,0,0.15,1478,1316,0,0,151,11,30000,0,30000
'Simulation 2',1,3,0,0,0.15,1522,1349,0,0,171,2,30000,0,30000
'Simulation 3',1,3,0,0,0.15,1467,1290,0,0,168,9,30000,0,30000
'Simulation 4',1,3,0,0,0.15,1524,1356,0,0,159,9,30000,0,30000
'Simulation 5',1,3,0,0,0.15,1499,1392,0,0,97,10,30000,0,30000
'Simulation 6',1,3,0,0,0.15,1580,1443,0,0,133,4,30000,0,30000
'Simulation 7',1,3,0,0,0.15,1533,1362,0,0,163,8,30000,0,30000
'Simulation 8',1,3,0,0,0.15,1485,1347,0,0,130,8,30000,0,30000
'Simulation 9',1,3,0,0,0.15,1542,1353,0,0,178,11,30000,0,30000
'Simulation 10',1,3,0,0,0.15,1417,1316,0,0,97,4,30000,0,30000
'Simulation 11',1,3,0,0,0.15,1489,1347,0,0,135,7,30000,0,30000
'Simulation 12',1,3,0,0,0.15,1482,1350,0,0,125,7,30000,0,30000
'Simulation 13',1,3,0,0,0.15,1451,1339,0,0,106,6,30000,0,30000
'Simulation 14',1,3,0,0,0.15,1486,1327,0,0,153,6,30000,0,30000
'Simulation 15',1,3,0,0,0.15,1500,1367,0,0,122,11,30000,0,30000
'Simulation 16',1,3,0,0,0.15,1491,1351,0,0,134,6,30000,0,30000
'Simulation 17',1,3,0,0,0.15,1505,1352,0,0,145,8,30000,0,30000
'Simulation 18',1,3,0,0,0.15,1474,1359,0,0,106,9,30000,0,30000
'Simulation 19',1,3,0,0,0.15,1539,1361,0,0,170,8,30000,0,30000
'Simulation 20',1,3,0,0,0.15,1518,1390,0,0,119,9,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.15,1499.1,1353.35,0.0,0.0,138.1,7.65,30000.0,0.0,30000.0
'Simulation 21',1,3,0,0,0.2,1934,1497,0,0,427,10,30000,0,30000
'Simulation 22',1,3,0,0,0.2,2043,1650,0,0,374,19,30000,0,30000
'Simulation 23',1,3,0,0,0.2,1975,1552,0,0,414,9,30000,0,30000
'Simulation 24',1,3,0,0,0.2,1999,1635,0,0,356,8,30000,0,30000
'Simulation 25',1,3,0,0,0.2,2029,1613,0,0,407,9,30000,0,30000
'Simulation 26',1,3,0,0,0.2,1984,1521,0,0,449,14,30000,0,30000
'Simulation 27',1,3,0,0,0.2,1998,1595,0,0,390,13,30000,0,30000
'Simulation 28',1,3,0,0,0.2,1979,1596,0,0,374,9,30000,0,30000
