'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',1,3,0,0,0.15,1549,1370,0,0,176,3,30000,0,30000
'Simulation 2',1,3,0,0,0.15,1505,1372,0,0,126,7,30000,0,30000
'Simulation 3',1,3,0,0,0.15,1521,1361,0,0,153,7,30000,0,30000
'Simulation 4',1,3,0,0,0.15,1506,1373,0,0,126,7,30000,0,30000
'Simulation 5',1,3,0,0,0.15,1510,1349,0,0,158,3,30000,0,30000
'Simulation 6',1,3,0,0,0.15,1530,1395,0,0,125,10,30000,0,30000
'Simulation 7',1,3,0,0,0.15,1539,1408,0,0,125,6,30000,0,30000
'Simulation 8',1,3,0,0,0.15,1543,1378,0,0,157,8,30000,0,30000
'Simulation 9',1,3,0,0,0.15,1458,1356,0,0,96,6,30000,0,30000
'Simulation 10',1,3,0,0,0.15,1501,1346,0,0,149,6,30000,0,30000
'Simulation 11',1,3,0,0,0.15,1570,1400,0,0,161,9,30000,0,30000
'Simulation 12',1,3,0,0,0.15,1570,1393,0,0,168,9,30000,0,30000
'Simulation 13',1,3,0,0,0.15,1555,1403,0,0,148,4,30000,0,30000
'Simulation 14',1,3,0,0,0.15,1480,1310,0,0,164,6,30000,0,30000
'Simulation 15',1,3,0,0,0.15,1452,1310,0,0,132,10,30000,0,30000
'Simulation 16',1,3,0,0,0.15,1495,1367,0,0,123,5,30000,0,30000
'Simulation 17',1,3,0,0,0.15,1500,1370,0,0,123,7,30000,0,30000
'Simulation 18',1,3,0,0,0.15,1479,1355,0,0,116,8,30000,0,30000
'Simulation 19',1,3,0,0,0.15,1499,1383,0,0,111,5,30000,0,30000
'Simulation 20',1,3,0,0,0.15,1521,1374,0,0,141,6,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.15,1514.15,1368.65,0.0,0.0,138.9,6.6,30000.0,0.0,30000.0
'Simulation 21',1,3,0,0,0.2,1950,1530,0,0,411,9,30000,0,30000
'Simulation 22',1,3,0,0,0.2,1988,1596,0,0,385,7,30000,0,30000
'Simulation 23',1,3,0,0,0.2,1965,1656,0,0,301,8,30000,0,30000
'Simulation 24',1,3,0,0,0.2,1975,1548,0,0,413,14,30000,0,30000
'Simulation 25',1,3,0,0,0.2,2001,1592,0,0,393,16,30000,0,30000
'Simulation 26',1,3,0,0,0.2,1933,1577,0,0,345,11,30000,0,30000
'Simulation 27',1,3,0,0,0.2,2089,1511,0,0,562,16,30000,0,30000
'Simulation 28',1,3,0,0,0.2,2043,1633,0,0,402,8,30000,0,30000
'Simulation 29',1,3,0,0,0.2,1989,1589,0,0,390,10,30000,0,30000
'Simulation 30',1,3,0,0,0.2,2048,1539,0,0,498,11,30000,0,30000
'Simulation 31',1,3,0,0,0.2,1996,1648,0,0,337,11,30000,0,30000
'Simulation 32',1,3,0,0,0.2,2019,1565,0,0,442,12,30000,0,30000
'Simulation 33',1,3,0,0,0.2,2003,1631,0,0,356,16,30000,0,30000
'Simulation 34',1,3,0,0,0.2,2061,1589,0,0,462,10,30000,0,30000
'Simulation 35',1,3,0,0,0.2,1934,1497,0,0,427,10,30000,0,30000
'Simulation 36',1,3,0,0,0.2,2018,1620,0,0,387,11,30000,0,30000
'Simulation 37',1,3,0,0,0.2,1980,1544,0,0,418,18,30000,0,30000
'Simulation 38',1,3,0,0,0.2,2053,1589,0,0,443,21,30000,0,30000
'Simulation 39',1,3,0,0,0.2,1970,1590,0,0,374,6,30000,0,30000
'Simulation 40',1,3,0,0,0.2,1985,1568,0,0,403,14,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.2,2000.0,1580.6,0.0,0.0,407.45,11.95,30000.0,0.0,30000.0
'Simulation 41',1,3,0,0,0.5,5012,2114,0,0,2860,38,30000,0,30000
'Simulation 42',1,3,0,0,0.5,4968,1794,0,0,3131,43,30000,0,30000
'Simulation 43',1,3,0,0,0.5,4991,2084,0,0,2874,33,30000,0,30000
'Simulation 44',1,3,0,0,0.5,5018,2206,0,0,2776,36,30000,0,30000
'Simulation 45',1,3,0,0,0.5,4970,2076,0,0,2857,37,30000,0,30000
'Simulation 46',1,3,0,0,0.5,5053,2101,0,0,2911,41,30000,0,30000
'Simulation 47',1,3,0,0,0.5,4977,2086,0,0,2853,38,30000,0,30000
'Simulation 48',1,3,0,0,0.5,5022,1992,0,0,2985,45,30000,0,30000
'Simulation 49',1,3,0,0,0.5,4965,1904,0,0,3028,33,30000,0,30000
'Simulation 50',1,3,0,0,0.5,4988,1991,0,0,2956,41,30000,0,30000
'Simulation 51',1,3,0,0,0.5,5005,2125,0,0,2839,41,30000,0,30000
'Simulation 52',1,3,0,0,0.5,4972,1775,0,0,3156,41,30000,0,30000
'Simulation 53',1,3,0,0,0.5,5032,1903,0,0,3084,45,30000,0,30000
'Simulation 54',1,3,0,0,0.5,4991,2084,0,0,2874,33,30000,0,30000
