'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',1,3,0,0,0.142,1374,1271,0,0,100,3,30000,0,30000
'Simulation 2',1,3,0,0,0.142,1487,1374,0,0,107,6,30000,0,30000
'Simulation 3',1,3,0,0,0.142,1359,1259,0,0,94,6,30000,0,30000
'Simulation 4',1,3,0,0,0.142,1430,1339,0,0,84,7,30000,0,30000
'Simulation 5',1,3,0,0,0.142,1364,1291,0,0,69,4,30000,0,30000
'Simulation 6',1,3,0,0,0.142,1438,1354,0,0,81,3,30000,0,30000
'Simulation 7',1,3,0,0,0.142,1427,1317,0,0,102,8,30000,0,30000
'Simulation 8',1,3,0,0,0.142,1455,1343,0,0,108,4,30000,0,30000
'Simulation 9',1,3,0,0,0.142,1389,1266,0,0,121,2,30000,0,30000
'Simulation 10',1,3,0,0,0.142,1392,1258,0,0,126,8,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.142,1411.5,1307.2,0.0,0.0,99.2,5.1,30000.0,0.0,30000.0
'Simulation 11',1,3,0,0,0.156,1542,1372,0,0,161,9,30000,0,30000
'Simulation 12',1,3,0,0,0.156,1594,1402,0,0,186,6,30000,0,30000
'Simulation 13',1,3,0,0,0.156,1553,1370,0,0,176,7,30000,0,30000
'Simulation 14',1,3,0,0,0.156,1521,1371,0,0,144,6,30000,0,30000
'Simulation 15',1,3,0,0,0.156,1553,1430,0,0,116,7,30000,0,30000
'Simulation 16',1,3,0,0,0.156,1522,1388,0,0,126,8,30000,0,30000
'Simulation 17',1,3,0,0,0.156,1608,1398,0,0,202,8,30000,0,30000
'Simulation 18',1,3,0,0,0.156,1575,1414,0,0,156,5,30000,0,30000
'Simulation 19',1,3,0,0,0.156,1507,1365,0,0,137,5,30000,0,30000
'Simulation 20',1,3,0,0,0.156,1616,1414,0,0,194,8,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.156,1559.1,1392.4,0.0,0.0,159.8,6.9,30000.0,0.0,30000.0
'Simulation 21',1,3,0,0,0.194,1943,1636,0,0,301,6,30000,0,30000
'Simulation 22',1,3,0,0,0.194,1953,1567,0,0,378,8,30000,0,30000
'Simulation 23',1,3,0,0,0.194,1910,1587,0,0,312,11,30000,0,30000
'Simulation 24',1,3,0,0,0.194,1924,1584,0,0,330,10,30000,0,30000
'Simulation 25',1,3,0,0,0.194,1865,1559,0,0,298,8,30000,0,30000
'Simulation 26',1,3,0,0,0.194,1956,1585,0,0,355,16,30000,0,30000
'Simulation 27',1,3,0,0,0.194,1930,1600,0,0,318,12,30000,0,30000
'Simulation 28',1,3,0,0,0.194,1975,1507,0,0,457,11,30000,0,30000
'Simulation 29',1,3,0,0,0.194,1885,1600,0,0,280,5,30000,0,30000
'Simulation 30',1,3,0,0,0.194,1957,1612,0,0,334,11,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.194,1929.8,1583.7,0.0,0.0,336.3,9.8,30000.0,0.0,30000.0
'Simulation 31',1,3,0,0,0.15,1505,1352,0,0,145,8,30000,0,30000
'Simulation 32',1,3,0,0,0.15,1490,1350,0,0,130,10,30000,0,30000
'Simulation 33',1,3,0,0,0.15,1485,1340,0,0,140,5,30000,0,30000
'Simulation 34',1,3,0,0,0.15,1560,1390,0,0,167,3,30000,0,30000
'Simulation 35',1,3,0,0,0.15,1502,1387,0,0,103,12,30000,0,30000
'Simulation 36',1,3,0,0,0.15,1537,1350,0,0,184,3,30000,0,30000
'Simulation 37',1,3,0,0,0.15,1498,1380,0,0,111,7,30000,0,30000
'Simulation 38',1,3,0,0,0.15,1477,1383,0,0,84,10,30000,0,30000
'Simulation 39',1,3,0,0,0.15,1486,1315,0,0,163,8,30000,0,30000
'Simulation 40',1,3,0,0,0.15,1490,1351,0,0,132,7,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.15,1503.0,1359.8,0.0,0.0,135.9,7.3,30000.0,0.0,30000.0
'Simulation 41',1,3,0,0,0.2,1987,1566,0,0,414,7,30000,0,30000
'Simulation 42',1,3,0,0,0.2,1989,1589,0,0,390,10,30000,0,30000
'Simulation 43',1,3,0,0,0.2,1977,1545,0,0,417,15,30000,0,30000
'Simulation 44',1,3,0,0,0.2,1933,1587,0,0,330,16,30000,0,30000
'Simulation 45',1,3,0,0,0.2,1960,1598,0,0,352,10,30000,0,30000
'Simulation 46',1,3,0,0,0.2,2035,1573,0,0,454,8,30000,0,30000
'Simulation 47',1,3,0,0,0.2,2038,1598,0,0,423,17,30000,0,30000
'Simulation 48',1,3,0,0,0.2,1941,1527,0,0,399,15,30000,0,30000
'Simulation 49',1,3,0,0,0.2,1970,1539,0,0,421,10,30000,0,30000
'Simulation 50',1,3,0,0,0.2,2035,1626,0,0,393,16,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.2,1986.5,1574.8,0.0,0.0,399.3,12.4,30000.0,0.0,30000.0
'Simulation 51',1,3,0,0,0.5,4944,2087,0,0,2816,41,30000,0,30000
'Simulation 52',1,3,0,0,0.5,4975,2023,0,0,2909,43,30000,0,30000
'Simulation 53',1,3,0,0,0.5,5070,2115,0,0,2911,44,30000,0,30000
'Simulation 54',1,3,0,0,0.5,4936,2117,0,0,2781,38,30000,0,30000
'Simulation 55',1,3,0,0,0.5,5010,1985,0,0,2983,42,30000,0,30000
'Simulation 56',1,3,0,0,0.5,5061,2067,0,0,2964,30,30000,0,30000
'Simulation 57',1,3,0,0,0.5,4953,1930,0,0,2978,45,30000,0,30000
'Simulation 58',1,3,0,0,0.5,5018,2012,0,0,2961,45,30000,0,30000
'Simulation 59',1,3,0,0,0.5,5098,2087,0,0,2975,36,30000,0,30000
'Simulation 60',1,3,0,0,0.5,4977,2088,0,0,2844,45,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.5,5004.2,2051.1,0.0,0.0,2912.2,40.9,30000.0,0.0,30000.0
'Simulation 61',1,5,0,0,0.142,1437,1432,0,0,0,5,50000,0,50000
'Simulation 62',1,5,0,0,0.142,1436,1434,0,0,0,2,50000,0,50000
'Simulation 63',1,5,0,0,0.142,1441,1435,0,0,0,6,50000,0,50000
