'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,3,2,0,0.8,4028,128,95,0,223,3716,89,15000,61350,76350
'Simulation 2',1,3,2,0,0.8,3995,129,81,0,210,3699,86,15000,58100,73100
'Simulation 3',1,3,2,0,0.8,3982,127,89,0,216,3677,89,15000,59450,74450
'Simulation 4',1,3,2,0,0.8,3995,120,77,0,197,3707,91,15000,58450,73450
'Simulation 5',1,3,2,0,0.8,3980,116,75,0,191,3699,90,15000,59200,74200
'Simulation 6',1,3,2,0,0.8,4003,105,67,0,172,3749,82,15000,59650,74650
'Simulation 7',1,3,2,0,0.8,3997,129,84,0,213,3700,84,15000,59800,74800
'Simulation 8',1,3,2,0,0.8,4013,130,82,0,212,3714,87,15000,60100,75100
'Simulation 9',1,3,2,0,0.8,4002,105,77,0,182,3735,85,15000,58900,73900
'Simulation 10',1,3,2,0,0.8,3958,149,79,0,228,3643,87,15000,57050,72050
'Simulation 11',1,3,2,0,0.8,3974,99,65,0,164,3722,88,15000,58700,73700
'Simulation 12',1,3,2,0,0.8,3987,108,51,0,159,3735,93,15000,59600,74600
'Simulation 13',1,3,2,0,0.8,4021,136,91,0,227,3707,87,15000,60300,75300
'Simulation 14',1,3,2,0,0.8,4019,131,83,0,214,3720,85,15000,60550,75550
'Simulation 15',1,3,2,0,0.8,3998,117,91,0,208,3704,86,15000,59700,74700
'Simulation 16',1,3,2,0,0.8,3991,135,73,0,208,3702,81,15000,58250,73250
'Simulation 17',1,3,2,0,0.8,4018,109,71,0,180,3747,91,15000,59850,74850
'Simulation 18',1,3,2,0,0.8,3997,113,62,0,175,3731,91,15000,59100,74100
'Simulation 19',1,3,2,0,0.8,4050,131,73,0,204,3756,90,15000,59200,74200
'Simulation 20',1,3,2,0,0.8,4004,111,76,0,187,3724,93,15000,59650,74650
'Simulation 21',1,3,2,0,0.8,3987,112,90,0,202,3692,93,15000,57950,72950
