'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,4,1,0,0.05,241,239,0,0,239,0,2,20000,0,20000
'Simulation 2',1,4,1,0,0.05,236,235,0,0,235,0,1,20000,0,20000
'Simulation 3',1,4,1,0,0.05,254,253,0,0,253,0,1,20000,0,20000
'Simulation 4',1,4,1,0,0.05,271,270,0,0,270,0,1,20000,0,20000
'Simulation 5',1,4,1,0,0.05,269,265,1,0,266,0,3,20000,50,20050
'Simulation 6',1,4,1,0,0.05,274,274,0,0,274,0,0,20000,0,20000
'Simulation 7',1,4,1,0,0.05,254,252,0,0,252,0,2,20000,0,20000
'Simulation 8',1,4,1,0,0.05,238,237,0,0,237,0,1,20000,0,20000
'Simulation 9',1,4,1,0,0.05,279,278,1,0,279,0,0,20000,50,20050
'Simulation 10',1,4,1,0,0.05,252,251,0,0,251,0,1,20000,0,20000
'Simulation 11',1,4,1,0,0.05,219,216,0,0,216,0,3,20000,0,20000
'Simulation 12',1,4,1,0,0.05,248,246,0,0,246,0,2,20000,0,20000
'Simulation 13',1,4,1,0,0.05,240,237,2,0,239,0,1,20000,100,20100
'Simulation 14',1,4,1,0,0.05,256,256,0,0,256,0,0,20000,0,20000
'Simulation 15',1,4,1,0,0.05,256,255,0,0,255,0,1,20000,0,20000
'Simulation 16',1,4,1,0,0.05,230,228,0,0,228,0,2,20000,0,20000
'Simulation 17',1,4,1,0,0.05,232,232,0,0,232,0,0,20000,0,20000
'Simulation 18',1,4,1,0,0.05,244,240,0,0,240,0,4,20000,0,20000
'Simulation 19',1,4,1,0,0.05,256,256,0,0,256,0,0,20000,0,20000
'Simulation 20',1,4,1,0,0.05,251,248,0,0,248,0,3,20000,0,20000
'Simulation 21',1,4,1,0,0.05,243,243,0,0,243,0,0,20000,0,20000
'Simulation 22',1,4,1,0,0.05,255,255,0,0,255,0,0,20000,0,20000
'Simulation 23',1,4,1,0,0.05,248,247,1,0,248,0,0,20000,50,20050
'Simulation 24',1,4,1,0,0.05,242,241,0,0,241,0,1,20000,0,20000
'Simulation 25',1,4,1,0,0.05,245,245,0,0,245,0,0,20000,0,20000
'AveragedSim',1,4.0,1.0,0.0,0.05,249.32,247.96,0.2,0.0,248.16,0.0,1.16,20000.0,10.0,20010.0
'Simulation 26',1,4,1,0,0.1,511,495,12,0,507,0,4,20000,600,20600
'Simulation 27',1,4,1,0,0.1,480,477,1,0,478,0,2,20000,50,20050
'Simulation 28',1,4,1,0,0.1,477,465,6,0,471,0,6,20000,300,20300
'Simulation 29',1,4,1,0,0.1,494,477,15,0,492,0,2,20000,750,20750
'Simulation 30',1,4,1,0,0.1,471,462,8,0,470,0,1,20000,400,20400
'Simulation 31',1,4,1,0,0.1,487,480,7,0,487,0,0,20000,350,20350
'Simulation 32',1,4,1,0,0.1,478,464,10,0,474,0,4,20000,500,20500
'Simulation 33',1,4,1,0,0.1,505,488,14,0,502,0,3,20000,700,20700
'Simulation 34',1,4,1,0,0.1,501,490,7,0,497,0,4,20000,350,20350
'Simulation 35',1,4,1,0,0.1,474,456,17,0,473,0,1,20000,850,20850
'Simulation 36',1,4,1,0,0.1,486,475,10,0,485,0,1,20000,500,20500
'Simulation 37',1,4,1,0,0.1,503,494,7,0,501,0,2,20000,350,20350
'Simulation 38',1,4,1,0,0.1,470,457,8,0,465,0,5,20000,400,20400
