'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,4,1,0,0.55,2705,199,58,0,257,2392,56,20000,24550,44550
'Simulation 2',1,4,1,0,0.55,2736,187,44,0,231,2440,65,20000,23150,43150
'Simulation 3',1,4,1,0,0.55,2711,185,40,0,225,2421,65,20000,23450,43450
'Simulation 4',1,4,1,0,0.55,2740,193,51,0,244,2444,52,20000,24800,44800
'Simulation 5',1,4,1,0,0.55,2739,204,57,0,261,2418,60,20000,25200,45200
'Simulation 6',1,4,1,0,0.55,2797,214,44,0,258,2487,52,20000,23900,43900
'Simulation 7',1,4,1,0,0.55,2741,169,49,0,218,2466,57,20000,24300,44300
'Simulation 8',1,4,1,0,0.55,2717,187,49,0,236,2426,55,20000,24400,44400
'Simulation 9',1,4,1,0,0.55,2760,234,50,0,284,2413,63,20000,26100,46100
'Simulation 10',1,4,1,0,0.55,2697,203,42,0,245,2390,62,20000,23550,43550
'Simulation 11',1,4,1,0,0.55,2758,195,54,0,249,2438,71,20000,24100,44100
'Simulation 12',1,4,1,0,0.55,2775,236,60,0,296,2408,71,20000,24150,44150
'Simulation 13',1,4,1,0,0.55,2733,193,41,0,234,2439,60,20000,24150,44150
'Simulation 14',1,4,1,0,0.55,2828,202,40,0,242,2533,53,20000,25250,45250
'Simulation 15',1,4,1,0,0.55,2718,197,55,0,252,2409,57,20000,24500,44500
'Simulation 16',1,4,1,0,0.55,2705,198,51,0,249,2398,58,20000,23000,43000
'Simulation 17',1,4,1,0,0.55,2768,222,42,0,264,2446,58,20000,24350,44350
'Simulation 18',1,4,1,0,0.55,2776,202,52,0,254,2460,62,20000,23850,43850
'Simulation 19',1,4,1,0,0.55,2716,234,36,0,270,2395,51,20000,23700,43700
'Simulation 20',1,4,1,0,0.55,2764,225,46,0,271,2431,62,20000,24700,44700
'Simulation 21',1,4,1,0,0.55,2797,219,55,0,274,2463,60,20000,23900,43900
'Simulation 22',1,4,1,0,0.55,2721,191,45,0,236,2437,48,20000,23950,43950
'Simulation 23',1,4,1,0,0.55,2814,203,45,0,248,2509,57,20000,23400,43400
'Simulation 24',1,4,1,0,0.55,2685,235,53,0,288,2337,60,20000,23650,43650
'Simulation 25',1,4,1,0,0.55,2776,230,53,0,283,2427,66,20000,24100,44100
'AveragedSim',1,4.0,1.0,0.0,0.55,2747.08,206.28,48.48,0.0,254.76,2433.08,59.24,20000.0,24166.0,44166.0
'Simulation 26',1,4,1,0,0.6,3010,199,43,0,242,2708,60,20000,25650,45650
'Simulation 27',1,4,1,0,0.6,3053,192,55,0,247,2735,71,20000,25200,45200
'Simulation 28',1,4,1,0,0.6,2980,212,55,0,267,2656,57,20000,25600,45600
'Simulation 29',1,4,1,0,0.6,3024,196,50,0,246,2712,66,20000,25900,45900
'Simulation 30',1,4,1,0,0.6,2960,200,46,0,246,2643,71,20000,24850,44850
'Simulation 31',1,4,1,0,0.6,2894,173,36,0,209,2621,64,20000,25050,45050
'Simulation 32',1,4,1,0,0.6,2982,200,51,0,251,2661,70,20000,25350,45350
'Simulation 33',1,4,1,0,0.6,3011,203,54,0,257,2702,52,20000,25300,45300
'Simulation 34',1,4,1,0,0.6,2998,170,47,0,217,2716,65,20000,26350,46350
'Simulation 35',1,4,1,0,0.6,2957,199,42,0,241,2654,62,20000,24750,44750
'Simulation 36',1,4,1,0,0.6,2987,186,45,0,231,2689,67,20000,25550,45550
