'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,4,1,0,0.3,1493,312,66,0,378,1082,33,20000,13850,33850
'Simulation 2',1,4,1,0,0.3,1519,329,82,0,411,1072,36,20000,15150,35150
'Simulation 3',1,4,1,0,0.3,1502,400,92,0,492,980,30,20000,14800,34800
'Simulation 4',1,4,1,0,0.3,1474,355,89,0,444,999,31,20000,14200,34200
'Simulation 5',1,4,1,0,0.3,1486,330,81,0,411,1040,35,20000,13600,33600
'Simulation 6',1,4,1,0,0.3,1562,316,83,0,399,1123,40,20000,15450,35450
'Simulation 7',1,4,1,0,0.3,1520,372,74,0,446,1045,29,20000,14800,34800
'Simulation 8',1,4,1,0,0.3,1504,357,80,0,437,1033,34,20000,14700,34700
'Simulation 9',1,4,1,0,0.3,1451,449,108,0,557,860,34,20000,13950,33950
'Simulation 10',1,4,1,0,0.3,1522,387,90,0,477,1014,31,20000,15250,35250
'Simulation 11',1,4,1,0,0.3,1497,363,90,0,453,1020,24,20000,15150,35150
'Simulation 12',1,4,1,0,0.3,1511,431,94,0,525,951,35,20000,14500,34500
'Simulation 13',1,4,1,0,0.3,1510,362,92,0,454,1025,31,20000,15300,35300
'Simulation 14',1,4,1,0,0.3,1474,423,101,0,524,920,30,20000,14400,34400
'Simulation 15',1,4,1,0,0.3,1394,380,86,0,466,894,34,20000,13750,33750
'Simulation 16',1,4,1,0,0.3,1498,364,88,0,452,1013,33,20000,14750,34750
'Simulation 17',1,4,1,0,0.3,1518,367,88,0,455,1034,29,20000,15100,35100
'Simulation 18',1,4,1,0,0.3,1533,334,90,0,424,1066,43,20000,14500,34500
'Simulation 19',1,4,1,0,0.3,1475,376,94,0,470,976,29,20000,14200,34200
'Simulation 20',1,4,1,0,0.3,1488,336,84,0,420,1037,31,20000,14200,34200
'Simulation 21',1,4,1,0,0.3,1504,432,88,0,520,956,28,20000,14400,34400
'Simulation 22',1,4,1,0,0.3,1531,391,94,0,485,1020,26,20000,14650,34650
'Simulation 23',1,4,1,0,0.3,1515,400,89,0,489,995,31,20000,15200,35200
'Simulation 24',1,4,1,0,0.3,1443,379,85,0,464,952,27,20000,14000,34000
'Simulation 25',1,4,1,0,0.3,1529,337,105,0,442,1058,29,20000,15500,35500
'AveragedSim',1,4.0,1.0,0.0,0.3,1498.12,371.28,88.52,0.0,459.8,1006.6,31.72,20000.0,14614.0,34614.0
'Simulation 26',1,4,1,0,0.35,1733,285,61,0,346,1344,43,20000,16250,36250
'Simulation 27',1,4,1,0,0.35,1709,337,86,0,423,1251,35,20000,16950,36950
'Simulation 28',1,4,1,0,0.35,1801,293,77,0,370,1395,36,20000,17600,37600
'Simulation 29',1,4,1,0,0.35,1684,330,91,0,421,1230,33,20000,15800,35800
'Simulation 30',1,4,1,0,0.35,1812,313,81,0,394,1373,45,20000,17350,37350
'Simulation 31',1,4,1,0,0.35,1759,309,74,0,383,1342,34,20000,16750,36750
'Simulation 32',1,4,1,0,0.35,1803,303,68,0,371,1390,42,20000,17400,37400
'Simulation 33',1,4,1,0,0.35,1754,325,76,0,401,1310,43,20000,16750,36750
'Simulation 34',1,4,1,0,0.35,1717,327,99,0,426,1258,33,20000,16900,36900
'Simulation 35',1,4,1,0,0.35,1802,295,79,0,374,1390,38,20000,18300,38300
'Simulation 36',1,4,1,0,0.35,1727,279,65,0,344,1346,37,20000,16750,36750
'Simulation 37',1,4,1,0,0.35,1676,308,79,0,387,1254,35,20000,16250,36250
'Simulation 38',1,4,1,0,0.35,1738,299,80,0,379,1328,31,20000,17200,37200
'Simulation 39',1,4,1,0,0.35,1739,305,86,0,391,1304,44,20000,16600,36600
'Simulation 40',1,4,1,0,0.35,1656,348,93,0,441,1183,32,20000,16050,36050
'Simulation 41',1,4,1,0,0.35,1766,279,69,0,348,1385,33,20000,17050,37050
'Simulation 42',1,4,1,0,0.35,1709,311,82,0,393,1281,35,20000,16900,36900
'Simulation 43',1,4,1,0,0.35,1724,304,83,0,387,1298,39,20000,16600,36600
'Simulation 44',1,4,1,0,0.35,1797,324,78,0,402,1356,39,20000,17700,37700
'Simulation 45',1,4,1,0,0.35,1755,311,71,0,382,1346,27,20000,16800,36800
'Simulation 46',1,4,1,0,0.35,1741,332,75,0,407,1297,37,20000,16700,36700
'Simulation 47',1,4,1,0,0.35,1765,345,93,0,438,1291,36,20000,17450,37450
'Simulation 48',1,4,1,0,0.35,1686,334,74,0,408,1243,35,20000,15800,35800
'Simulation 49',1,4,1,0,0.35,1810,276,71,0,347,1430,33,20000,17600,37600
'Simulation 50',1,4,1,0,0.35,1809,293,69,0,362,1405,42,20000,17850,37850
'AveragedSim',1,4.0,1.0,0.0,0.35,1746.88,310.6,78.4,0.0,389.0,1321.2,36.68,20000.0,16934.0,36934.0
'Simulation 51',1,4,1,0,0.4,1984,247,69,0,316,1627,41,20000,18500,38500
'Simulation 52',1,4,1,0,0.4,1992,266,76,0,342,1613,37,20000,19350,39350
'Simulation 53',1,4,1,0,0.4,2039,256,64,0,320,1671,48,20000,19700,39700
'Simulation 54',1,4,1,0,0.4,1951,269,72,0,341,1573,37,20000,18500,38500
'Simulation 55',1,4,1,0,0.4,2007,292,63,0,355,1606,46,20000,19450,39450
'Simulation 56',1,4,1,0,0.4,1956,264,62,0,326,1594,36,20000,18150,38150
'Simulation 57',1,4,1,0,0.4,2017,275,58,0,333,1637,47,20000,19000,39000
'Simulation 58',1,4,1,0,0.4,1996,309,72,0,381,1578,37,20000,19350,39350
'Simulation 59',1,4,1,0,0.4,2001,271,55,0,326,1623,52,20000,19100,39100
'Simulation 60',1,4,1,0,0.4,1972,283,63,0,346,1579,47,20000,19000,39000
'Simulation 61',1,4,1,0,0.4,1956,322,76,0,398,1517,41,20000,18050,38050
'Simulation 62',1,4,1,0,0.4,1993,305,60,0,365,1590,38,20000,18200,38200
'Simulation 63',1,4,1,0,0.4,2034,239,60,0,299,1684,51,20000,18850,38850
'Simulation 64',1,4,1,0,0.4,2023,255,58,0,313,1667,43,20000,19750,39750
'Simulation 65',1,4,1,0,0.4,1974,230,69,0,299,1620,55,20000,19150,39150
'Simulation 66',1,4,1,0,0.4,2000,242,69,0,311,1649,40,20000,18950,38950
'Simulation 67',1,4,1,0,0.4,1982,294,66,0,360,1580,42,20000,18400,38400
'Simulation 68',1,4,1,0,0.4,2034,280,62,0,342,1644,48,20000,19600,39600
'Simulation 69',1,4,1,0,0.4,2008,278,68,0,346,1622,40,20000,19100,39100
'Simulation 70',1,4,1,0,0.4,2001,264,50,0,314,1653,34,20000,19900,39900
'Simulation 71',1,4,1,0,0.4,2030,285,67,0,352,1635,43,20000,19550,39550
'Simulation 72',1,4,1,0,0.4,2037,299,61,0,360,1633,44,20000,18900,38900
'Simulation 73',1,4,1,0,0.4,2026,324,63,0,387,1589,50,20000,19250,39250
'Simulation 74',1,4,1,0,0.4,1956,288,69,0,357,1552,47,20000,18750,38750
'Simulation 75',1,4,1,0,0.4,2012,227,58,0,285,1681,46,20000,18700,38700
'AveragedSim',1,4.0,1.0,0.0,0.4,1999.24,274.56,64.4,0.0,338.96,1616.68,43.6,20000.0,19008.0,39008.0
'Simulation 76',1,4,1,0,0.45,2206,228,44,0,272,1889,45,20000,20950,40950
'Simulation 77',1,4,1,0,0.45,2201,264,67,0,331,1819,51,20000,21150,41150
'Simulation 78',1,4,1,0,0.45,2179,256,75,0,331,1797,51,20000,21550,41550
'Simulation 79',1,4,1,0,0.45,2207,220,44,0,264,1900,43,20000,21300,41300
'Simulation 80',1,4,1,0,0.45,2242,272,62,0,334,1852,56,20000,20000,40000
'Simulation 81',1,4,1,0,0.45,2265,280,66,0,346,1871,48,20000,21500,41500
'Simulation 82',1,4,1,0,0.45,2245,238,65,0,303,1909,33,20000,21150,41150
'Simulation 83',1,4,1,0,0.45,2260,237,66,0,303,1904,53,20000,21200,41200
'Simulation 84',1,4,1,0,0.45,2200,257,62,0,319,1837,44,20000,20850,40850
'Simulation 85',1,4,1,0,0.45,2215,245,60,0,305,1870,40,20000,20850,40850
'Simulation 86',1,4,1,0,0.45,2252,248,43,0,291,1918,43,20000,20900,40900
'Simulation 87',1,4,1,0,0.45,2255,257,67,0,324,1894,37,20000,21850,41850
'Simulation 88',1,4,1,0,0.45,2176,201,64,0,265,1860,51,20000,20500,40500
'Simulation 89',1,4,1,0,0.45,2266,233,62,0,295,1934,37,20000,21200,41200
'Simulation 90',1,4,1,0,0.45,2237,256,57,0,313,1876,48,20000,20800,40800
'Simulation 91',1,4,1,0,0.45,2256,234,40,0,274,1934,48,20000,21300,41300
'Simulation 92',1,4,1,0,0.45,2273,271,56,0,327,1901,45,20000,20000,40000
'Simulation 93',1,4,1,0,0.45,2206,283,61,0,344,1812,50,20000,20650,40650
'Simulation 94',1,4,1,0,0.45,2244,234,51,0,285,1914,45,20000,20600,40600
'Simulation 95',1,4,1,0,0.45,2212,246,51,0,297,1857,58,20000,20850,40850
'Simulation 96',1,4,1,0,0.45,2206,245,41,0,286,1879,41,20000,20850,40850
'Simulation 97',1,4,1,0,0.45,2202,276,62,0,338,1817,47,20000,20400,40400
'Simulation 98',1,4,1,0,0.45,2200,231,54,0,285,1862,53,20000,20650,40650
'Simulation 99',1,4,1,0,0.45,2263,252,62,0,314,1896,53,20000,21350,41350
'Simulation 100',1,4,1,0,0.45,2296,288,53,0,341,1900,55,20000,20950,40950
'AveragedSim',1,4.0,1.0,0.0,0.45,2230.56,250.08,57.4,0.0,307.48,1876.08,47.0,20000.0,20934.0,40934.0
'Simulation 101',1,4,1,0,0.5,2530,224,48,0,272,2207,51,20000,22850,42850
'Simulation 102',1,4,1,0,0.5,2470,199,50,0,249,2168,53,20000,22850,42850
'Simulation 103',1,4,1,0,0.5,2538,209,44,0,253,2232,53,20000,24000,44000
'Simulation 104',1,4,1,0,0.5,2537,212,42,0,254,2233,50,20000,23150,43150
'Simulation 105',1,4,1,0,0.5,2448,241,60,0,301,2099,48,20000,22400,42400
'Simulation 106',1,4,1,0,0.5,2505,230,62,0,292,2156,57,20000,23100,43100
'Simulation 107',1,4,1,0,0.5,2527,240,63,0,303,2166,58,20000,22700,42700
'Simulation 108',1,4,1,0,0.5,2516,213,43,0,256,2205,55,20000,23500,43500
'Simulation 109',1,4,1,0,0.5,2482,211,47,0,258,2168,56,20000,22400,42400
'Simulation 110',1,4,1,0,0.5,2505,230,62,0,292,2156,57,20000,23100,43100
'Simulation 111',1,4,1,0,0.5,2473,228,40,0,268,2154,51,20000,22400,42400
'Simulation 112',1,4,1,0,0.5,2554,228,50,0,278,2218,58,20000,23350,43350
'Simulation 113',1,4,1,0,0.5,2476,210,38,0,248,2167,61,20000,22700,42700
'Simulation 114',1,4,1,0,0.5,2488,195,57,0,252,2189,47,20000,22650,42650
'Simulation 115',1,4,1,0,0.5,2481,239,47,0,286,2139,56,20000,23350,43350
'Simulation 116',1,4,1,0,0.5,2462,237,49,0,286,2127,49,20000,21950,41950
'Simulation 117',1,4,1,0,0.5,2449,232,41,0,273,2120,56,20000,23050,43050
'Simulation 118',1,4,1,0,0.5,2492,233,50,0,283,2157,52,20000,22200,42200
'Simulation 119',1,4,1,0,0.5,2438,247,61,0,308,2078,52,20000,22350,42350
'Simulation 120',1,4,1,0,0.5,2505,240,49,0,289,2154,62,20000,21900,41900
'Simulation 121',1,4,1,0,0.5,2497,218,57,0,275,2161,61,20000,22800,42800
'Simulation 122',1,4,1,0,0.5,2531,218,35,0,253,2222,56,20000,23550,43550
'Simulation 123',1,4,1,0,0.5,2490,235,57,0,292,2141,57,20000,22300,42300
'Simulation 124',1,4,1,0,0.5,2454,218,51,0,269,2132,53,20000,22150,42150
'Simulation 125',1,4,1,0,0.5,2491,251,62,0,313,2121,57,20000,23000,43000
'AveragedSim',1,4.0,1.0,0.0,0.5,2493.56,225.52,50.6,0.0,276.12,2162.8,54.64,20000.0,22790.0,42790.0
