'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',1,3,0,0,0.15,1587,1392,0,0,182,13,30000,0,30000
'Simulation 2',1,3,0,0,0.15,1475,1349,0,0,119,7,30000,0,30000
'Simulation 3',1,3,0,0,0.15,1492,1342,0,0,138,12,30000,0,30000
'Simulation 4',1,3,0,0,0.15,1560,1390,0,0,167,3,30000,0,30000
'Simulation 5',1,3,0,0,0.15,1515,1366,0,0,144,5,30000,0,30000
'Simulation 6',1,3,0,0,0.15,1492,1357,0,0,130,5,30000,0,30000
'Simulation 7',1,3,0,0,0.15,1540,1379,0,0,160,1,30000,0,30000
'Simulation 8',1,3,0,0,0.15,1468,1362,0,0,97,9,30000,0,30000
'Simulation 9',1,3,0,0,0.15,1505,1339,0,0,158,8,30000,0,30000
'Simulation 10',1,3,0,0,0.15,1517,1394,0,0,116,7,30000,0,30000
'Simulation 11',1,3,0,0,0.15,1551,1356,0,0,189,6,30000,0,30000
'Simulation 12',1,3,0,0,0.15,1515,1354,0,0,150,11,30000,0,30000
'Simulation 13',1,3,0,0,0.15,1459,1337,0,0,116,6,30000,0,30000
'Simulation 14',1,3,0,0,0.15,1504,1329,0,0,165,10,30000,0,30000
'Simulation 15',1,3,0,0,0.15,1475,1337,0,0,131,7,30000,0,30000
'Simulation 16',1,3,0,0,0.15,1533,1359,0,0,168,6,30000,0,30000
'Simulation 17',1,3,0,0,0.15,1554,1394,0,0,151,9,30000,0,30000
'Simulation 18',1,3,0,0,0.15,1524,1358,0,0,160,6,30000,0,30000
'Simulation 19',1,3,0,0,0.15,1516,1410,0,0,101,5,30000,0,30000
'Simulation 20',1,3,0,0,0.15,1484,1376,0,0,101,7,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.15,1513.3,1364.0,0.0,0.0,142.15,7.15,30000.0,0.0,30000.0
'Simulation 21',1,3,0,0,0.2,1983,1548,0,0,418,17,30000,0,30000
'Simulation 22',1,3,0,0,0.2,1956,1528,0,0,413,15,30000,0,30000
'Simulation 23',1,3,0,0,0.2,1932,1564,0,0,362,6,30000,0,30000
'Simulation 24',1,3,0,0,0.2,1999,1553,0,0,431,15,30000,0,30000
'Simulation 25',1,3,0,0,0.2,1998,1606,0,0,386,6,30000,0,30000
'Simulation 26',1,3,0,0,0.2,2031,1631,0,0,390,10,30000,0,30000
'Simulation 27',1,3,0,0,0.2,1964,1541,0,0,409,14,30000,0,30000
'Simulation 28',1,3,0,0,0.2,1949,1562,0,0,379,8,30000,0,30000
'Simulation 29',1,3,0,0,0.2,2020,1622,0,0,385,13,30000,0,30000
'Simulation 30',1,3,0,0,0.2,1968,1558,0,0,394,16,30000,0,30000
'Simulation 31',1,3,0,0,0.2,2049,1552,0,0,483,14,30000,0,30000
'Simulation 32',1,3,0,0,0.2,2017,1544,0,0,464,9,30000,0,30000
'Simulation 33',1,3,0,0,0.2,2009,1508,0,0,485,16,30000,0,30000
'Simulation 34',1,3,0,0,0.2,2028,1602,0,0,414,12,30000,0,30000
'Simulation 35',1,3,0,0,0.2,1963,1536,0,0,411,16,30000,0,30000
'Simulation 36',1,3,0,0,0.2,1997,1637,0,0,345,15,30000,0,30000
'Simulation 37',1,3,0,0,0.2,1973,1532,0,0,425,16,30000,0,30000
'Simulation 38',1,3,0,0,0.2,2065,1537,0,0,521,7,30000,0,30000
'Simulation 39',1,3,0,0,0.2,1982,1608,0,0,361,13,30000,0,30000
'Simulation 40',1,3,0,0,0.2,1923,1537,0,0,376,10,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.2,1990.3,1565.3,0.0,0.0,412.6,12.4,30000.0,0.0,30000.0
'Simulation 41',1,3,0,0,0.5,5042,2238,0,0,2761,43,30000,0,30000
'Simulation 42',1,3,0,0,0.5,4981,1903,0,0,3043,35,30000,0,30000
'Simulation 43',1,3,0,0,0.5,5077,1908,0,0,3125,44,30000,0,30000
'Simulation 44',1,3,0,0,0.5,5066,1909,0,0,3111,46,30000,0,30000
'Simulation 45',1,3,0,0,0.5,4896,1877,0,0,2977,42,30000,0,30000
'Simulation 46',1,3,0,0,0.5,5047,2124,0,0,2883,40,30000,0,30000
'Simulation 47',1,3,0,0,0.5,5081,1938,0,0,3104,39,30000,0,30000
'Simulation 48',1,3,0,0,0.5,5075,1755,0,0,3278,42,30000,0,30000
'Simulation 49',1,3,0,0,0.5,5041,1812,0,0,3190,39,30000,0,30000
'Simulation 50',1,3,0,0,0.5,5060,2010,0,0,3005,45,30000,0,30000
'Simulation 51',1,3,0,0,0.5,5034,2022,0,0,2974,38,30000,0,30000
'Simulation 52',1,3,0,0,0.5,4985,1972,0,0,2974,39,30000,0,30000
'Simulation 53',1,3,0,0,0.5,5036,2051,0,0,2951,34,30000,0,30000
'Simulation 54',1,3,0,0,0.5,4913,2066,0,0,2807,40,30000,0,30000
'Simulation 55',1,3,0,0,0.5,5040,2132,0,0,2868,40,30000,0,30000
'Simulation 56',1,3,0,0,0.5,4964,1966,0,0,2961,37,30000,0,30000
