'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',1,4,1,0,0.0,0,0,0,0,0,0,20000,0,20000
'Simulation 2',1,4,1,0,0.0,0,0,0,0,0,0,20000,0,20000
'Simulation 3',1,4,1,0,0.0,0,0,0,0,0,0,20000,0,20000
'AveragedSim',1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,20000.0
'Simulation 4',1,4,1,0,0.05,255,253,0,0,0,2,20000,0,20000
'Simulation 5',1,4,1,0,0.05,266,262,0,0,0,4,20000,0,20000
'Simulation 6',1,4,1,0,0.05,281,278,0,0,0,3,20000,0,20000
'AveragedSim',1,4.0,1.0,0.0,0.05,267.3333333333333,264.3333333333333,0.0,0.0,0.0,3.0,20000.0,0.0,20000.0
'Simulation 7',1,4,1,0,0.1,505,489,11,0,0,5,20000,550,20550
'Simulation 8',1,4,1,0,0.1,499,484,11,0,0,4,20000,550,20550
'Simulation 9',1,4,1,0,0.1,491,475,13,0,0,3,20000,650,20650
'AveragedSim',1,4.0,1.0,0.0,0.1,498.3333333333333,482.6666666666667,11.666666666666666,0.0,0.0,4.0,20000.0,583.3333333333334,20583.333333333332
'Simulation 10',1,4,1,0,0.15,741,658,69,0,0,14,20000,3500,23500
'Simulation 11',1,4,1,0,0.15,772,660,98,0,2,12,20000,4950,24950
'Simulation 12',1,4,1,0,0.15,779,647,100,0,9,23,20000,5100,25100
'AveragedSim',1,4.0,1.0,0.0,0.15,764.0,655.0,89.0,0.0,3.6666666666666665,16.333333333333332,20000.0,4516.666666666667,24516.666666666668
'Simulation 13',1,4,1,0,0.2,985,630,145,0,192,18,20000,9450,29450
'Simulation 14',1,4,1,0,0.2,986,616,161,0,192,17,20000,9600,29600
'Simulation 15',1,4,1,0,0.2,1016,574,146,0,277,19,20000,10000,30000
'AveragedSim',1,4.0,1.0,0.0,0.2,995.6666666666666,606.6666666666666,150.66666666666666,0.0,220.33333333333334,18.0,20000.0,9683.333333333334,29683.333333333332
'Simulation 16',1,4,1,0,0.25,1228,411,108,0,678,31,20000,11900,31900
'Simulation 17',1,4,1,0,0.25,1217,489,122,0,577,29,20000,11950,31950
'Simulation 18',1,4,1,0,0.25,1208,435,95,0,658,20,20000,12050,32050
'AveragedSim',1,4.0,1.0,0.0,0.25,1217.6666666666667,445.0,108.33333333333333,0.0,637.6666666666666,26.666666666666668,20000.0,11966.666666666666,31966.666666666668
'Simulation 19',1,4,1,0,0.3,1489,325,73,0,1054,37,20000,14750,34750
'Simulation 20',1,4,1,0,0.3,1499,348,80,0,1043,28,20000,14850,34850
'Simulation 21',1,4,1,0,0.3,1412,392,89,0,910,21,20000,13850,33850
'AveragedSim',1,4.0,1.0,0.0,0.3,1466.6666666666667,355.0,80.66666666666667,0.0,1002.3333333333334,28.666666666666668,20000.0,14483.333333333334,34483.333333333336
'Simulation 22',1,4,1,0,0.35,1776,305,89,0,1342,40,20000,17450,37450
'Simulation 23',1,4,1,0,0.35,1763,312,72,0,1350,29,20000,16800,36800
'Simulation 24',1,4,1,0,0.35,1769,373,77,0,1284,35,20000,16200,36200
'AveragedSim',1,4.0,1.0,0.0,0.35,1769.3333333333333,330.0,79.33333333333333,0.0,1325.3333333333333,34.666666666666664,20000.0,16816.666666666668,36816.666666666664
'Simulation 25',1,4,1,0,0.4,1953,292,68,0,1548,45,20000,19500,39500
'Simulation 26',1,4,1,0,0.4,1996,271,88,0,1595,42,20000,19950,39950
'Simulation 27',1,4,1,0,0.4,2004,253,58,0,1645,48,20000,18700,38700
'AveragedSim',1,4.0,1.0,0.0,0.4,1984.3333333333333,272.0,71.33333333333333,0.0,1596.0,45.0,20000.0,19383.333333333332,39383.333333333336
'Simulation 28',1,4,1,0,0.45,2263,230,42,0,1953,38,20000,20450,40450
'Simulation 29',1,4,1,0,0.45,2302,217,56,0,1971,58,20000,21500,41500
'Simulation 30',1,4,1,0,0.45,2266,265,65,0,1884,52,20000,21400,41400
'AveragedSim',1,4.0,1.0,0.0,0.45,2277.0,237.33333333333334,54.333333333333336,0.0,1936.0,49.333333333333336,20000.0,21116.666666666668,41116.666666666664
'Simulation 31',1,4,1,0,0.5,2509,245,60,0,2157,47,20000,22650,42650
'Simulation 32',1,4,1,0,0.5,2558,219,48,0,2230,61,20000,23300,43300
'Simulation 33',1,4,1,0,0.5,2549,186,51,0,2250,62,20000,23250,43250
'AveragedSim',1,4.0,1.0,0.0,0.5,2538.6666666666665,216.66666666666666,53.0,0.0,2212.3333333333335,56.666666666666664,20000.0,23066.666666666668,43066.666666666664
'Simulation 34',1,4,1,0,0.55,2741,169,49,0,2466,57,20000,24150,44150
'Simulation 35',1,4,1,0,0.55,2682,225,50,0,2340,67,20000,23350,43350
'Simulation 36',1,4,1,0,0.55,2677,217,54,0,2356,50,20000,24050,44050
'AveragedSim',1,4.0,1.0,0.0,0.55,2700.0,203.66666666666666,51.0,0.0,2387.3333333333335,58.0,20000.0,23850.0,43850.0
'Simulation 37',1,4,1,0,0.6,3047,185,36,0,2756,70,20000,25700,45700
'Simulation 38',1,4,1,0,0.6,3020,225,50,0,2683,62,20000,25700,45700
'Simulation 39',1,4,1,0,0.6,2999,217,49,0,2673,60,20000,25750,45750
'AveragedSim',1,4.0,1.0,0.0,0.6,3022.0,209.0,45.0,0.0,2704.0,64.0,20000.0,25716.666666666668,45716.666666666664
'Simulation 40',1,4,1,0,0.65,3249,217,62,0,2904,66,20000,26500,46500
'Simulation 41',1,4,1,0,0.65,3252,191,35,0,2957,69,20000,26000,46000
'Simulation 42',1,4,1,0,0.65,3277,169,41,0,2996,71,20000,26100,46100
'AveragedSim',1,4.0,1.0,0.0,0.65,3259.3333333333335,192.33333333333334,46.0,0.0,2952.3333333333335,68.66666666666667,20000.0,26200.0,46200.0
'Simulation 43',1,4,1,0,0.7,3470,170,33,0,3197,70,20000,26900,46900
'Simulation 44',1,4,1,0,0.7,3487,196,38,0,3182,71,20000,28100,48100
'Simulation 45',1,4,1,0,0.7,3542,181,46,0,3233,82,20000,28400,48400
'AveragedSim',1,4.0,1.0,0.0,0.7,3499.6666666666665,182.33333333333334,39.0,0.0,3204.0,74.33333333333333,20000.0,27800.0,47800.0
'Simulation 46',1,4,1,0,0.75,3762,153,41,0,3486,82,20000,30150,50150
'Simulation 47',1,4,1,0,0.75,3774,180,38,0,3473,83,20000,29850,49850
'Simulation 48',1,4,1,0,0.75,3784,138,39,0,3518,89,20000,28200,48200
'AveragedSim',1,4.0,1.0,0.0,0.75,3773.3333333333335,157.0,39.333333333333336,0.0,3492.3333333333335,84.66666666666667,20000.0,29400.0,49400.0
'Simulation 49',1,4,1,0,0.8,4049,146,29,0,3793,81,20000,30100,50100
'Simulation 50',1,4,1,0,0.8,3981,148,39,0,3707,87,20000,31400,51400
'Simulation 51',1,4,1,0,0.8,4004,175,47,0,3692,90,20000,30000,50000
'AveragedSim',1,4.0,1.0,0.0,0.8,4011.3333333333335,156.33333333333334,38.333333333333336,0.0,3730.6666666666665,86.0,20000.0,30500.0,50500.0
'Simulation 52',1,4,1,0,0.85,4290,162,43,0,3986,99,20000,31450,51450
'Simulation 53',1,4,1,0,0.85,4185,144,26,0,3927,88,20000,29700,49700
'Simulation 54',1,4,1,0,0.85,4264,158,40,0,3971,95,20000,32200,52200
'AveragedSim',1,4.0,1.0,0.0,0.85,4246.333333333333,154.66666666666666,36.333333333333336,0.0,3961.3333333333335,94.0,20000.0,31116.666666666668,51116.666666666664
'Simulation 55',1,4,1,0,0.9,4505,131,23,0,4251,100,20000,31600,51600
'Simulation 56',1,4,1,0,0.9,4464,164,46,0,4151,103,20000,32250,52250
'Simulation 57',1,4,1,0,0.9,4485,138,38,0,4217,92,20000,32100,52100
'AveragedSim',1,4.0,1.0,0.0,0.9,4484.666666666667,144.33333333333334,35.666666666666664,0.0,4206.333333333333,98.33333333333333,20000.0,31983.333333333332,51983.333333333336
'Simulation 58',1,4,1,0,0.95,4753,143,37,0,4470,103,20000,31600,51600
'Simulation 59',1,4,1,0,0.95,4756,141,38,0,4476,101,20000,33250,53250
'Simulation 60',1,4,1,0,0.95,4730,131,35,0,4463,101,20000,33400,53400
'AveragedSim',1,4.0,1.0,0.0,0.95,4746.333333333333,138.33333333333334,36.666666666666664,0.0,4469.666666666667,101.66666666666667,20000.0,32750.0,52750.0
'Simulation 61',1,4,1,0,1.0,5000,150,30,0,4711,109,20000,34150,54150
'Simulation 62',1,4,1,0,1.0,5000,118,28,0,4747,107,20000,32100,52100
'Simulation 63',1,4,1,0,1.0,5000,143,42,0,4707,108,20000,34350,54350
'AveragedSim',1,4.0,1.0,0.0,1.0,5000.0,137.0,33.333333333333336,0.0,4721.666666666667,108.0,20000.0,33533.333333333336,53533.333333333336
