'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,4,1,0,0.8,3971,172,35,0,207,3674,90,20000,29800,49800
'Simulation 2',1,4,1,0,0.8,3953,165,36,0,201,3674,78,20000,28850,48850
'Simulation 3',1,4,1,0,0.8,4002,176,34,0,210,3697,95,20000,29700,49700
'Simulation 4',1,4,1,0,0.8,3978,158,38,0,196,3701,81,20000,29300,49300
'Simulation 5',1,4,1,0,0.8,3984,150,29,0,179,3714,91,20000,30200,50200
'Simulation 6',1,4,1,0,0.8,4006,141,40,0,181,3735,90,20000,31400,51400
'Simulation 7',1,4,1,0,0.8,3977,151,39,0,190,3707,80,20000,30450,50450
'Simulation 8',1,4,1,0,0.8,4015,154,39,0,193,3732,90,20000,30700,50700
'Simulation 9',1,4,1,0,0.8,3983,142,41,0,183,3710,90,20000,30000,50000
'Simulation 10',1,4,1,0,0.8,3937,158,45,0,203,3650,84,20000,29050,49050
'Simulation 11',1,4,1,0,0.8,3997,147,36,0,183,3727,87,20000,31050,51050
'Simulation 12',1,4,1,0,0.8,3956,145,38,0,183,3683,90,20000,29300,49300
'Simulation 13',1,4,1,0,0.8,4032,157,37,0,194,3750,88,20000,31500,51500
'Simulation 14',1,4,1,0,0.8,3959,164,46,0,210,3660,89,20000,29100,49100
'Simulation 15',1,4,1,0,0.8,4041,139,49,0,188,3763,90,20000,29000,49000
'Simulation 16',1,4,1,0,0.8,3969,154,39,0,193,3686,90,20000,30700,50700
'Simulation 17',1,4,1,0,0.8,4006,161,37,0,198,3722,86,20000,29500,49500
'Simulation 18',1,4,1,0,0.8,4005,166,32,0,198,3719,88,20000,30750,50750
'Simulation 19',1,4,1,0,0.8,4025,156,39,0,195,3744,86,20000,30900,50900
'Simulation 20',1,4,1,0,0.8,4009,146,38,0,184,3739,86,20000,29750,49750
'Simulation 21',1,4,1,0,0.8,3919,143,28,0,171,3658,90,20000,29550,49550
'Simulation 22',1,4,1,0,0.8,3977,151,39,0,190,3707,80,20000,30450,50450
'Simulation 23',1,4,1,0,0.8,4037,125,37,0,162,3785,90,20000,29150,49150
'Simulation 24',1,4,1,0,0.8,4035,138,33,0,171,3782,82,20000,29500,49500
'Simulation 25',1,4,1,0,0.8,3987,181,40,0,221,3679,87,20000,29050,49050
'AveragedSim',1,4.0,1.0,0.0,0.8,3990.4,153.6,37.76,0.0,191.36,3711.92,87.12,20000.0,29948.0,49948.0
'Simulation 26',1,4,1,0,0.85,4175,122,29,0,151,3926,98,20000,31250,51250
'Simulation 27',1,4,1,0,0.85,4240,148,29,0,177,3970,93,20000,29300,49300
'Simulation 28',1,4,1,0,0.85,4235,152,34,0,186,3960,89,20000,31350,51350
'Simulation 29',1,4,1,0,0.85,4201,186,39,0,225,3887,89,20000,30550,50550
'Simulation 30',1,4,1,0,0.85,4235,178,40,0,218,3924,93,20000,30200,50200
'Simulation 31',1,4,1,0,0.85,4220,169,44,0,213,3916,91,20000,31750,51750
'Simulation 32',1,4,1,0,0.85,4219,145,48,0,193,3935,91,20000,30900,50900
'Simulation 33',1,4,1,0,0.85,4209,143,28,0,171,3947,91,20000,30000,50000
'Simulation 34',1,4,1,0,0.85,4221,156,40,0,196,3938,87,20000,29900,49900
'Simulation 35',1,4,1,0,0.85,4203,150,28,0,178,3935,90,20000,29450,49450
'Simulation 36',1,4,1,0,0.85,4236,173,44,0,217,3923,96,20000,30800,50800
'Simulation 37',1,4,1,0,0.85,4235,127,29,0,156,3989,90,20000,30700,50700
'Simulation 38',1,4,1,0,0.85,4243,129,23,0,152,4001,90,20000,30500,50500
'Simulation 39',1,4,1,0,0.85,4222,159,50,0,209,3923,90,20000,30400,50400
'Simulation 40',1,4,1,0,0.85,4203,144,29,0,173,3938,92,20000,30850,50850
'Simulation 41',1,4,1,0,0.85,4274,175,38,0,213,3965,96,20000,31550,51550
'Simulation 42',1,4,1,0,0.85,4239,166,41,0,207,3940,92,20000,31800,51800
