'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,4,1,0,0.05,252,250,1,0,251,0,1,20000,50,20050
'Simulation 2',1,4,1,0,0.05,253,249,0,0,249,0,4,20000,0,20000
'Simulation 3',1,4,1,0,0.05,250,245,1,0,246,0,4,20000,50,20050
'Simulation 4',1,4,1,0,0.05,245,244,0,0,244,0,1,20000,0,20000
'Simulation 5',1,4,1,0,0.05,254,253,0,0,253,0,1,20000,0,20000
'Simulation 6',1,4,1,0,0.05,263,262,0,0,262,0,1,20000,0,20000
'Simulation 7',1,4,1,0,0.05,288,284,2,0,286,0,2,20000,100,20100
'Simulation 8',1,4,1,0,0.05,255,251,3,0,254,0,1,20000,150,20150
'Simulation 9',1,4,1,0,0.05,258,258,0,0,258,0,0,20000,0,20000
'Simulation 10',1,4,1,0,0.05,242,242,0,0,242,0,0,20000,0,20000
'Simulation 11',1,4,1,0,0.05,262,259,0,0,259,0,3,20000,0,20000
'Simulation 12',1,4,1,0,0.05,255,252,0,0,252,0,3,20000,0,20000
'Simulation 13',1,4,1,0,0.05,238,234,1,0,235,0,3,20000,50,20050
'Simulation 14',1,4,1,0,0.05,261,261,0,0,261,0,0,20000,0,20000
'Simulation 15',1,4,1,0,0.05,262,261,0,0,261,0,1,20000,0,20000
'Simulation 16',1,4,1,0,0.05,269,267,0,0,267,0,2,20000,0,20000
'Simulation 17',1,4,1,0,0.05,255,254,0,0,254,0,1,20000,0,20000
'Simulation 18',1,4,1,0,0.05,242,242,0,0,242,0,0,20000,0,20000
'Simulation 19',1,4,1,0,0.05,264,262,0,0,262,0,2,20000,0,20000
'Simulation 20',1,4,1,0,0.05,246,244,0,0,244,0,2,20000,0,20000
'Simulation 21',1,4,1,0,0.05,264,264,0,0,264,0,0,20000,0,20000
'Simulation 22',1,4,1,0,0.05,236,236,0,0,236,0,0,20000,0,20000
'Simulation 23',1,4,1,0,0.05,265,261,0,0,261,0,4,20000,0,20000
'Simulation 24',1,4,1,0,0.05,257,256,0,0,256,0,1,20000,0,20000
'Simulation 25',1,4,1,0,0.05,231,228,2,0,230,0,1,20000,100,20100
'AveragedSim',1,4.0,1.0,0.0,0.05,254.68,252.76,0.4,0.0,253.16,0.0,1.52,20000.0,20.0,20020.0
'Simulation 26',1,4,1,0,0.1,491,478,12,0,490,0,1,20000,600,20600
'Simulation 27',1,4,1,0,0.1,501,484,15,0,499,0,2,20000,750,20750
'Simulation 28',1,4,1,0,0.1,543,516,21,0,537,0,6,20000,1050,21050
'Simulation 29',1,4,1,0,0.1,504,488,15,0,503,0,1,20000,750,20750
'Simulation 30',1,4,1,0,0.1,516,494,18,0,512,0,4,20000,900,20900
'Simulation 31',1,4,1,0,0.1,514,493,19,0,512,0,2,20000,950,20950
'Simulation 32',1,4,1,0,0.1,498,485,11,0,496,0,2,20000,550,20550
'Simulation 33',1,4,1,0,0.1,494,477,17,0,494,0,0,20000,850,20850
'Simulation 34',1,4,1,0,0.1,516,484,24,0,508,0,8,20000,1250,21250
'Simulation 35',1,4,1,0,0.1,496,478,15,0,493,0,3,20000,750,20750
'Simulation 36',1,4,1,0,0.1,486,470,11,0,481,0,5,20000,550,20550
'Simulation 37',1,4,1,0,0.1,477,462,11,0,473,0,4,20000,550,20550
'Simulation 38',1,4,1,0,0.1,526,506,18,0,524,0,2,20000,900,20900
'Simulation 39',1,4,1,0,0.1,505,488,14,0,502,0,3,20000,700,20700
'Simulation 40',1,4,1,0,0.1,481,466,11,0,477,0,4,20000,550,20550
'Simulation 41',1,4,1,0,0.1,500,482,16,0,498,0,2,20000,800,20800
'Simulation 42',1,4,1,0,0.1,506,485,17,0,502,0,4,20000,850,20850
'Simulation 43',1,4,1,0,0.1,471,455,10,0,465,0,6,20000,500,20500
'Simulation 44',1,4,1,0,0.1,487,468,14,0,482,0,5,20000,700,20700
'Simulation 45',1,4,1,0,0.1,524,501,17,0,518,0,6,20000,850,20850
'Simulation 46',1,4,1,0,0.1,475,468,7,0,475,0,0,20000,350,20350
'Simulation 47',1,4,1,0,0.1,505,488,14,0,502,0,3,20000,700,20700
'Simulation 48',1,4,1,0,0.1,504,484,15,0,499,0,5,20000,750,20750
'Simulation 49',1,4,1,0,0.1,497,479,14,0,493,0,4,20000,700,20700
'Simulation 50',1,4,1,0,0.1,512,498,13,0,511,0,1,20000,650,20650
'AveragedSim',1,4.0,1.0,0.0,0.1,501.16,483.08,14.76,0.0,497.84,0.0,3.32,20000.0,740.0,20740.0
'Simulation 51',1,4,1,0,0.15,769,671,84,0,755,4,10,20000,4250,24250
'Simulation 52',1,4,1,0,0.15,729,629,91,0,720,3,6,20000,4700,24700
'Simulation 53',1,4,1,0,0.15,753,664,84,0,748,0,5,20000,4200,24200
'Simulation 54',1,4,1,0,0.15,768,672,87,0,759,8,1,20000,4400,24400
'Simulation 55',1,4,1,0,0.15,770,674,88,0,762,3,5,20000,4450,24450
'Simulation 56',1,4,1,0,0.15,778,661,100,0,761,8,9,20000,5200,25200
'Simulation 57',1,4,1,0,0.15,732,645,81,0,726,0,6,20000,4050,24050
'Simulation 58',1,4,1,0,0.15,806,669,111,0,780,16,10,20000,5750,25750
'Simulation 59',1,4,1,0,0.15,713,638,75,0,713,0,0,20000,3750,23750
'Simulation 60',1,4,1,0,0.15,733,629,95,0,724,3,6,20000,4750,24750
