Simulation,Policy,nPublic,nPrivate,nCar,PatientProb,nPatient,nPublicSaved,nPrivateSaved,nCarSaved,nTotalSaved,nDead,nAlive,PublicCost,PrivateCost,TotalCost,DeathRate
SIMUL,1,4,1,20,0.7,3593,376,96,2597,3069,476,48,20000,9750,29750,0.132479822
SIMUL,1,4,1,20,0.7,3513,373,89,2533,2995,478,40,20000,9500,29500,0.13606604
SIMUL,1,4,1,20,0.7,3491,420,103,2482,3005,450,36,20000,9700,29700,0.128902893
SIMUL,1,4,1,20,0.7,3537,400,99,2550,3049,448,40,20000,9600,29600,0.126661012
SIMUL,1,4,1,20,0.7,3499,400,92,2542,3034,430,35,20000,9300,29300,0.122892255
SIMUL,1,4,1,20,0.7,3494,408,89,2538,3035,428,31,20000,9050,29050,0.122495707
SIMUL,1,4,1,20,0.7,3509,460,111,2558,3129,347,33,20000,9200,29200,0.098888572
SIMUL,1,4,1,20,0.7,3475,373,90,2516,2979,456,40,20000,9350,29350,0.131223022
SIMUL,1,4,1,20,0.7,3515,409,96,2514,3019,457,39,20000,9800,29800,0.130014225
SIMUL,1,4,1,20,0.7,3499,399,97,2541,3037,437,25,20000,9400,29400,0.124892827
SIMUL,1,4,1,20,0.7,3521,406,91,2537,3034,459,28,20000,9750,29750,0.130360693
SIMUL,1,4,1,20,0.7,3576,389,85,2572,3046,499,31,20000,9500,29500,0.139541387
SIMUL,1,4,1,20,0.7,3479,450,95,2522,3067,376,36,20000,9250,29250,0.108077034
SIMUL,1,4,1,20,0.7,3449,414,99,2483,2996,417,36,20000,9250,29250,0.12090461
SIMUL,1,4,1,20,0.7,3547,402,98,2561,3061,444,42,20000,9600,29600,0.125176205
SIMUL,1,4,1,20,0.7,3528,416,98,2532,3046,448,34,20000,9600,29600,0.126984127
SIMUL,1,4,1,20,0.7,3502,354,87,2535,2976,484,42,20000,9200,29200,0.138206739
SIMUL,1,4,1,20,0.7,3468,399,96,2484,2979,457,32,20000,9400,29400,0.13177624
SIMUL,1,4,1,20,0.7,3527,341,80,2552,2973,520,34,20000,8900,28900,0.14743408
SIMUL,1,4,1,20,0.75,3750,350,79,2663,3092,614,44,20000,10250,30250,0.163733333
SIMUL,1,4,1,20,0.75,3762,337,89,2691,3117,604,41,20000,10400,30400,0.160552897
SIMUL,1,4,1,20,0.75,3760,361,101,2684,3146,581,33,20000,10500,30500,0.154521277
SIMUL,1,4,1,20,0.75,3802,392,97,2769,3258,510,34,20000,9850,29850,0.134139926
SIMUL,1,4,1,20,0.75,3775,379,88,2707,3174,567,34,20000,10400,30400,0.150198675
SIMUL,1,4,1,20,0.75,3701,374,89,2667,3130,530,41,20000,10050,30050,0.143204539
SIMUL,1,4,1,20,0.75,3803,359,78,2760,3197,571,35,20000,10100,30100,0.150144623
SIMUL,1,4,1,20,0.75,3735,352,99,2704,3155,542,38,20000,10050,30050,0.145113788
SIMUL,1,4,1,20,0.75,3714,375,92,2729,3196,481,37,20000,9450,29450,0.129509962
SIMUL,1,4,1,20,0.75,3763,315,80,2660,3055,665,43,20000,10850,30850,0.176720702
SIMUL,1,4,1,20,0.75,3727,339,94,2678,3111,588,28,20000,10150,30150,0.157767642
SIMUL,1,4,1,20,0.75,3705,339,77,2653,3069,596,40,20000,10050,30050,0.160863698
SIMUL,1,4,1,20,0.75,3720,369,80,2674,3123,559,38,20000,10250,30250,0.150268817
SIMUL,1,4,1,20,0.75,3744,337,94,2698,3129,581,34,20000,10200,30200,0.155181624
SIMUL,1,4,1,20,0.75,3764,325,76,2710,3111,611,42,20000,10050,30050,0.162327311
SIMUL,1,4,1,20,0.75,3758,338,81,2709,3128,596,34,20000,9850,29850,0.158594997
SIMUL,1,4,1,20,0.75,3738,326,101,2671,3098,601,39,20000,10600,30600,0.160781166
SIMUL,1,4,1,20,0.75,3730,376,104,2661,3141,556,33,20000,10650,30650,0.149061662
SIMUL,1,4,1,20,0.75,3770,376,90,2702,3168,564,38,20000,10200,30200,0.149602122
SIMUL,1,4,1,20,0.75,3766,345,85,2695,3125,601,40,20000,10200,30200,0.159585767
SIMUL,1,4,1,20,0.75,3765,362,86,2728,3176,552,37,20000,9950,29950,0.146613546
SIMUL,1,4,1,20,0.75,3769,408,96,2735,3239,487,43,20000,9900,29900,0.129211993
SIMUL,1,4,1,20,0.75,3762,355,93,2680,3128,591,43,20000,10700,30700,0.157097289
SIMUL,1,4,1,20,0.75,3769,432,89,2703,3224,512,33,20000,9800,29800,0.135845052
SIMUL,1,4,1,20,0.75,3778,382,101,2773,3256,489,33,20000,9800,29800,0.129433563
SIMUL,1,4,1,20,0.8,3987,365,86,2905,3356,596,35,20000,10750,30750,0.149485829
SIMUL,1,4,1,20,0.8,4007,350,82,2884,3316,646,45,20000,10800,30800,0.161217869
SIMUL,1,4,1,20,0.8,3990,288,87,2877,3252,691,47,20000,10700,30700,0.173182957
SIMUL,1,4,1,20,0.8,4002,303,78,2905,3286,678,38,20000,10550,30550,0.169415292
SIMUL,1,4,1,20,0.8,4023,307,75,2866,3248,729,46,20000,11250,31250,0.181208054
SIMUL,1,4,1,20,0.8,3987,365,86,2905,3356,596,35,20000,10750,30750,0.149485829
SIMUL,1,4,1,20,0.8,4040,279,71,2911,3261,746,33,20000,10900,30900,0.184653465
SIMUL,1,4,1,20,0.8,3978,369,101,2873,3343,596,39,20000,10850,30850,0.149824032
SIMUL,1,4,1,20,0.8,4015,358,93,2925,3376,596,43,20000,10450,30450,0.148443337
SIMUL,1,4,1,20,0.8,3984,341,77,2818,3236,702,46,20000,11450,31450,0.176204819
SIMUL,1,4,1,20,0.8,4025,335,73,2853,3261,720,44,20000,10850,30850,0.178881988
SIMUL,1,4,1,20,0.8,3974,326,74,2832,3232,703,39,20000,10800,30800,0.176899849
