'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',2,4,0,0,0.01,109,109,0,0,0,0,40000,0,40000
'Simulation 2',2,4,0,0,0.01,96,95,0,0,0,1,40000,0,40000
'Simulation 3',2,4,0,0,0.01,98,97,0,0,0,1,40000,0,40000
'Simulation 4',2,4,0,0,0.01,117,117,0,0,0,0,40000,0,40000
'Simulation 5',2,4,0,0,0.01,100,100,0,0,0,0,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.01,104.0,103.6,0.0,0.0,0.0,0.4,40000.0,0.0,40000.0
'Simulation 6',2,4,0,0,0.02,202,201,0,0,0,1,40000,0,40000
'Simulation 7',2,4,0,0,0.02,202,202,0,0,0,0,40000,0,40000
'Simulation 8',2,4,0,0,0.02,196,194,0,0,0,2,40000,0,40000
'Simulation 9',2,4,0,0,0.02,209,209,0,0,0,0,40000,0,40000
'Simulation 10',2,4,0,0,0.02,186,186,0,0,0,0,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.02,199.0,198.4,0.0,0.0,0.0,0.6,40000.0,0.0,40000.0
'Simulation 11',2,4,0,0,0.03,273,271,0,0,0,2,40000,0,40000
'Simulation 12',2,4,0,0,0.03,298,297,0,0,0,1,40000,0,40000
'Simulation 13',2,4,0,0,0.03,301,301,0,0,0,0,40000,0,40000
'Simulation 14',2,4,0,0,0.03,313,311,0,0,0,2,40000,0,40000
'Simulation 15',2,4,0,0,0.03,277,277,0,0,0,0,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.03,292.4,291.4,0.0,0.0,0.0,1.0,40000.0,0.0,40000.0
'Simulation 16',2,4,0,0,0.04,414,414,0,0,0,0,40000,0,40000
'Simulation 17',2,4,0,0,0.04,414,414,0,0,0,0,40000,0,40000
'Simulation 18',2,4,0,0,0.04,411,411,0,0,0,0,40000,0,40000
'Simulation 19',2,4,0,0,0.04,404,403,0,0,0,1,40000,0,40000
'Simulation 20',2,4,0,0,0.04,425,424,0,0,0,1,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.04,413.6,413.2,0.0,0.0,0.0,0.4,40000.0,0.0,40000.0
'Simulation 21',2,4,0,0,0.05,511,511,0,0,0,0,40000,0,40000
'Simulation 22',2,4,0,0,0.05,491,491,0,0,0,0,40000,0,40000
'Simulation 23',2,4,0,0,0.05,473,469,0,0,0,4,40000,0,40000
'Simulation 24',2,4,0,0,0.05,507,507,0,0,0,0,40000,0,40000
'Simulation 25',2,4,0,0,0.05,484,482,0,0,0,2,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.05,493.2,492.0,0.0,0.0,0.0,1.2,40000.0,0.0,40000.0
'Simulation 26',2,4,0,0,0.06,593,592,0,0,0,1,40000,0,40000
'Simulation 27',2,4,0,0,0.06,627,625,0,0,0,2,40000,0,40000
'Simulation 28',2,4,0,0,0.06,611,611,0,0,0,0,40000,0,40000
'Simulation 29',2,4,0,0,0.06,625,624,0,0,0,1,40000,0,40000
'Simulation 30',2,4,0,0,0.06,584,584,0,0,0,0,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.06,608.0,607.2,0.0,0.0,0.0,0.8,40000.0,0.0,40000.0
'Simulation 31',2,4,0,0,0.07,693,690,0,0,0,3,40000,0,40000
'Simulation 32',2,4,0,0,0.07,736,734,0,0,0,2,40000,0,40000
'Simulation 33',2,4,0,0,0.07,714,712,0,0,0,2,40000,0,40000
'Simulation 34',2,4,0,0,0.07,680,678,0,0,0,2,40000,0,40000
'Simulation 35',2,4,0,0,0.07,669,669,0,0,0,0,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.07,698.4,696.6,0.0,0.0,0.0,1.8,40000.0,0.0,40000.0
'Simulation 36',2,4,0,0,0.08,764,761,0,0,0,3,40000,0,40000
'Simulation 37',2,4,0,0,0.08,788,788,0,0,0,0,40000,0,40000
'Simulation 38',2,4,0,0,0.08,820,817,0,0,0,3,40000,0,40000
'Simulation 39',2,4,0,0,0.08,809,806,0,0,0,3,40000,0,40000
'Simulation 40',2,4,0,0,0.08,776,776,0,0,0,0,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.08,791.4,789.6,0.0,0.0,0.0,1.8,40000.0,0.0,40000.0
'Simulation 41',2,4,0,0,0.09,948,946,0,0,0,2,40000,0,40000
'Simulation 42',2,4,0,0,0.09,881,878,0,0,0,3,40000,0,40000
'Simulation 43',2,4,0,0,0.09,954,952,0,0,0,2,40000,0,40000
'Simulation 44',2,4,0,0,0.09,896,892,0,0,0,4,40000,0,40000
'Simulation 45',2,4,0,0,0.09,929,924,0,0,0,5,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.09,921.6,918.4,0.0,0.0,0.0,3.2,40000.0,0.0,40000.0
'Simulation 46',2,4,0,0,0.1,1023,1020,0,0,0,3,40000,0,40000
'Simulation 47',2,4,0,0,0.1,985,981,0,0,0,4,40000,0,40000
'Simulation 48',2,4,0,0,0.1,979,975,0,0,0,4,40000,0,40000
'Simulation 49',2,4,0,0,0.1,935,931,0,0,0,4,40000,0,40000
'Simulation 50',2,4,0,0,0.1,952,944,0,0,4,4,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.1,974.8,970.2,0.0,0.0,0.8,3.8,40000.0,0.0,40000.0
'Simulation 51',2,4,0,0,0.11,1109,1103,0,0,3,3,40000,0,40000
'Simulation 52',2,4,0,0,0.11,1058,1053,0,0,0,5,40000,0,40000
'Simulation 53',2,4,0,0,0.11,1109,1107,0,0,0,2,40000,0,40000
'Simulation 54',2,4,0,0,0.11,1101,1098,0,0,0,3,40000,0,40000
'Simulation 55',2,4,0,0,0.11,1081,1075,0,0,0,6,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.11,1091.6,1087.2,0.0,0.0,0.6,3.8,40000.0,0.0,40000.0
'Simulation 56',2,4,0,0,0.12,1238,1209,0,0,20,9,40000,0,40000
'Simulation 57',2,4,0,0,0.12,1150,1144,0,0,0,6,40000,0,40000
'Simulation 58',2,4,0,0,0.12,1158,1146,0,0,6,6,40000,0,40000
'Simulation 59',2,4,0,0,0.12,1229,1184,0,0,35,10,40000,0,40000
'Simulation 60',2,4,0,0,0.12,1211,1173,0,0,27,11,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.12,1197.2,1171.2,0.0,0.0,17.6,8.4,40000.0,0.0,40000.0
'Simulation 61',2,4,0,0,0.13,1305,1248,0,0,52,5,40000,0,40000
'Simulation 62',2,4,0,0,0.13,1263,1256,0,0,2,5,40000,0,40000
'Simulation 63',2,4,0,0,0.13,1296,1192,0,0,100,4,40000,0,40000
'Simulation 64',2,4,0,0,0.13,1310,1263,0,0,45,2,40000,0,40000
'Simulation 65',2,4,0,0,0.13,1287,1259,0,0,18,10,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.13,1292.2,1243.6,0.0,0.0,43.4,5.2,40000.0,0.0,40000.0
'Simulation 66',2,4,0,0,0.14,1375,1292,0,0,80,3,40000,0,40000
'Simulation 67',2,4,0,0,0.14,1394,1207,0,0,174,13,40000,0,40000
'Simulation 68',2,4,0,0,0.14,1392,1253,0,0,136,3,40000,0,40000
'Simulation 69',2,4,0,0,0.14,1447,1323,0,0,119,5,40000,0,40000
'Simulation 70',2,4,0,0,0.14,1410,1271,0,0,126,13,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.14,1403.6,1269.2,0.0,0.0,127.0,7.4,40000.0,0.0,40000.0
'Simulation 71',2,4,0,0,0.15,1452,1310,0,0,135,7,40000,0,40000
'Simulation 72',2,4,0,0,0.15,1540,1239,0,0,288,13,40000,0,40000
'Simulation 73',2,4,0,0,0.15,1514,1269,0,0,229,16,40000,0,40000
'Simulation 74',2,4,0,0,0.15,1540,1220,0,0,316,4,40000,0,40000
'Simulation 75',2,4,0,0,0.15,1505,1243,0,0,241,21,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.15,1510.2,1256.2,0.0,0.0,241.8,12.2,40000.0,0.0,40000.0
'Simulation 76',2,4,0,0,0.16,1642,1166,0,0,462,14,40000,0,40000
'Simulation 77',2,4,0,0,0.16,1563,1203,0,0,349,11,40000,0,40000
'Simulation 78',2,4,0,0,0.16,1569,1239,0,0,317,13,40000,0,40000
'Simulation 79',2,4,0,0,0.16,1623,1070,0,0,528,25,40000,0,40000
'Simulation 80',2,4,0,0,0.16,1646,1059,0,0,572,15,40000,0,40000
'AveragedSim',2,4.0,0.0,0.0,0.16,1608.6,1147.4,0.0,0.0,445.6,15.6,40000.0,0.0,40000.0
'Simulation 81',2,4,0,0,0.17,1669,1184,0,0,469,16,40000,0,40000
'Simulation 82',2,4,0,0,0.17,1662,1202,0,0,444,16,40000,0,40000
'Simulation 83',2,4,0,0,0.17,1708,996,0,0,693,19,40000,0,40000
