'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost',DeathRate
'Simulation 29',2,6,0,0,0.25,2487,1568,0,0,898,21,60000,0,60000,0.361077604
'Simulation 30',2,6,0,0,0.25,2454,1758,0,0,668,28,60000,0,60000,0.272208639
'AveragedSim',2,6,0,0,0.25,2511,1687.8,0,0,800.4,22.8,60000,0,60000,0.318757467
'Simulation 31',2,6,0,0,0.3,2936,1327,0,0,1584,25,60000,0,60000,0.539509537
'Simulation 32',2,6,0,0,0.3,2988,1226,0,0,1724,38,60000,0,60000,0.576974565
'Simulation 33',2,6,0,0,0.3,2932,1253,0,0,1649,30,60000,0,60000,0.562414734
'Simulation 34',2,6,0,0,0.3,3020,1306,0,0,1682,32,60000,0,60000,0.556953642
'Simulation 35',2,6,0,0,0.3,3001,1327,0,0,1645,29,60000,0,60000,0.548150616
'AveragedSim',2,6,0,0,0.3,2975.4,1287.8,0,0,1656.8,30.8,60000,0,60000,0.556832695
'Simulation 36',2,6,0,0,0.35,3595,1110,0,0,2443,42,60000,0,60000,0.679554937
'Simulation 37',2,6,0,0,0.35,3549,1062,0,0,2449,38,60000,0,60000,0.690053536
'Simulation 38',2,6,0,0,0.35,3530,1057,0,0,2434,39,60000,0,60000,0.689518414
'Simulation 39',2,6,0,0,0.35,3481,1159,0,0,2274,48,60000,0,60000,0.653260557
'Simulation 40',2,6,0,0,0.35,3505,1050,0,0,2414,41,60000,0,60000,0.688730385
'AveragedSim',2,6,0,0,0.35,3532,1087.6,0,0,2402.8,41.6,60000,0,60000,0.680294451
'Simulation 41',2,6,0,0,0.4,4044,871,0,0,3132,41,60000,0,60000,0.774480712
'Simulation 42',2,6,0,0,0.4,4019,998,0,0,2977,44,60000,0,60000,0.740731525
'Simulation 43',2,6,0,0,0.4,4018,885,0,0,3095,38,60000,0,60000,0.770283723
'Simulation 44',2,6,0,0,0.4,4081,964,0,0,3069,48,60000,0,60000,0.752021563
'Simulation 45',2,6,0,0,0.4,3882,892,0,0,2955,35,60000,0,60000,0.761205564
'AveragedSim',2,6,0,0,0.4,4008.8,922,0,0,3045.6,41.2,60000,0,60000,0.759728597
'Simulation 46',2,6,0,0,0.45,4481,825,0,0,3618,38,60000,0,60000,0.80740906
'Simulation 47',2,6,0,0,0.45,4586,891,0,0,3646,49,60000,0,60000,0.795028347
'Simulation 48',2,6,0,0,0.45,4551,927,0,0,3576,48,60000,0,60000,0.785761371
'Simulation 49',2,6,0,0,0.45,4518,782,0,0,3689,47,60000,0,60000,0.816511731
'Simulation 50',2,6,0,0,0.45,4503,755,0,0,3709,39,60000,0,60000,0.823673107
'AveragedSim',2,6,0,0,0.45,4527.8,836,0,0,3647.6,44.2,60000,0,60000,0.805600954
'Simulation 51',2,6,0,0,0.5,5048,734,0,0,4253,61,60000,0,60000,0.842511886
'Simulation 52',2,6,0,0,0.5,5049,764,0,0,4229,56,60000,0,60000,0.837591602
'Simulation 53',2,6,0,0,0.5,5004,752,0,0,4198,54,60000,0,60000,0.838928857
'Simulation 54',2,6,0,0,0.5,4941,734,0,0,4163,44,60000,0,60000,0.842541996
'Simulation 55',2,6,0,0,0.5,4935,808,0,0,4071,56,60000,0,60000,0.824924012
'AveragedSim',2,6,0,0,0.5,4995.4,758.4,0,0,4182.8,54.2,60000,0,60000,0.837330344
'Simulation 56',2,6,0,0,0.55,5403,718,0,0,4632,53,60000,0,60000,0.857301499
'Simulation 57',2,6,0,0,0.55,5512,717,0,0,4733,62,60000,0,60000,0.858671988
'Simulation 58',2,6,0,0,0.55,5507,737,0,0,4706,64,60000,0,60000,0.854548756
'Simulation 59',2,6,0,0,0.55,5478,706,0,0,4716,56,60000,0,60000,0.860898138
'Simulation 60',2,6,0,0,0.55,5423,600,0,0,4765,58,60000,0,60000,0.878664946
'AveragedSim',2,6,0,0,0.55,5464.6,695.6,0,0,4710.4,58.6,60000,0,60000,0.861984409
'Simulation 61',2,6,0,0,0.6,6049,613,0,0,5367,69,60000,0,60000,0.887254092
'Simulation 62',2,6,0,0,0.6,6036,707,0,0,5269,60,60000,0,60000,0.872929092
'Simulation 63',2,6,0,0,0.6,5991,603,0,0,5324,64,60000,0,60000,0.888666333
'Simulation 64',2,6,0,0,0.6,5936,697,0,0,5172,67,60000,0,60000,0.871293801
'Simulation 65',2,6,0,0,0.6,6026,612,0,0,5349,65,60000,0,60000,0.887653501
'AveragedSim',2,6,0,0,0.6,6007.6,646.4,0,0,5296.2,65,60000,0,60000,0.881583328
'Simulation 66',2,6,0,0,0.65,6520,590,0,0,5863,67,60000,0,60000,0.899233129
'Simulation 67',2,6,0,0,0.65,6507,528,0,0,5915,64,60000,0,60000,0.909021054
'Simulation 68',2,6,0,0,0.65,6466,668,0,0,5740,58,60000,0,60000,0.887720384
'Simulation 69',2,6,0,0,0.65,6527,629,0,0,5821,77,60000,0,60000,0.891833921
'Simulation 70',2,6,0,0,0.65,6545,517,0,0,5947,81,60000,0,60000,0.908632544
'AveragedSim',2,6,0,0,0.65,6513,586.4,0,0,5857.2,69.4,60000,0,60000,0.899309074
'Simulation 71',2,6,0,0,0.7,6954,569,0,0,6302,83,60000,0,60000,0.906241012
'Simulation 72',2,6,0,0,0.7,7092,570,0,0,6450,72,60000,0,60000,0.909475465
'Simulation 73',2,6,0,0,0.7,6992,540,0,0,6367,85,60000,0,60000,0.910612128
'Simulation 74',2,6,0,0,0.7,6988,601,0,0,6308,79,60000,0,60000,0.902690326
'Simulation 75',2,6,0,0,0.7,7002,568,0,0,6356,78,60000,0,60000,0.907740646
'AveragedSim',2,6,0,0,0.7,7005.6,569.6,0,0,6356.6,79.4,60000,0,60000,0.907359826
'Simulation 76',2,6,0,0,0.75,7478,516,0,0,6873,89,60000,0,60000,0.919096015
'Simulation 77',2,6,0,0,0.75,7563,557,0,0,6924,82,60000,0,60000,0.915509718
'Simulation 78',2,6,0,0,0.75,7510,559,0,0,6879,72,60000,0,60000,0.915978695
'Simulation 79',2,6,0,0,0.75,7555,521,0,0,6949,85,60000,0,60000,0.91978822
'Simulation 80',2,6,0,0,0.75,7478,508,0,0,6888,82,60000,0,60000,0.921101899
'AveragedSim',2,6,0,0,0.75,7516.8,532.2,0,0,6902.6,82,60000,0,60000,0.918289698
'Simulation 81',2,6,0,0,0.8,7991,467,0,0,7433,91,60000,0,60000,0.930171443
'Simulation 82',2,6,0,0,0.8,8034,477,0,0,7466,91,60000,0,60000,0.929300473
'Simulation 83',2,6,0,0,0.8,8042,459,0,0,7495,88,60000,0,60000,0.931982094
'Simulation 84',2,6,0,0,0.8,8049,462,0,0,7501,86,60000,0,60000,0.931917008
'Simulation 85',2,6,0,0,0.8,7999,457,0,0,7447,95,60000,0,60000,0.930991374
'AveragedSim',2,6,0,0,0.8,8023,464.4,0,0,7468.4,90.2,60000,0,60000,0.930873738
'Simulation 86',2,6,0,0,0.85,8496,482,0,0,7923,91,60000,0,60000,0.932556497
'Simulation 87',2,6,0,0,0.85,8484,493,0,0,7897,94,60000,0,60000,0.930810938
'Simulation 88',2,6,0,0,0.85,8505,510,0,0,7902,93,60000,0,60000,0.929100529
'Simulation 89',2,6,0,0,0.85,8522,475,0,0,7956,91,60000,0,60000,0.933583666
'Simulation 90',2,6,0,0,0.85,8496,570,0,0,7828,98,60000,0,60000,0.921374765
'AveragedSim',2,6,0,0,0.85,8500.6,506,0,0,7901.2,93.4,60000,0,60000,0.92948733
'Simulation 91',2,6,0,0,0.9,9037,446,0,0,8495,96,60000,0,60000,0.940024344
'Simulation 92',2,6,0,0,0.9,9003,429,0,0,8478,96,60000,0,60000,0.941686105
'Simulation 93',2,6,0,0,0.9,9012,445,0,0,8466,101,60000,0,60000,0.939414115
'Simulation 94',2,6,0,0,0.9,8949,445,0,0,8403,101,60000,0,60000,0.938987596
'Simulation 95',2,6,0,0,0.9,9027,451,0,0,8481,95,60000,0,60000,0.939514789
'AveragedSim',2,6,0,0,0.9,9005.6,443.2,0,0,8464.6,97.8,60000,0,60000,0.939926268
'Simulation 96',2,6,0,0,0.95,9492,468,0,0,8922,102,60000,0,60000,0.939949431
'Simulation 97',2,6,0,0,0.95,9536,455,0,0,8978,103,60000,0,60000,0.941484899
'Simulation 98',2,6,0,0,0.95,9480,444,0,0,8937,99,60000,0,60000,0.942721519
'Simulation 99',2,6,0,0,0.95,9482,460,0,0,8914,108,60000,0,60000,0.940097026
'Simulation 100',2,6,0,0,0.95,9501,450,0,0,8948,103,60000,0,60000,0.9417956
'AveragedSim',2,6,0,0,0.95,9498.2,455.4,0,0,8939.8,103,60000,0,60000,0.941209913
'Simulation 101',2,6,0,0,1,10000,437,0,0,9454,109,60000,0,60000,0.9454
'Simulation 102',2,6,0,0,1,10000,431,0,0,9460,109,60000,0,60000,0.946
'Simulation 103',2,6,0,0,1,10000,384,0,0,9510,106,60000,0,60000,0.951
'Simulation 104',2,6,0,0,1,10000,495,0,0,9398,107,60000,0,60000,0.9398
'Simulation 105',2,6,0,0,1,10000,426,0,0,9465,109,60000,0,60000,0.9465
'AveragedSim',2,6,0,0,1,10000,434.6,0,0,9457.4,108,60000,0,60000,0.94574
