'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost',DeathRate
'Simulation 1',2,6,0,0,0,0,0,0,0,0,0,60000,0,60000,0
'Simulation 2',2,6,0,0,0,0,0,0,0,0,0,60000,0,60000,0
'Simulation 3',2,6,0,0,0,0,0,0,0,0,0,60000,0,60000,0
'Simulation 4',2,6,0,0,0,0,0,0,0,0,0,60000,0,60000,0
'Simulation 5',2,6,0,0,0,0,0,0,0,0,0,60000,0,60000,0
'AveragedSim',2,6,0,0,0,0,0,0,0,0,0,60000,0,60000,0
'Simulation 6',2,6,0,0,0.05,485,484,0,0,0,1,60000,0,60000,0
'Simulation 7',2,6,0,0,0.05,519,519,0,0,0,0,60000,0,60000,0
'Simulation 8',2,6,0,0,0.05,488,487,0,0,0,1,60000,0,60000,0
'Simulation 9',2,6,0,0,0.05,493,493,0,0,0,0,60000,0,60000,0
'Simulation 10',2,6,0,0,0.05,504,502,0,0,0,2,60000,0,60000,0
'AveragedSim',2,6,0,0,0.05,497.8,497,0,0,0,0.8,60000,0,60000,0
'Simulation 11',2,6,0,0,0.1,972,971,0,0,0,1,60000,0,60000,0
'Simulation 12',2,6,0,0,0.1,948,946,0,0,0,2,60000,0,60000,0
'Simulation 13',2,6,0,0,0.1,997,996,0,0,0,1,60000,0,60000,0
'Simulation 14',2,6,0,0,0.1,1001,998,0,0,0,3,60000,0,60000,0
'Simulation 15',2,6,0,0,0.1,1026,1022,0,0,0,4,60000,0,60000,0
'AveragedSim',2,6,0,0,0.1,988.8,986.6,0,0,0,2.2,60000,0,60000,0
'Simulation 16',2,6,0,0,0.15,1532,1528,0,0,0,4,60000,0,60000,0
'Simulation 17',2,6,0,0,0.15,1473,1463,0,0,0,10,60000,0,60000,0
'Simulation 18',2,6,0,0,0.15,1503,1500,0,0,0,3,60000,0,60000,0
'Simulation 19',2,6,0,0,0.15,1530,1525,0,0,0,5,60000,0,60000,0
'Simulation 20',2,6,0,0,0.15,1482,1479,0,0,0,3,60000,0,60000,0
'AveragedSim',2,6,0,0,0.15,1504,1499,0,0,0,5,60000,0,60000,0
'Simulation 21',2,6,0,0,0.2,1973,1953,0,0,14,6,60000,0,60000,0.007095793
'Simulation 22',2,6,0,0,0.2,2018,1996,0,0,5,17,60000,0,60000,0.002477701
'Simulation 23',2,6,0,0,0.2,2020,1989,0,0,15,16,60000,0,60000,0.007425743
'Simulation 24',2,6,0,0,0.2,2062,2028,0,0,30,4,60000,0,60000,0.014548982
'Simulation 25',2,6,0,0,0.2,2029,1865,0,0,156,8,60000,0,60000,0.076885165
'AveragedSim',2,6,0,0,0.2,2020.4,1966.2,0,0,44,10.2,60000,0,60000,0.021777866
'Simulation 26',2,6,0,0,0.25,2540,1786,0,0,742,12,60000,0,60000,0.292125984
'Simulation 27',2,6,0,0,0.25,2500,1625,0,0,846,29,60000,0,60000,0.3384
'Simulation 28',2,6,0,0,0.25,2574,1702,0,0,848,24,60000,0,60000,0.329448329
